
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Larry Sanders*,$11000000,$11000000,$11000000,$11000000,$11000000,,1st Round Pick,$44000000
O.J. Mayo*,$8000000,$8000000,$8000000,,,,Cap Space,$16000000
Ersan Ilyasova*,$7900000,$7900000,$7900000,$8400000,,,Bird Rights,$16200000
Zaza Pachulia*,$5200000,$5200000,$5200000,,,,Cap Space,$10400000
Jabari Parker*,$4930560,$4930560,$5152440,$5374320,$6782392,,1st Round Pick,$10083000
Brandon Knight*,$3553917,$3553917,,,,,1st Round Pick,$3553917
Carlos Delfino*,$3250000,$3250000,$3250000,,,,Cap Space,$3250000
John Henson*,$1987320,$1987320,$2943221,,,,1st Round Pick,$1987320
Giannis Antetokounmpo*,$1873200,$1873200,$1953960,$2995421,,,1st Round Pick,$1873200
Miroslav Raduljica*,$1500000,$1500000,$1567500,,,,Cap Space,$1500000
Khris Middleton*,$915243,$915243,,,,,MLE,
Kendall Marshall*,$915243,$915243,,,,,Minimum Salary,$915243
Chris Wright*,$915243,$915243,,,,,Minimum Salary,
Nate Wolters*,$816482,$816482,$947276,,,,Cap Space,$816482
Ramon Sessions,$6500000,,,,,,,
Team Totals,$59257208,$52757208,$47914397,$27769741,$17782392,,,$110579162
