
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Rajon Rondo*,$12909091,$12909091,,,,,Bird Rights,$12909091
Gerald Wallace*,$10105855,$10105855,$10105855,,,,Bird Rights,$20211710
Jeff Green*,$9445000,$9445000,$9445000,,,,Bird Rights,$9200000
Marcus Thornton*,$8575000,$8575000,,,,,Cap Space,$8575000
Brandon Bass*,$6900000,$6900000,,,,,Bird Rights,$6900000
Keith Bogans*,$5285817,$5285817,$5513436,,,,Early Bird Rights,
Joel Anthony*,$3800000,$3800000,,,,,Bird Rights,$3800000
Marcus Smart*,$3283320,$3283320,$3431040,$3578880,$4538020,,1st Round Pick,$6669360
Vitor Faverani*,$2090000,$2090000,$2180000,,,,Mini MLE,$2090000
Kelly Olynyk*,$2075760,$2075760,$2165160,$3094014,,,1st Round Pick,$2075760
Tyler Zeller*,$1703760,$1703760,$2616975,,,,1st Round Pick,$1703760
James Young*,$1674480,$1674480,$1749840,$1825200,$2803507,,1st Round Pick,$3424320
Jared Sullinger*,$1424520,$1424520,$2269260,,,,1st Round Pick,$1424520
Chris Johnson*,$915243,$915243,$981348,$1050961,,,Minimum Salary,
Chris Babb*,$816482,$816482,,,,,Minimum Salary,
Phil Pressey*,$816482,$816482,$947276,,,,Mini MLE,
Nenad Krstic,$8314674,,,,,,,
Avery Bradley,$6278580,,,,,,,
Jerryd Bayless,$4075500,,,,,,,
Roshown McLeod,$3772503,,,,,,,
Stephon Marbury,$1440000,,,,,,,
Michael Finley,$915243,,,,,,,
Carlos Arroyo,$915243,,,,,,,
Chris Wilcox,$915243,,,,,,,
Dana Barros,$915243,,,,,,,
Grant Long,$915243,,,,,,,
Mark Bryant,$915243,,,,,,,
Scot Pollard,$915243,,,,,,,
P.J. Brown,$915243,,,,,,,
Michael Olowokandi,$915243,,,,,,,
Shaquille O'Neal,$915243,,,,,,,
Team Totals,$104854497,$71820810,$41405190,$9549055,$7341527,,,$78983521
