
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Chris Paul*,$20068563,$20068563,$21468696,$22868828,$24268960,,Bird Rights,$64406087
Blake Griffin*,$17674612,$17674612,$18907725,$20140838,$21373950,,Bird Rights,$78097125
DeAndre Jordan*,$11440124,$11440124,,,,,Bird Rights,$11440124
J.J. Redick*,$6583500,$6583500,$6867000,$7150500,,,Bird Rights,$20601000
Jamal Crawford*,$5450000,$5450000,$5675000,,,,MLE,$3000000
Spencer Hawes*,$5305000,$5305000,$5543725,$5782450,$6021175,,MLE,$16631175
Jared Dudley*,$4250000,$4250000,$4250000,,,,Bird Rights,$4250000
Matt Barnes*,$3396250,$3396250,$3542500,,,,MLE,$3396250
Jordan Farmar*,$2170465,$2170465,,,,,BAE,$2077000
Reggie Bullock*,$1200720,$1200720,$1252440,$2255644,,,1st Round Pick,$1200720
C.J. Wilcox*,$1109760,$1109760,$1159680,$1209680,$2183328,,1st Round Pick,$2269440
Glen Davis*,$915243,$1227985,,,,,Minimum Salary,$1227985
Ryan Hollins,$915243,,,,,,,
Hedo Turkoglu,$915243,,,,,,,
Team Totals,$81394723,$79876979,$68666766,$59407940,$53847413,,,$208596906
