
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Zach Randolph*,$16500000,$16500000,$10000000,$10000000,,,Bird Rights,$36500000
Marc Gasol*,$15829688,$15829688,,,,,Bird Rights,$15829688
Mike Conley*,$8894216,$8894216,$9588426,,,,Cap Space,$18082642
Tayshaun Prince*,$7707865,$7707865,,,,,Bird Rights,$7707865
Courtney Lee*,$5450000,$5450000,$5675000,,,,Bird Rights,$11125000
Tony Allen*,$4831461,$4831461,$5168539,$5505618,,,Bird Rights,$15505618
Vince Carter*,$4000000,$4000000,$4000000,$4000000,,,,$10000000
Quincy Pondexter*,$3146068,$3146068,$3382023,$3617978,$3853931,,1st Round Pick,$14000000
Kosta Koufos*,$3000000,$3000000,,,,,Bird Rights,$3000000
Jon Leuer*,$967500,$967500,$1035000,,,,Early Bird Rights,$967500
Nick Calathes*,$816482,$816482,,,,,Minimum Salary,
Jamaal Franklin*,$816482,$816482,$947276,,,,MLE,$816482
Fab Melo,$437080,$437080,$437080,,,,,$874160
Steven Hunter,$7022400,,,,,,,
James Johnson,$915243,,,,,,,
Beno Udrih,$915243,,,,,,,
Marcus Williams,$884293,,,,,,,
Leon Powe,$884293,,,,,,,
Keyon Dooling,$884293,,,,,,,
Gilbert Arenas,$884293,,,,,,,
Jordan Adams,$1120100,,,,,,,
Team Totals,$85907000,$72396842,$40233344,$23123596,$3853931,,,$134408955
