
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Al Horford*,$12000000,$12000000,$12000000,,,,Bird Rights,$24000000
Paul Millsap*,$9500000,$9500000,,,,,Cap Space,$9500000
Jeff Teague*,$8000000,$8000000,$8000000,$8000000,,,Bird Rights,$24000000
Kyle Korver*,$6253521,$6253521,$5746479,$5239437,,,Bird Rights,$17239437
Thabo Sefolosha*,$4150000,$4150000,$4000000,$3850000,,,,$12000000
DeMarre Carroll*,$2442455,$2442455,,,,,Cap Space,$2442455
Kent Bazemore*,$2000000,$2000000,$2000000,,,,,$4000000
Dennis Schröder*,$1690680,$1690680,$1763400,$2708582,,,1st Round Pick,$1690680
John Jenkins*,$1312920,$1312920,$2228025,,,,1st Round Pick,$1312920
Pero Antic*,$1250000,$1250000,,,,,Cap Space,
Mike Muscala*,$816482,$816482,$947276,,,,Minimum Salary,$408241
John Salmons,$1000000,$1000000,,,,,,$1000000
Elton Brand,$4800000,,,,,,,
Gustavo Ayon,$1950000,,,,,,,
Shelvin Mack,$1148163,,,,,,,
Mike Scott,$1115243,,,,,,,
Cartier Martin,$915243,,,,,,,
Adreian Payne,$1546100,,,,,,,
Team Totals,$61890807,$50416058,$36685180,$19798019,,,,$97593733
