
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Luol Deng*,$9714461,$9714461,$10151612,,,,Cap Space,$9714461
Josh McRoberts*,$5543725,$5543725,$5782450,$6021175,,,MLE,$16631175
Udonis Haslem*,$2732000,$2732000,$2854940,,,,MLE,$5586940
Danny Granger*,$2077000,$2077000,$2170465,,,,BAE,$2077000
Norris Cole*,$2038206,$2038206,,,,,1st Round Pick,$2038206
Justin Hamilton,$816482,$816482,,,,,Minimum Salary,
Chris Bosh,$20080875,,,,,,,
Dwyane Wade,$19606650,,,,,,,
Mario Chalmers,$7600000,,,,,,,
Chris Andersen,$915243,,,,,,,
Shabazz Napier,$1032200,,,,,,,
Team Totals,$72156842,$22921874,$20959467,$6021175,,,,$36047782
