
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Al Jefferson*,$13666667,$13666667,$13833333,,,,Cap Space,$13666667
Lance Stephenson*,$9000000,$9000000,$9000000,$9400000,,,Cap Space,$18000000
Gerald Henderson*,$6000000,$6000000,$6000000,,,,Bird Rights,$6000000
Michael Kidd-Gilchrist*,$5016960,$5016960,$6331404,,,,1st Round Pick,$5016960
Cody Zeller*,$4030560,$4030560,$4204200,$5318313,,,1st Round Pick,$4030560
Bismack Biyombo*,$3873398,$3873398,,,,,1st Round Pick,$3873398
Kemba Walker*,$3272091,$3272091,,,,,1st Round Pick,$3272091
Gary Neal*,$3250000,$3250000,,,,,Cap Space,$3250000
Jeffery Taylor*,$915243,$915243,,,,,Cap Space,
Luke Ridnour,$8208000,,,,,,,
Jannero Pargo,$915243,,,,,,,
Anthony Tolliver,$915243,,,,,,,
Chris Douglas-Roberts,$915243,,,,,,,
D.J. White,$915243,,,,,,,
Noah Vonleh,$2103500,,,,,,,
P.J. Hairston,$958100,,,,,,,
Team Totals,$63955491,$49024919,$39368937,$14718313,,,,$57109676
