
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Derrick Favors*,$12833333,$12833333,$11933333,$10983333,$11933333,,1st Round Pick,$46950000
Enes Kanter*,$5694674,$5694674,,,,,1st Round Pick,$5694674
Alec Burks*,$3034356,$3034356,,,,,1st Round Pick,$3034356
Trey Burke*,$2548560,$2548560,$2658240,$3386598,,,1st Round Pick,$2548560
Jeremy Evans*,$1794871,$1794871,,,,,Early Bird Rights,$1794871
John Lucas*,$1600000,$1600000,,,,,Cap Space,
Rudy Gobert*,$1127400,$1127400,$1175880,$2121288,,,1st Round Pick,$1127400
Diante Garrett*,$915243,$915243,$981348,,,,Cap Space,
Ian Clark*,$816482,$816482,,,,,Minimum Salary,
Erik Murphy*,$816482,$816482,,,,,Minimum Salary,
Malcolm Thomas,$948163,$948163,,,,,,
Richard Jefferson,$16569000,,,,,,,
Marvin Williams,$12075000,,,,,,,
Gordon Hayward,$8630458,,,,,,,
Dante Exum,$3012500,,,,,,,
Rodney Hood,$1075300,,,,,,,
Team Totals,$73491822,$32129564,$16748801,$16491219,$11933333,,,$61149861
