
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Rudy Gay*,$19317325,$19317325,,,,,Bird Rights,$19317325
DeMarcus Cousins*,$13701250,$13701250,$14728844,$15756438,$16784031,,1st Round Pick,$60970563
Carl Landry*,$6500000,$6500000,$6500000,$6500000,,,Cap Space,$19500000
Derrick Williams*,$6331404,$6331404,,,,,1st Round Pick,$6331404
Jason Thompson*,$6037500,$6037500,$6431250,$6825000,,,Bird Rights,$15118750
Jason Terry*,$5850313,$5850313,,,,,MLE,$5850313
Darren Collison*,$4797664,$4797664,$5013559,$5229454,,,MLE,$15040677
Ben McLemore*,$3026280,$3026280,$3156600,$4008882,,,1st Round Pick,$3026280
Travis Outlaw*,$3000000,$3000000,,,,,Cap Space,$3000000
Nik Stauskas*,$2745840,$2745840,$2869440,$2993040,$3807146,,1st Round Pick,$5615280
Reggie Evans*,$1768653,$1768653,,,,,Non Bird Rights,$1768653
Quincy Acy*,$915243,$915243,,,,,Cap Space,
Ray McCallum*,$816482,$816482,$947276,,,,Cap Space,$816482
Jared Cunningham,$915243,,,,,,,
Team Totals,$75723197,$74807954,$39646969,$41312814,$20591177,,,$156355727
