
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Victor Oladipo*,$4978200,$4978200,$5192520,$6552960,,,1st Round Pick,$4978200
Nikola Vucevic*,$2751260,$2751260,,,,,1st Round Pick,$2751260
Jason Maxiell*,$2500000,$2500000,,,,,MLE,
Tobias Harris*,$2380594,$2380594,,,,,1st Round Pick,$2380594
Maurice Harkless*,$1887840,$1887840,$2894059,,,,1st Round Pick,$1887840
Andrew Nicholson*,$1545840,$1545840,$2380594,,,,1st Round Pick,$1545840
Evan Fournier*,$1483920,$1483920,$2288205,,,,1st Round Pick,$1483920
Kyle O'Quinn*,$915243,$915243,,,,,MLE,
Dewayne Dedmon*,$816482,$816482,$947278,,,,Minimum Salary,
Glen Davis,$6600000,$6600000,,,,,,$6600000
Al Harrington,$3804900,$3804900,,,,,,$3804900
Jameer Nelson,$2000000,$2000000,,,,,,$2000000
Jeremy Richardson,$915243,,,,,,,
E'Twaun Moore,$915243,,,,,,,
Aaron Gordon,$3326700,,,,,,,
Elfrid Payton,$1998200,,,,,,,
(Fran Vasquez),$1898300,$1898300,$1999200,$2652938,,,,
Team Totals,$40717965,$33562579,$15701856,$9205898,,,,$27432554
