
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Joe Johnson*,$23180790,$23180790,$24894863,,,,Bird Rights,$48075653
Deron Williams*,$19754465,$19754465,$21042800,$22331135,,,Bird Rights,$40797265
Brook Lopez*,$15719063,$15719063,$16744219,,,,Bird Rights,$15719063
Kevin Garnett*,$12000000,$12000000,,,,,Bird Rights,$12000000
Jarrett Jack*,$6300000,$6300000,$6300000,$6300000,,,Cap Space,$13100000
Mirza Teletovic*,$3368100,$3368100,,,,,Mini MLE,$3368100
Andrei Kirilenko*,$3326235,$3326235,,,,,Mini MLE,$3326235
Bojan Bogdanovic,$3278000,$3278000,$3425510,$3573020,,,MLE,$10276530
Sergey Karasev*,$1533840,$1533840,$1599840,$2463754,,,1st Round Pick,$1533840
Mason Plumlee*,$1357080,$1357080,$1415520,$2328530,,,1st Round Pick,$1357080
Alan Anderson*,$1276061,$1276061,$1333484,,,,Non Bird rights,$1276061
Marquis Teague*,$1120920,$1120920,$2023261,,,,1st Round Pick,$1120920
Jorge Gutierrez*,$816482,$816482,,,,,Minimum Salary,
Markel Brown*,$507336,$507336,$845059,,,,Minimum Salary,$507336
Cory Jefferson*,$507336,$507336,$845059,,,,Minimum Salary,$75000
Paul Pierce,$23000001,,,,,,,
Andray Blatche,$1788255,,,,,,,
Jason Collins,$915243,,,,,,,
Jerry Stackhouse,$915243,,,,,,,
Team Totals,$120664450,$94045708,$80469615,$36996439,,,,$152533083
