
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Eric Gordon*,$14898938,$14898938,$15514031,,,,Bird Rights,$14898938
Tyreke Evans*,$10763500,$10763500,$11227000,$11690500,,,Bird Rights,$33681000
Jrue Holiday*,$9904495,$9904495,$10595507,$11286518,,,Bird Rights,$31786520
Ryan Anderson*,$8491500,$8491500,$8500000,,,,Bird Rights,$16991500
Omer Asik*,$8374646,$8374646,,,,,Cap Space,$8374646
Anthony Davis*,$5607240,$5607240,$7070730,,,,1st Round Pick,$5607240
Austin Rivers*,$2439840,$2439840,$3110796,,,,1st Round Pick,$2439840
Omri Casspi*,$1063384,$1063384,,,,,Minimum Salary,
Luke Babbitt*,$981084,$981084,,,,,Minimum Salary,
Alexis Ajinca*,$981084,$981084,,,,,Minimum Salary,$981084
Jeff Withey*,$816482,$816482,,,,,Minimum Salary,
Al-Farouq Aminu,$7030000,,,,,,,
Melvin Ely,$1316809,,,,,,,
Anthony Morrow,$1145684,,,,,,,
Brian Roberts,$915243,,,,,,,
Darius Miller,$915243,,,,,,,
James Southerland,$816482,,,,,,,
Team Totals,$76461654,$64322193,$56018064,$22977018,,,,$114760768
