
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Josh Smith*,$13500000,$13500000,$13500000,$13500000,,,Cap Space,$40500000
Brandon Jennings*,$8000000,$8000000,$8344497,,,,Bird Rights,$16344497
Jodie Meeks*,$6000000,$6000000,$6270000,$6540000,,,Cap Space,$18800000
Jonas Jerebko*,$4500000,$4500000,,,,,Early Bird Rights,$4500000
Caron Butler*,$4500000,$4500000,$4500000,,,,,$4500000
D.J. Augustin*,$3000000,$3000000,$3000000,,,,,$6000000
Will Bynum*,$2915908,$2915908,,,,,Cap Space,$2915908
Kentavious Caldwell-Pope*,$2772480,$2772480,$2891760,$3678319,,,1st Round Pick,$2772480
Andre Drummond*,$2568360,$2568360,$3272091,,,,1st Round Pick,$2568360
Luigi Datome*,$1750000,$1750000,,,,,Cap Space,$1750000
Kyle Singler*,$1090000,$1090000,,,,,MLE,$1090000
Tony Mitchell*,$816482,$816482,$947276,,,,Cap Space,$816482
Greg Monroe,$10216135,,,,,,,
Team Totals,$61629365,$51413230,$42725624,$23718319,,,,$102557727
