
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Tony Parker*,$12500000,$12500000,,,,,Bird Rights,$12500000
Tim Duncan*,$10000000,$10000000,,,,,Bird Rights,$10000000
Tiago Splitter*,$9250000,$9250000,$8500000,$8250000,,,Bird Rights,$26000000
Manu Ginobili*,$7000000,$7000000,,,,,Bird Rights,$7000000
Danny Green*,$4025000,$4025000,,,,,Early Bird,$4025000
Kawhi Leonard*,$2894059,$2894059,,,,,1st Round Pick,$2894059
Marco Belinelli*,$2873750,$2873750,,,,,MLE,$2873750
Cory Joseph*,$2023261,$2023261,,,,,1st Round Pick,$2023261
Jeff Ayres*,$1828750,$1828750,,,,,MLE,$1828750
Austin Daye*,$1063384,$1063384,,,,,Minimum Salary,$250000
Boris Diaw,$8934750,,,,,,,
Matt Bonner,$7495500,,,,,,,
Robert Horry,$6897000,,,,,,,
Patrick Mills,$2154505,,,,,,,
Aron Baynes,$1115243,,,,,,,
Damon Stoudamire,$915243,,,,,,,
Nick Van Exel,$915243,,,,,,,
Glenn Robinson,$915243,,,,,,,
Jacque Vaughn,$915243,,,,,,,
Tracy McGrady,$915243,,,,,,,
Livio Jean-Charles,$924800,$924800,$966400,$1008000,$1819440,,,
Kyle Anderson,$911400,,,,,,,
Team Totals,$86467617,$54383004,$9466400,$9258000,$1819440,,,$69394820
