
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Goran Dragic*,$7500000,$7500000,$7500000,,,,Cap Space,$7500000
Isaiah Thomas*,$6912869,$6912869,$6587132,$6261395,,,,$27000002
Alex Len*,$3649920,$3649920,$3807120,$4823621,,,1st Round Pick,$3649920
Gerald Green*,$3500000,$3500000,,,,,Cap Space,$3500000
Markieff Morris*,$2989239,$2989239,,,,,1st Round Pick,$2989239
Marcus Morris*,$2943221,$2943221,,,,,1st Round Pick,$2943221
Shavlik Randolph*,$1227985,$1227985,,,,,Minimum Salary,
Miles Plumlee*,$1169880,$1169880,$2109294,,,,1st Round Pick,$1169880
Archie Goodwin*,$1112280,$1112280,$1160160,$2094089,,,1st Round Pick,$1112280
Ishmael Smith*,$992435,$992435,,,,,Non Bird Rights,
Dionte Christmas*,$816482,$816482,,,,,,
Michael Beasley,$777778,$777778,$777778,$777777,,,,$2333333
Emeka Okafor,$21731250,,,,,,,
Channing Frye,$9600000,,,,,,,
Eric Bledsoe,$6566183,,,,,,,
Leandro Barbosa,$915243,,,,,,,
T.J. Warren,$1627600,,,,,,,
Tyler Ennis,$1325600,,,,,,,
Bogdan Bogdanovic,$930500,,,,,,,
Team Totals,$76288465,$33592089,$21941484,$13956882,,,,$52197875
