
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Kevin Durant*,$18995624,$18995624,$20158622,,,,Bird Rights,$39154246
Russell Westbrook*,$15719062,$15719062,$16744218,$17769374,,,Bird Rights,$50232654
Serge Ibaka*,$12350000,$12350000,$12350000,$12350000,,,Bird Rights,$36750000
Kendrick Perkins*,$9654342,$9654342,,,,,Bird Rights,$9154342
Nick Collison*,$2242003,$2242003,,,,,Bird Rights,$2242003
Reggie Jackson*,$2204370,$2204370,,,,,1st Round Pick,$2204370
Jeremy Lamb*,$2202000,$2202000,$3034356,,,,1st Round Pick,$2202000
Steven Adams*,$2184960,$2184960,$2279040,$3140517,,,1st Round Pick,$2184960
Hasheem Thabeet*,$1250000,$1250000,,,,,MLE,
Andre Roberson*,$1160880,$1160880,$1210800,$2183072,,,1st Round Pick,$1160880
Perry Jones*,$1129200,$1129200,$2038206,,,,1st Round Pick,$1129200
Grant Jerrett,$816482,$816482,,,,,Minimum Salary,
Derek Fisher,$915243,,,,,,,$884293
Mitch McGary,$1166700,,,,,,,
Josh Huestis,$918000,,,,,,,
Team Totals,$72908866,$69908923,$57815242,$35442963,,,,$147298948
