
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Kevin Love*,$15719062,$15719062,$16744218,,,,Cap Space,$15719062
Nikola Pekovic*,$12100000,$12100000,$12100000,$12100000,$11600000,,Bird Rights,$47900000
Kevin Martin*,$6792500,$6792500,$7085000,$7377500,,,Bird Rights,$13877500
Ricky Rubio*,$5070686,$5070686,,,,,1st Round Pick,$5070686
Chase Budinger*,$5000000,$5000000,$5000000,,,,Bird Rights,$5000000
Corey Brewer*,$4702500,$4702500,$4905000,,,,Cap Space,$4702500
Jose Barea*,$4519500,$4519500,,,,,Cap Space,$4519500
Luc Mbah a Moute*,$4382576,$4382576,,,,,Bird Rights,$4382576
Alexey Shved*,$3282056,$3282056,,,,,Cap Space,$3282056
Shabazz Muhammad*,$1971960,$1971960,$2056920,$3046299,,,1st Round Pick,$1971960
Ronny Turiaf*,$1500000,$1500000,,,,,Room Exception,$1500000
Gorgui Dieng*,$1413480,$1413480,$1474440,$2348783,,,1st Round Pick,$1413480
Dante Cunningham,$4142000,,,,,,,
Othyus Jeffers,$915243,,,,,,,
Robbie Hummel,$816482,,,,,,,
Zach LaVine,$1713200,,,,,,,
Team Totals,$74041245,$66454320,$49365578,$24872582,$11600000,,,$109339320
