
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
LaMarcus Aldridge*,$16006000,$16006000,,,,,Bird Rights,$15256000
Nicolas Batum*,$11765500,$11765500,$12235750,,,,Bird Rights,$23251250
Wesley Matthews*,$7245640,$7245640,,,,,MLE,$6107640
Robin Lopez*,$6124728,$6124728,,,,,Bird Rights,$5340229
Chris Kaman*,$4800000,$4800000,$5000000,,,,MLE,$5800000
Thomas Robinson*,$3678360,$3678360,$4660482,,,,1st Round Pick,$3678360
Damian Lillard*,$3340920,$3340920,$4236287,,,,1st Round Pick,$3340920
Dorell Wright*,$3150000,$3150000,,,,,Cap Space,$3150000
Joel Freeland*,$3013512,$3013512,,,,,Cap Space,$2567512
C.J. McCollum*,$2421000,$2421000,$2525160,$3219579,,,1st Round Pick,$2421000
Meyers Leonard*,$2317920,$2317920,$3075880,,,,1st Round Pick,$2317920
Steve Blake*,$2077000,$2077000,$2170465,,,,BAE,$2077000
Victor Claver*,$1370000,$1370000,,,,,Cap Space,$1370000
Will Barton*,$915243,$915243,,,,,Cap Space,
Allen Crabbe*,$862000,$862000,$947276,,,,Cap Space,$862000
Mo Williams,$3182400,$2771340,,,,,,
Earl Watson,$915243,,,,,,,
Team Totals,$73185466,$71859163,$34851300,$3219579,,,,$77539831
