
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
David Lee*,$15012000,$15012000,$15493680,,,,Bird Rights,$30505680
Andrew Bogut*,$12972973,$12972973,$12000000,$11027027,,,Bird Rights,$36000000
Andre Iguodala*,$12289544,$12289544,$11710456,$11131368,,,Bird Rights,$35131368
Stephen Curry*,$10629213,$10629213,$11370786,$12112359,,,Bird Rights,$34112358
Shaun Livingston*,$5305000,$5305000,$5543725,$5782450,,,MLE,$13848725
Marreese Speights*,$3657500,$3657500,$3815000,,,,MLE,$3657500
Klay Thompson*,$3075880,$3075880,,,,,1st Round Pick,$3075880
Harrison Barnes*,$3049920,$3049920,$3873398,,,,1st Round Pick,$3049920
Brandon Rush*,$1270964,$1270964,,,,,Minimum Salary,$1145685
Festus Ezeli*,$1112880,$1112880,$2008748,,,,1st Round Pick,$1112880
Nemanja Nedovic*,$1104240,$1104240,$1151760,$2078927,,,1st Round Pick,$1104240
Draymond Green*,$915243,$915243,,,,,MLE,$250000
Ognjen Kuzmic*,$816482,$816482,,,,,Minimum Salary,$816482
Hilton Armstrong,$1145685,$1145685,,,,,,
Jordan Crawford,$5406048,,,,,,,
Jermaine O'Neal,$2400000,,,,,,,
Team Totals,$80163572,$72357524,$66967553,$42132131,,,,$163810718
