FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Brandon,Marshall,WR,15,96,88,87,79,92,92,98,76,24,12,12,65,35,45,92,25,92,97,88,85,66,87,88,85,92,58,10,10,63,45,26,18,39,89,99,98,12,10,99,15,10,5,5,10
Matt,Forte,HB,22,95,91,94,74,92,90,84,96,30,25,25,45,52,20,80,20,92,99,85,82,89,97,84,86,90,40,10,10,11,40,20,15,20,70,75,82,20,20,60,35,30,20,15,15
Robbie,Gould,K,9,93,55,54,25,52,92,15,40,29,96,90,20,16,23,27,10,90,75,65,10,27,10,10,10,10,20,10,10,23,21,19,11,14,12,10,10,12,10,12,35,30,25,20,20
Alshon,Jeffery,WR,17,91,89,84,78,88,82,95,72,29,18,18,63,45,35,91,20,91,83,88,75,66,81,83,83,72,57,10,10,54,30,30,19,22,98,97,92,15,15,98,15,10,5,5,10
Matt,Slauson,LG,68,91,54,71,92,51,85,28,40,24,26,28,92,90,42,27,10,88,81,95,10,20,10,10,10,10,82,10,10,30,35,23,11,13,15,15,15,20,10,15,5,5,5,5,5
Lamarr,Houston,LE,99,89,74,84,87,72,82,29,40,20,20,20,45,45,90,75,10,94,91,72,20,10,10,10,10,10,45,87,65,82,89,82,15,69,15,15,15,76,10,15,5,5,5,5,5
Tim,Jennings,CB,26,88,93,93,45,91,88,74,65,26,8,10,45,45,61,88,45,91,96,65,10,68,45,10,84,82,45,15,23,33,83,89,90,90,35,20,15,60,59,15,5,5,5,5,5
Jared,Allen,RE,69,87,75,84,86,72,94,25,40,20,10,10,45,45,74,71,10,90,89,88,10,37,10,10,10,25,45,90,63,73,84,89,21,30,20,15,15,66,22,20,5,5,5,5,5
Martellus,Bennett,TE,83,87,78,82,79,81,78,82,74,34,28,28,75,67,25,94,55,89,88,83,70,35,68,76,65,75,74,10,10,41,50,20,15,20,87,82,74,12,18,80,15,10,5,5,10
Lance,Briggs,ROLB,55,87,78,84,81,77,93,62,65,33,21,25,45,45,90,62,10,87,90,90,10,41,46,55,55,64,45,71,57,84,89,92,65,66,40,25,10,86,75,25,5,5,5,5,5
Charles,Tillman,CB,33,87,87,87,72,88,90,69,60,14,14,16,45,45,76,95,45,84,98,91,40,30,70,33,66,74,45,50,56,55,92,88,81,87,77,45,25,77,93,20,5,5,5,5,5
Jay,Cutler,QB,6,86,71,76,69,68,77,35,57,98,25,20,19,26,30,69,10,90,90,85,35,25,63,47,63,65,19,10,10,30,39,28,12,12,12,10,10,12,10,12,87,81,85,70,76
Brian,De La Puente,C,64,83,56,73,87,59,85,30,40,26,22,22,78,90,21,28,10,88,85,85,10,12,10,10,10,10,91,10,10,10,10,10,12,12,12,10,10,12,10,12,5,5,5,5,5
Roberto,Garza,C,63,80,49,67,86,54,88,19,40,20,23,21,80,85,21,33,10,87,70,85,10,19,10,10,10,10,74,10,10,21,37,28,11,12,12,10,10,20,10,12,5,5,5,5,5
Willie,Young,RE,97,80,74,86,80,71,76,29,25,17,21,20,45,45,75,85,10,90,84,77,19,11,28,10,35,52,45,74,86,69,80,72,19,45,12,10,10,84,10,12,5,5,5,5,5
Ryan,Mundy,SS,21,79,83,86,65,84,73,61,70,25,25,25,45,45,70,85,10,91,95,78,40,50,70,40,55,77,45,44,46,67,79,63,64,77,45,40,35,87,55,12,5,5,5,5,5
Stephen,Paea,DT,92,79,63,77,98,54,76,20,40,23,22,17,45,45,85,58,14,85,72,96,10,35,10,10,10,10,45,84,44,88,70,60,12,22,12,10,10,87,22,12,5,5,5,5,5
Jeremiah,Ratliff,DT,90,79,65,78,81,65,84,35,40,12,19,19,45,45,73,60,10,86,65,75,29,22,15,10,10,15,45,67,79,72,78,83,20,15,12,10,10,70,10,12,5,5,5,5,5
Kyle,Long,RG,75,78,73,83,82,69,68,40,45,67,14,14,75,84,55,70,15,89,90,91,35,10,25,39,25,22,82,68,45,65,53,39,15,20,12,10,10,62,10,15,5,5,5,5,5
D.J.,Williams,MLB,58,78,82,86,76,83,85,53,65,22,12,15,45,45,78,76,10,84,90,85,60,49,60,70,72,72,45,64,74,70,87,84,71,75,25,20,15,90,80,20,5,5,5,5,5
Jermon,Bushrod,LT,74,77,69,78,91,66,85,20,40,30,16,16,88,76,27,52,10,92,90,89,25,12,10,30,10,10,87,25,10,27,27,10,12,12,12,10,10,35,10,12,5,5,5,5,5
