FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Geno,Atkins,DT,97,96,72,92,91,69,85,25,40,25,20,20,45,45,87,75,10,85,88,80,30,12,15,40,10,10,45,98,72,91,96,84,15,25,15,15,15,65,15,15,5,5,5,5,5
A.J.,Green,WR,18,95,91,93,68,95,87,94,74,40,19,15,39,28,35,97,40,95,96,95,65,85,87,65,88,92,45,10,10,40,40,25,23,30,98,89,94,15,15,97,20,15,15,5,15
Carlos,Dunlap,LE,96,90,84,88,81,82,79,39,40,9,8,10,45,45,82,84,10,86,75,55,35,27,10,10,10,10,45,71,93,75,87,76,30,49,15,15,15,72,20,20,5,5,5,5,5
Vontaze,Burfict,ROLB,55,88,76,85,79,75,82,59,59,22,12,10,45,45,91,80,10,96,93,93,45,15,25,55,25,20,45,84,60,88,95,85,70,84,35,33,10,95,45,20,5,5,5,5,5
Leon,Hall,CB,29,88,88,87,66,88,90,66,60,27,10,11,45,45,68,87,62,87,96,84,25,40,60,15,73,87,45,37,42,50,82,89,85,91,50,38,20,62,91,15,5,5,5,5,5
Andre,Smith,RT,71,88,51,65,96,56,81,23,40,16,14,29,86,94,14,25,10,88,80,90,10,18,10,10,10,10,85,10,10,14,23,24,16,12,15,15,15,20,10,15,5,5,5,5,5
Andrew,Whitworth,LT,77,87,48,67,94,55,92,24,40,35,20,28,92,87,37,53,13,90,78,88,40,19,10,10,10,10,86,20,20,37,40,10,15,12,12,10,10,12,10,12,5,5,5,5,5
Andy,Dalton,QB,14,85,69,74,54,69,81,12,66,86,12,19,14,13,15,66,10,96,91,94,20,20,55,25,55,56,14,10,10,12,23,10,12,12,15,15,15,12,10,15,85,83,83,84,76
Reggie,Nelson,FS,20,85,90,90,59,92,79,74,62,25,15,30,45,45,73,94,50,95,96,86,45,70,55,20,54,65,45,41,50,54,73,69,75,86,52,44,20,76,50,20,15,10,10,15,15
Giovani,Bernard,HB,25,84,91,96,58,96,68,80,83,30,23,15,44,70,35,83,81,84,94,66,65,90,93,74,89,95,42,20,30,32,40,15,19,29,63,77,71,20,20,54,35,30,20,15,15
Jermaine,Gresham,TE,84,83,83,84,75,82,77,81,67,29,22,12,65,53,45,87,10,84,88,95,80,67,84,72,77,82,55,10,10,55,45,16,15,17,84,82,74,12,10,81,15,10,5,5,10
Terence,Newman,CB,23,83,94,91,47,90,89,69,69,12,18,10,45,45,52,91,75,88,97,72,10,45,80,15,72,85,45,22,40,47,60,82,85,80,45,20,35,42,56,15,5,5,5,5,5
Kevin,Zeitler,RG,68,83,60,66,91,59,77,15,40,12,18,16,89,81,25,79,10,79,88,93,20,11,10,10,10,10,85,10,10,15,21,13,13,15,15,15,15,20,10,15,5,5,5,5,5
Tyler,Eifert,TE,85,82,82,85,71,85,62,87,75,40,22,21,68,64,35,90,10,90,95,81,74,54,82,66,65,69,65,20,30,50,39,22,11,27,89,84,70,25,25,85,15,10,5,5,10
Adam,Jones,CB,24,81,92,93,48,94,79,74,65,24,14,18,45,45,51,93,83,88,89,85,39,88,81,25,88,91,45,35,44,38,66,74,88,81,65,35,40,50,59,20,10,10,10,10,10
Marvin,Jones,WR,82,81,91,88,67,92,75,88,68,35,25,24,30,45,32,87,64,93,89,88,47,75,77,55,82,83,49,10,10,35,10,15,20,15,93,85,79,12,20,81,25,20,15,10,15
Kevin,Huber,P,10,80,66,70,55,64,79,31,35,42,89,90,22,19,22,39,10,95,90,60,10,19,10,10,10,10,20,15,15,14,20,19,12,31,12,10,10,12,10,12,30,30,25,20,20
Danieal,Manning,SS,38,80,95,92,61,89,75,70,66,19,18,13,45,45,66,92,85,89,91,86,20,82,75,15,74,84,45,35,45,44,78,65,72,77,20,15,15,65,66,15,5,5,5,5,5
Clint,Boling,LG,65,79,59,70,82,52,74,22,40,29,9,14,84,83,33,25,10,97,81,93,10,20,10,10,10,10,84,10,10,27,48,31,9,11,15,15,15,20,10,15,5,5,5,5,5
Orson,Charles,FB,80,79,75,86,85,82,66,74,74,33,18,16,79,60,40,81,10,95,87,76,71,61,75,65,74,70,76,10,10,47,40,15,15,13,76,78,52,25,25,84,15,10,5,5,10
Mike,Pollak,LG,67,79,72,76,81,65,72,45,45,30,25,25,77,84,30,50,10,73,88,72,20,12,10,30,10,10,81,10,10,20,25,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Darqueze,Dennard,CB,21,78,90,88,57,88,62,73,63,25,15,16,45,45,70,88,40,87,95,85,15,65,67,35,66,67,45,52,66,56,83,70,89,79,55,55,20,65,92,28,5,5,5,5,5
BenJarvus,Green-Ellis,HB,42,78,82,85,80,78,85,46,94,36,25,25,24,67,44,78,70,98,84,88,88,55,88,93,77,73,35,10,10,25,55,15,13,25,49,45,45,20,20,55,10,10,10,10,10
George,Iloka,SS,43,77,82,90,67,87,71,59,66,30,20,15,45,45,65,85,30,95,88,73,56,46,52,45,60,62,45,53,55,75,72,67,66,79,32,45,20,84,88,25,15,10,10,15,15
Jason,Campbell,QB,17,76,72,71,59,70,74,37,60,89,26,21,11,11,27,67,10,88,90,90,42,30,60,56,60,63,11,10,10,27,40,14,14,17,25,15,20,12,10,20,78,76,65,76,78
Robert,Geathers,RE,91,76,78,86,75,74,82,22,40,24,15,17,45,45,76,69,10,93,79,80,30,33,10,10,10,10,45,49,83,66,79,81,22,33,12,10,10,60,10,12,5,5,5,5,5
Rey,Maualuga,MLB,58,76,80,85,80,76,80,45,60,10,25,21,45,45,84,68,10,89,93,95,10,54,25,15,31,36,45,78,65,74,87,75,45,55,15,15,15,93,48,12,5,5,5,5,5
Domata,Peko,DT,94,76,59,74,90,59,85,25,40,27,33,30,65,50,76,62,10,92,73,84,30,12,10,10,10,10,64,71,52,76,73,81,15,20,12,10,10,71,10,12,5,5,5,5,5
Trevor,Robinson,C,66,76,56,70,90,59,75,15,40,29,9,14,84,79,38,79,10,90,79,85,20,10,10,10,10,10,81,10,10,27,48,31,9,11,15,15,15,20,10,15,5,5,5,5,5
Alex,Smith,TE,81,76,74,73,68,74,78,71,65,13,15,19,71,65,44,82,8,90,85,90,60,42,66,66,68,74,72,10,10,52,40,13,26,23,72,75,66,15,10,78,15,10,5,5,10
Mike,Nugent,K,2,75,49,47,34,52,77,16,40,28,92,82,16,17,25,32,10,90,92,65,10,24,10,10,10,10,16,10,10,25,22,29,20,14,15,15,15,12,10,15,35,30,25,20,20
