FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Kyle,Williams,DT,95,95,62,79,89,65,95,25,40,25,18,17,45,45,95,64,10,82,85,92,10,19,10,10,10,10,45,95,60,93,92,93,30,23,15,15,15,50,10,15,5,5,5,5,5
Marcell,Dareus,DT,99,91,72,82,94,71,79,40,40,25,20,20,45,45,89,69,10,94,82,96,40,12,39,55,10,10,45,91,66,91,87,78,25,34,15,15,15,90,15,15,5,5,5,5,5
Mario,Williams,RE,94,91,83,90,88,84,83,54,40,10,33,15,45,45,76,85,10,90,95,95,10,40,10,10,75,72,45,74,87,80,88,79,54,73,35,20,15,84,25,45,5,5,5,5,5
Kiko,Alonso,ROLB,50,88,81,88,66,83,83,78,55,29,19,19,45,45,89,78,15,88,96,81,48,25,45,42,35,39,45,70,67,78,95,93,72,86,29,25,10,80,55,12,5,5,5,5,5
Cordy,Glenn,LT,77,88,72,73,93,69,78,33,40,16,14,29,86,95,24,63,10,89,83,83,25,10,10,35,10,10,89,15,10,20,28,22,16,12,15,15,15,23,10,15,5,5,5,5,5
Dan,Carpenter,K,2,87,58,58,50,52,78,45,48,50,95,92,20,20,20,45,10,83,82,68,20,25,10,10,10,10,23,10,10,12,20,15,16,20,15,15,15,12,10,12,15,15,15,15,15
Brandon,Spikes,MLB,51,86,76,85,84,79,84,61,55,16,12,11,45,45,94,74,10,88,91,92,55,30,44,35,20,35,45,82,54,89,88,85,56,68,20,15,15,95,69,25,5,5,5,5,5
Stephon,Gilmore,CB,24,85,94,92,56,88,75,66,62,22,30,25,45,45,61,89,66,94,96,72,22,79,66,30,45,75,45,60,44,53,73,79,88,91,42,40,15,68,83,15,5,5,5,5,5
Fred,Jackson,HB,22,85,87,89,77,86,90,77,83,30,25,25,30,72,35,80,40,84,95,80,79,85,88,86,78,84,40,10,10,25,35,15,12,15,40,72,74,15,15,60,35,30,20,15,15
C.J.,Spiller,HB,28,85,96,97,62,97,82,82,78,35,25,22,32,50,35,91,85,77,88,80,56,90,89,64,90,95,30,10,10,35,35,28,12,12,65,67,69,16,15,75,45,35,30,15,25
