FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Peyton,Manning,QB,18,98,60,55,63,52,99,26,63,86,23,24,27,25,28,49,10,90,99,90,20,20,50,25,35,55,27,10,10,28,33,17,12,22,15,15,15,12,10,15,99,96,88,98,75
Von,Miller,LOLB,58,96,88,94,85,86,85,47,65,19,21,15,45,45,92,80,10,97,91,88,40,35,40,35,45,54,45,87,97,92,98,87,62,72,40,20,15,89,60,35,5,5,5,5,5
Matt,Prater,K,5,95,62,63,43,47,84,35,40,45,99,95,20,20,20,40,10,85,75,50,10,12,10,10,10,10,15,10,10,10,25,15,10,25,12,10,10,12,10,12,35,30,25,20,20
Demaryius,Thomas,WR,88,93,96,94,77,93,89,94,63,35,14,22,63,45,22,95,60,89,90,93,74,65,83,90,80,85,65,10,10,45,47,17,11,22,94,91,90,15,15,95,15,10,5,5,10
Louis,Vasquez,RG,65,93,48,66,96,52,90,30,40,23,22,17,85,98,31,30,14,95,85,98,10,35,10,10,10,10,76,10,10,31,35,10,12,12,12,10,10,12,10,12,5,5,5,5,5
Ryan,Clady,LT,78,91,69,84,89,72,90,40,45,30,25,25,82,97,30,50,10,88,93,84,20,12,10,30,10,10,84,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
T.J.,Ward,SS,43,91,86,87,68,83,81,66,55,17,26,15,45,45,88,87,62,90,98,95,39,35,47,42,45,65,45,55,48,73,86,75,58,84,20,29,15,92,55,20,15,10,10,15,15
Aqib,Talib,CB,21,90,90,92,64,92,86,79,74,40,25,25,45,45,53,97,79,87,94,85,40,76,85,30,80,89,45,47,57,56,76,84,90,90,80,60,55,67,95,55,5,5,5,5,5
DeMarcus,Ware,RE,94,90,84,93,86,84,85,46,65,19,21,15,45,45,71,75,10,90,84,90,10,44,18,33,35,54,45,92,75,67,83,84,55,73,40,20,15,85,60,35,5,5,5,5,5
Wes,Welker,WR,83,89,85,95,54,92,97,89,69,27,73,69,61,17,27,74,75,93,98,99,66,93,94,65,92,88,35,10,10,45,45,19,11,16,85,94,96,15,15,69,15,10,5,5,10
Terrance,Knighton,DT,98,88,63,76,93,62,82,50,40,14,17,11,45,45,91,55,10,94,83,75,10,14,10,10,10,10,45,87,56,95,85,79,15,18,28,35,38,72,10,35,5,5,5,5,5
Orlando,Franklin,LG,74,87,61,74,94,55,81,26,40,17,15,22,76,92,45,55,10,88,78,91,22,20,12,15,10,10,84,10,10,35,35,10,12,12,20,20,20,20,10,25,5,5,5,5,5
Julius,Thomas,TE,80,87,86,90,71,88,77,87,71,25,19,19,64,56,35,91,10,90,76,75,75,67,78,74,74,78,65,10,10,47,25,21,10,24,87,81,80,12,10,80,15,10,5,5,10
Will,Montgomery,C,64,86,48,67,94,50,85,22,40,15,24,20,92,82,46,51,10,92,81,79,30,21,10,10,10,10,89,10,10,36,35,25,14,14,12,10,10,12,10,12,5,5,5,5,5
Chris,Harris Jr.,CB,25,85,91,93,52,91,79,63,60,35,25,25,45,45,60,87,35,92,91,86,19,70,55,33,60,64,45,32,35,54,76,81,91,85,38,48,33,60,68,30,5,5,5,5,5
Rahim,Moore,FS,26,85,84,85,63,90,77,77,67,24,14,15,45,45,77,89,45,95,90,74,30,65,66,35,75,72,45,40,55,54,64,78,72,87,78,70,30,83,74,20,15,10,10,15,15
Manny,Ramirez,C,66,85,55,63,93,54,85,25,40,21,20,24,90,85,35,40,10,90,77,86,25,12,10,30,10,10,81,20,15,30,25,20,13,15,12,10,10,20,10,12,5,5,5,5,5
Chris,Clark,RT,75,84,55,67,87,55,80,25,35,23,17,18,87,88,33,44,10,88,72,71,10,20,10,10,10,10,72,10,10,23,28,13,12,29,12,10,10,12,10,12,5,5,5,5,5
Emmanuel,Sanders,WR,10,83,93,95,42,93,83,87,51,35,30,30,31,26,25,92,55,86,91,74,30,88,84,35,86,90,30,10,10,35,35,20,13,25,88,80,85,12,18,75,15,10,5,5,10
Danny,Trevathan,ROLB,59,82,79,85,67,78,78,52,45,20,37,30,45,45,92,82,10,94,92,85,28,14,28,40,24,40,45,75,62,70,94,83,67,82,20,15,15,76,40,35,5,5,5,5,5
Jacob,Tamme,TE,84,79,81,81,62,81,80,83,78,30,25,25,61,51,40,73,30,88,86,82,68,47,75,68,78,74,57,30,20,40,40,15,12,15,83,82,74,20,10,75,20,15,10,10,10
Kevin,Vickerson,DT,99,79,64,74,89,65,77,35,40,20,20,20,45,45,85,70,10,87,62,80,10,12,10,10,10,10,45,78,62,80,72,73,15,20,12,10,10,60,10,12,5,5,5,5,5
Montee,Ball,HB,28,78,86,90,77,84,70,64,87,40,20,22,53,54,39,81,35,91,97,92,91,69,84,87,81,82,57,30,30,35,35,30,15,20,61,72,50,55,15,64,40,35,30,25,35
Joel,Dreessen,TE,81,78,76,80,74,74,79,76,66,11,17,18,71,57,35,73,5,87,86,86,63,22,64,45,60,62,75,10,10,45,55,14,12,25,71,82,76,15,15,65,5,5,5,5,5
Nate,Irving,LOLB,56,76,77,83,75,73,71,64,55,33,20,21,45,45,81,70,10,82,88,93,10,46,19,27,45,35,45,78,55,83,82,76,65,77,30,25,15,88,60,30,5,5,5,5,5
Malik,Jackson,LE,97,76,71,86,79,66,71,35,39,30,30,30,45,45,89,78,10,90,77,80,55,30,35,45,25,30,45,87,54,84,71,52,20,37,15,10,10,72,35,12,5,5,5,5,5
Derek,Wolfe,LE,95,76,68,76,89,68,72,33,40,20,10,10,45,45,85,84,10,77,79,88,40,20,15,25,10,10,45,83,49,83,79,75,22,35,15,10,10,72,15,12,5,5,5,5,5
Andre,Caldwell,WR,12,75,92,89,53,88,75,76,71,70,30,30,55,30,25,90,80,75,82,65,44,85,80,40,86,83,30,10,10,44,30,20,11,25,76,79,74,12,18,73,15,10,5,5,10
Duke,Ihenacho,SS,27,75,85,89,68,86,69,63,65,24,15,19,45,45,72,90,58,92,86,78,48,45,52,45,60,61,45,62,54,64,74,61,60,68,57,60,25,85,65,20,15,10,10,15,15
Britton,Colquitt,P,4,74,63,66,35,60,75,22,47,42,88,88,16,15,25,40,11,92,88,55,12,15,10,10,10,10,10,10,10,10,10,22,10,23,12,14,11,12,11,12,28,27,25,25,20
Ronnie,Hillman,HB,23,74,91,94,54,93,67,68,67,25,22,19,45,47,31,89,45,78,95,81,55,92,87,55,81,94,45,10,10,15,48,23,12,16,48,42,43,12,10,49,35,30,20,15,15
Sylvester,Williams,DT,92,74,68,86,84,66,57,25,44,29,15,14,45,45,82,72,10,93,76,75,24,11,21,26,10,10,45,74,76,82,65,66,15,24,15,15,15,79,12,15,5,5,5,5,5
David,Bruton,SS,30,73,88,85,64,78,71,62,60,24,26,19,45,45,69,85,35,90,91,85,49,40,48,60,60,62,45,50,49,75,82,60,55,68,40,36,20,65,85,25,5,5,5,5,5
Tony,Carter,CB,32,73,92,93,45,88,70,61,55,25,10,15,45,45,49,88,40,88,85,62,32,66,49,30,72,75,45,20,25,48,63,65,80,79,25,25,25,41,52,12,5,5,5,5,5
Quinton,Carter,FS,38,73,84,85,66,78,70,67,65,30,20,15,45,45,69,89,40,95,87,89,47,45,55,45,65,75,45,52,45,62,70,66,47,73,67,55,20,92,65,15,15,10,10,15,15
Eric,Hagg,FS,37,73,80,86,63,83,69,66,56,20,17,21,45,45,70,87,40,92,90,75,10,32,49,24,45,62,45,35,47,54,69,65,76,72,55,54,15,64,83,15,15,10,10,15,15
Brock,Osweiler,QB,17,73,69,75,68,77,52,25,58,96,26,15,22,21,23,81,10,96,88,87,40,20,54,45,44,45,21,10,10,23,19,15,10,15,39,27,10,15,10,15,81,78,74,65,75
Bradley,Roby,CB,29,73,94,96,55,92,55,68,55,15,11,12,45,45,49,82,55,87,92,70,15,65,65,25,60,72,45,46,64,54,69,55,86,80,60,49,25,72,68,35,5,5,5,5,5
Mitch,Unrein,DT,96,73,64,66,84,63,73,25,40,23,13,12,45,45,80,60,10,88,77,84,10,16,10,10,10,10,45,79,56,75,73,70,23,25,15,15,15,66,11,15,5,5,5,5,5
Omar,Bolden,FS,31,72,87,91,72,91,61,65,65,35,25,25,45,45,64,82,75,74,88,85,36,79,72,35,73,83,45,35,36,50,67,68,77,74,49,45,40,51,62,30,5,5,5,5,5
Jamar,Chaney,MLB,51,72,86,83,67,81,76,49,60,11,24,16,45,45,79,82,10,87,90,75,54,25,19,15,25,30,45,68,52,73,85,79,60,72,25,20,15,76,50,30,5,5,5,5,5
Sione,Fua,DT,91,72,57,69,91,53,64,25,40,14,17,11,75,68,76,53,10,95,72,94,10,13,10,10,10,10,71,80,60,79,67,71,12,15,15,15,15,66,10,15,5,5,5,5,5
Cody,Latimer,WR,14,72,89,85,75,88,49,86,74,32,19,19,57,51,35,91,25,82,88,87,68,55,73,65,70,74,59,10,10,42,35,26,18,24,84,88,64,15,25,88,15,10,5,5,10
C.J.,Anderson,HB,22,71,88,87,64,85,64,71,82,25,10,11,52,62,35,83,54,94,86,80,80,60,82,74,76,75,49,10,10,22,37,17,15,31,60,65,49,20,20,50,35,30,20,15,15
Zac,Dysert,QB,2,71,73,71,64,73,50,54,67,89,20,21,14,14,25,67,10,90,93,76,35,30,75,45,44,53,14,10,10,24,35,25,21,21,24,25,15,12,10,15,85,80,73,60,83
