FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Joe,Thomas,LT,73,98,72,82,94,74,93,40,50,16,21,23,89,99,45,75,10,98,96,96,10,25,10,10,10,10,97,40,30,40,55,30,12,12,25,30,25,35,10,35,5,5,5,5,5
Joe,Haden,CB,23,95,91,96,61,97,88,75,60,35,10,11,45,45,58,94,25,95,98,89,35,87,83,15,82,89,45,55,48,50,86,88,98,94,60,45,20,72,87,25,5,5,5,5,5
Josh,Gordon,WR,12,93,92,91,69,93,84,95,74,39,32,31,47,44,44,90,50,90,88,82,64,84,88,74,82,88,55,10,10,45,45,20,18,20,94,95,92,15,45,93,15,10,5,5,10
Alex,Mack,C,55,92,66,84,91,62,85,29,55,17,19,16,94,88,26,20,10,98,90,88,50,15,55,52,25,25,92,10,10,26,32,21,7,12,15,15,15,20,10,15,5,5,5,5,5
Donte,Whitner,SS,31,89,88,84,69,87,79,55,63,21,17,19,45,45,83,91,35,93,92,84,46,55,54,34,60,75,45,55,66,72,84,75,67,81,30,30,15,89,42,25,5,5,5,5,5
Jordan,Cameron,TE,84,88,84,88,70,88,77,90,71,35,22,21,65,55,35,93,10,90,85,72,66,74,75,65,73,80,66,30,25,40,22,20,17,15,92,83,78,25,25,82,30,25,20,10,20
Karlos,Dansby,MLB,56,88,79,83,83,76,94,65,65,12,14,9,45,45,94,67,10,90,89,87,40,15,55,63,55,67,45,74,60,78,90,93,67,81,20,15,10,85,55,15,5,5,5,5,5
Paul,Kruger,LOLB,99,85,78,84,84,74,86,64,45,32,24,15,45,45,83,62,10,94,85,95,45,49,50,77,57,62,45,79,84,76,84,83,56,66,35,35,35,85,50,55,5,5,5,5,5
Jabaal,Sheard,ROLB,97,83,81,87,76,74,79,35,35,20,20,15,45,45,87,81,5,89,85,97,30,12,10,10,10,10,45,76,90,82,89,76,60,65,22,20,10,73,10,12,5,5,5,5,5
Ben,Tate,HB,44,83,91,92,74,86,75,67,91,25,20,15,39,44,22,79,60,77,87,85,88,65,87,83,93,83,40,10,10,13,48,23,12,16,45,55,49,12,10,55,35,30,20,15,15
Phil,Taylor,DT,98,83,62,72,94,65,76,22,40,25,23,17,45,45,88,64,10,84,76,65,25,14,11,10,10,10,45,83,54,91,83,76,17,19,15,15,15,85,10,15,5,5,5,5,5
Ahtyba,Rubin,LE,71,82,59,74,94,57,89,46,40,26,25,25,45,45,93,62,10,90,77,90,20,12,15,35,10,10,45,79,47,92,84,88,15,30,15,15,15,74,15,15,5,5,5,5,5
Desmond,Bryant,RE,92,81,66,78,87,65,81,36,35,19,27,24,45,45,87,65,10,85,77,75,10,12,10,10,10,10,45,80,63,86,85,79,25,41,12,10,10,83,10,12,5,5,5,5,5
Chris,Ogbonnaya,FB,25,81,85,88,74,83,77,76,81,30,20,20,66,65,49,67,55,89,65,87,80,59,76,82,72,77,65,10,10,32,50,21,15,15,65,67,77,12,10,55,35,30,20,15,15
Billy,Cundiff,K,8,79,60,62,25,49,84,27,40,30,90,83,21,19,15,30,10,74,84,50,10,20,10,10,10,10,21,10,10,15,24,20,10,30,12,10,10,12,10,12,35,30,25,20,20
John,Greco,LG,77,79,62,76,83,60,77,45,45,30,25,25,87,78,30,50,10,94,78,90,20,12,10,30,10,10,77,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Brian,Hoyer,QB,6,79,65,69,60,66,73,25,60,86,15,18,18,12,19,69,10,86,88,70,23,40,65,20,55,66,18,10,10,19,12,25,13,19,15,15,15,12,10,15,82,77,78,85,76
Billy,Winn,LE,90,79,73,85,78,71,72,50,40,10,24,21,45,45,85,74,10,87,76,87,25,11,10,10,10,17,45,57,84,85,78,70,13,34,12,10,10,66,10,12,5,5,5,5,5
Mitchell,Schwartz,RT,72,78,60,75,85,63,78,27,40,11,15,12,76,87,35,73,10,84,88,91,10,21,10,10,10,10,80,10,10,25,30,28,12,13,15,15,15,20,10,15,5,5,5,5,5
Miles,Austin,WR,19,77,88,87,61,86,84,83,67,21,20,22,61,21,15,89,60,85,97,72,57,78,85,60,82,84,40,10,10,35,35,26,15,26,82,77,78,12,10,65,15,10,5,5,10
Nate,Burleson,WR,13,77,91,89,51,90,82,83,73,10,16,25,43,25,10,90,75,74,89,80,40,91,87,35,86,92,35,10,10,39,37,22,12,22,81,66,80,15,15,60,15,10,5,5,10
Justin,Gilbert,CB,21,77,94,94,63,92,59,75,65,26,21,17,45,45,53,87,75,95,94,84,25,77,81,39,72,83,45,35,44,42,64,63,85,86,70,60,19,45,76,24,5,5,5,5,5
Tashaun,Gipson,FS,39,77,85,90,71,85,72,64,66,21,20,19,45,45,75,84,65,93,88,81,54,50,61,44,55,60,45,48,63,62,70,66,67,75,45,44,15,70,76,25,5,5,5,5,5
Andrew,Hawkins,WR,16,77,94,96,41,97,78,82,66,40,28,24,50,27,24,91,82,88,85,64,36,93,87,30,87,97,25,10,10,35,24,27,19,22,81,73,80,15,15,49,39,38,37,25,33
John,Hughes,RE,93,77,63,69,84,64,74,25,40,25,20,20,45,45,86,81,10,91,75,74,29,12,15,35,10,10,45,70,82,87,82,69,15,31,15,15,15,66,15,15,5,5,5,5,5
Johnny,Manziel,QB,2,77,82,91,54,93,58,65,60,90,24,26,30,10,24,80,10,87,97,92,39,83,95,55,87,93,25,10,10,16,35,35,15,14,60,54,35,12,10,35,87,75,82,59,91
Joel,Bitonio,RG,75,76,71,87,83,74,50,28,40,16,24,21,87,82,21,79,10,92,88,91,28,15,10,10,10,10,84,10,10,10,19,28,12,20,15,15,15,25,10,15,5,5,5,5,5
Barkevious,Mingo,ROLB,51,76,87,94,65,87,64,50,55,25,19,14,45,45,80,91,10,90,95,72,55,60,48,49,70,45,45,77,89,75,86,65,59,65,40,35,15,78,65,25,5,5,5,5,5
Jason,Pinkston,RG,62,76,54,70,90,65,69,12,13,10,11,15,82,79,35,57,10,78,75,61,24,19,10,10,10,10,75,30,30,25,29,26,12,9,15,15,15,20,10,15,5,5,5,5,5
Gary,Barnidge,TE,82,75,79,81,73,74,74,73,70,30,30,30,72,55,45,80,30,76,74,72,60,25,50,65,40,55,66,25,25,40,59,15,12,15,75,81,72,20,10,65,15,10,5,5,10
Buster,Skrine,CB,22,75,96,93,46,90,72,60,58,10,15,16,45,45,52,86,75,88,90,69,10,78,70,25,75,81,45,29,35,31,62,69,76,81,49,45,22,41,59,20,5,5,5,5,5
Paul,McQuistan,LG,74,74,46,62,89,46,80,15,40,25,16,14,80,78,33,26,10,95,78,95,10,18,10,10,10,10,69,10,10,33,20,10,12,12,15,15,15,20,10,15,5,5,5,5,5
Craig,Robertson,MLB,53,73,84,87,68,82,75,69,55,30,20,20,45,45,79,72,10,87,86,85,44,32,27,40,30,40,45,71,53,74,88,75,65,73,25,15,15,78,55,15,5,5,5,5,5
Johnson,Bademosi,FS,24,71,91,90,63,88,66,63,71,42,38,29,45,45,66,95,77,93,85,84,61,57,51,45,67,65,45,59,51,55,64,44,68,76,35,33,25,65,68,42,15,10,10,15,15
Jim,Dray,TE,81,71,72,75,70,74,76,70,65,17,30,29,75,62,33,69,10,87,84,77,62,35,55,66,70,65,77,10,10,10,34,30,10,23,63,66,57,25,35,66,5,5,5,5,5
Dion,Lewis,HB,28,71,85,94,59,93,63,67,72,11,14,11,35,32,29,75,35,76,89,76,59,85,78,76,93,83,35,10,10,20,44,28,11,20,52,56,37,12,10,55,35,30,20,15,15
Aaron,Berry,CB,38,70,88,90,55,88,65,53,45,25,10,11,45,45,57,87,62,79,91,65,35,76,62,35,69,79,45,24,25,37,65,59,73,80,25,20,20,47,77,12,5,5,5,5,5
Leon,McFadden,CB,29,70,88,90,47,93,56,65,63,40,25,25,45,45,49,85,60,90,92,72,25,70,65,35,68,72,45,35,39,42,61,71,83,78,45,44,33,33,49,35,5,5,5,5,5
Travis,Benjamin,WR,11,69,97,95,37,94,66,74,60,30,20,15,45,26,20,90,84,82,92,62,28,84,82,33,80,93,33,15,20,35,19,15,15,20,75,74,67,12,13,51,10,10,10,10,10
