FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Gerald,McCoy,DT,93,95,72,93,90,75,79,32,40,15,12,11,45,45,91,82,10,78,90,79,35,17,35,10,10,10,45,97,77,89,95,84,24,32,12,10,10,85,10,12,5,5,5,5,5
Lavonte,David,ROLB,54,93,88,90,66,88,89,66,60,15,14,12,45,45,98,88,10,97,97,89,26,25,35,39,25,35,45,67,73,75,98,96,75,88,15,15,15,81,55,25,5,5,5,5,5
Carl,Nicks,LG,77,93,63,78,96,63,86,40,40,30,25,25,91,88,30,50,10,78,83,84,20,12,10,30,10,10,82,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Vincent,Jackson,WR,83,92,90,85,80,86,91,95,86,19,19,19,40,45,40,95,50,88,90,88,77,48,79,78,72,77,68,10,10,45,45,18,12,30,95,96,92,22,10,98,15,10,5,5,10
Michael,Johnson,RE,90,91,84,92,73,83,81,45,40,20,25,15,45,45,91,87,10,88,84,70,25,50,10,45,55,50,45,69,91,79,87,76,50,68,25,15,15,70,30,15,5,5,5,5,5
Doug,Martin,HB,22,89,91,95,81,92,75,74,94,39,35,33,49,47,54,88,75,96,97,93,76,90,93,88,93,87,57,25,30,49,62,37,35,45,65,70,65,70,20,52,35,30,15,10,10
Alterraun,Verner,CB,21,87,88,92,49,94,87,79,60,35,20,20,45,45,68,88,52,91,96,65,25,75,60,20,65,80,45,45,58,46,74,86,89,88,75,60,30,42,68,30,5,5,5,5,5
Demar,Dotson,RT,69,85,49,64,87,52,80,25,35,22,15,15,86,91,55,50,10,92,83,80,10,19,10,10,10,10,87,60,40,50,35,30,10,12,12,10,10,39,10,12,5,5,5,5,5
Anthony,Collins,LT,73,84,57,72,90,61,80,45,45,30,25,25,80,94,30,50,10,93,79,87,20,12,10,30,10,10,82,10,10,20,25,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Connor,Barth,K,10,83,60,59,40,55,74,23,40,40,93,91,16,17,29,25,10,86,75,70,10,15,10,10,10,10,16,10,10,29,32,24,11,17,15,15,15,12,10,15,15,15,15,15,15
Josh,McCown,QB,12,83,76,78,59,75,76,60,51,84,17,25,14,14,20,50,10,75,90,72,25,27,63,34,64,64,14,10,10,20,35,29,21,21,40,52,58,12,10,40,85,85,79,85,79
Mark,Barron,SS,23,82,85,87,72,83,68,68,64,35,20,15,45,45,75,85,35,81,94,88,55,35,72,52,55,60,56,65,44,67,85,66,65,78,75,65,25,94,66,20,15,10,10,15,15
Evan,Dietrich-Smith,C,62,82,56,67,87,59,80,40,40,30,21,20,85,88,30,59,10,88,76,75,20,12,15,30,10,14,79,10,10,20,29,15,12,15,35,35,30,20,10,15,5,5,5,5,5
Dashon,Goldson,FS,38,81,87,89,66,84,75,76,70,30,20,15,45,45,68,90,45,92,94,86,30,45,55,15,70,80,45,22,35,63,76,74,67,79,67,55,20,96,56,15,15,10,10,15,15
Mike,Glennon,QB,8,79,56,64,58,53,68,25,61,95,22,21,25,20,30,65,10,96,90,73,34,20,42,45,30,32,21,10,10,23,21,18,10,16,12,10,10,15,10,12,79,77,86,87,75
Mike,Evans,WR,13,78,88,90,69,86,54,89,71,35,25,24,60,45,39,93,50,96,92,88,74,72,82,76,78,82,58,10,10,35,25,15,20,15,90,89,69,15,20,93,25,20,15,10,15
Michael,Koenen,P,9,78,57,54,35,48,87,25,40,45,88,83,16,19,14,28,10,85,85,60,10,15,10,10,10,10,16,10,10,14,18,24,10,30,15,15,15,12,10,15,30,30,25,20,20
Major,Wright,SS,31,78,85,87,63,84,73,71,66,20,25,15,45,45,66,84,55,95,92,91,10,54,25,25,65,66,45,45,62,62,73,65,63,78,45,45,15,90,62,12,15,10,10,15,15
Mike,Jenkins,CB,24,77,92,88,60,87,75,63,68,35,25,25,45,45,51,95,65,92,93,82,35,45,70,25,70,80,45,32,25,59,67,66,82,76,40,40,40,44,87,30,5,5,5,5,5
Clinton,McDonald,DT,98,77,66,78,83,65,76,32,22,36,20,20,45,45,84,64,10,86,78,87,22,24,20,25,25,20,45,82,59,77,80,67,22,32,15,26,15,66,24,25,5,5,5,5,5
