FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Calais,Campbell,LE,93,96,74,84,87,80,88,46,45,35,30,30,45,45,88,85,10,96,92,80,40,26,20,45,15,15,45,75,94,82,92,80,25,40,15,10,10,74,35,12,5,5,5,5,5
Larry,Fitzgerald,WR,11,93,87,89,77,91,95,96,74,26,18,19,64,40,30,98,25,95,99,97,72,54,86,75,85,86,65,10,10,40,42,30,18,14,98,93,90,12,10,94,15,10,5,5,10
Patrick,Peterson,CB,21,93,98,97,67,97,83,82,67,70,28,21,45,45,60,96,97,97,97,82,55,94,95,65,88,94,45,52,63,38,74,80,94,90,84,65,40,72,93,54,60,37,32,10,35
Daryl,Washington,MLB,58,89,86,92,73,88,82,58,55,36,10,16,45,45,93,86,10,91,96,92,40,47,40,10,35,45,45,75,89,86,95,84,72,78,15,15,15,87,55,15,5,5,5,5,5
Jared,Veldheer,LT,68,88,67,78,96,66,81,28,40,12,5,8,84,94,29,67,10,95,85,85,10,15,10,10,10,10,85,10,10,29,19,13,14,18,15,15,15,20,10,15,5,5,5,5,5
Antonio,Cromartie,CB,31,87,96,94,65,97,84,80,75,30,10,15,45,45,57,98,65,87,91,72,56,89,94,49,85,94,45,54,63,53,66,74,88,83,85,55,46,45,79,54,5,5,5,5,5
Jay,Feely,K,4,86,72,82,52,69,88,22,60,22,93,86,23,21,40,31,10,83,84,60,20,30,44,10,30,35,23,10,10,12,20,15,11,15,15,15,15,12,10,15,35,30,25,20,20
John,Abraham,ROLB,55,85,81,87,85,74,95,34,40,35,30,23,45,45,75,56,10,85,91,65,35,10,33,10,40,45,45,94,74,72,84,92,49,55,20,15,15,60,28,35,5,5,5,5,5
Darnell,Dockett,RE,90,85,72,86,90,72,86,41,40,15,8,11,45,45,79,65,10,98,86,88,10,30,10,10,10,10,45,88,72,76,80,70,20,35,12,10,10,68,10,12,5,5,5,5,5
Tyrann,Mathieu,FS,32,84,90,96,39,94,65,74,68,35,25,22,45,45,70,85,87,88,90,85,35,85,87,55,86,94,45,39,64,51,94,78,74,85,66,55,35,84,64,25,5,5,5,5,5
Dave,Zastudil,P,9,84,59,62,50,49,82,24,40,52,91,90,11,10,12,31,10,82,80,60,10,29,10,10,10,10,11,10,10,12,10,25,13,18,12,10,10,12,10,15,30,30,25,20,20
John,Carlson,TE,89,83,72,72,79,71,84,77,77,30,35,35,77,60,50,80,30,87,93,80,70,45,74,70,65,71,71,25,20,40,37,15,12,15,65,84,72,20,10,75,15,10,5,5,10
Jonathan,Cooper,LG,61,83,72,86,90,73,58,35,45,30,25,25,86,88,44,73,10,85,86,72,15,10,10,10,10,10,80,40,30,25,35,25,12,15,12,10,10,55,10,12,5,5,5,5,5
Michael,Floyd,WR,15,83,90,85,72,87,77,88,74,29,19,15,50,55,40,89,40,89,95,90,72,62,78,68,70,73,65,10,10,54,45,18,12,30,92,88,82,22,10,92,15,10,5,5,10
Carson,Palmer,QB,3,83,52,56,66,51,88,12,56,90,14,17,10,11,13,52,10,84,95,87,20,20,40,30,39,53,10,10,10,13,30,24,13,26,12,10,10,12,10,12,85,84,67,81,75
Dan,Williams,DT,92,83,60,73,95,59,83,40,40,10,8,6,45,45,92,62,10,93,75,88,20,10,10,10,10,10,45,82,39,91,85,82,14,15,15,15,15,80,10,15,5,5,5,5,5
Lyle,Sendlein,C,63,81,57,67,81,56,87,30,40,25,20,20,80,87,30,30,10,96,88,85,10,12,10,10,10,10,84,10,10,15,35,15,12,15,12,10,10,20,10,12,5,5,5,5,5
Andre,Ellington,HB,38,80,92,95,54,93,70,76,81,25,15,15,35,40,29,84,76,85,93,84,56,92,88,63,87,93,27,10,10,26,35,20,15,15,65,73,74,20,20,50,33,29,20,15,15
Rashad,Johnson,FS,26,80,85,82,61,84,79,70,70,25,15,30,45,45,73,84,50,95,90,97,45,35,55,20,54,65,45,39,45,60,74,69,65,81,62,63,20,82,47,20,15,10,10,15,15
Jerraud,Powers,CB,25,80,88,86,57,88,82,67,45,17,18,22,45,45,52,87,45,90,94,55,10,50,45,20,65,65,45,19,20,39,69,81,81,88,62,45,20,50,74,15,5,5,5,5,5
Ted,Ginn,WR,19,79,97,96,46,94,78,77,73,40,13,15,55,25,35,88,92,90,95,50,40,89,96,25,93,95,30,10,10,39,44,26,10,20,78,69,81,25,30,69,15,10,5,5,10
Matt,Shaughnessy,LOLB,91,78,73,82,84,68,77,35,40,36,37,16,45,45,90,63,10,84,87,88,25,15,10,10,30,10,45,78,55,83,87,80,54,64,20,15,15,78,44,40,5,5,5,5,5
Jonathan,Dwyer,HB,20,76,88,83,79,80,72,55,88,12,17,11,50,53,35,75,55,95,83,94,92,55,85,92,79,88,49,10,10,22,46,25,14,14,25,40,35,12,10,70,35,30,20,15,15
Rob,Housler,TE,84,76,85,88,63,86,73,81,72,35,22,22,60,49,36,82,45,89,85,55,54,65,72,57,74,68,57,10,10,55,36,17,19,18,82,79,67,12,10,83,15,10,5,5,10
Frostee,Rucker,RE,98,76,68,78,82,73,83,30,40,11,15,18,45,45,87,69,10,88,75,85,30,29,10,10,25,10,45,75,53,76,83,80,30,44,12,10,10,66,10,12,5,5,5,5,5
Lorenzo,Alexander,MLB,97,75,76,84,85,69,79,38,55,30,25,25,45,45,81,67,10,90,84,85,30,12,10,10,10,10,45,87,59,78,79,80,55,63,25,35,35,85,15,30,5,5,5,5,5
Deone,Bucannon,SS,36,75,89,87,71,84,54,74,68,29,19,22,45,45,77,86,35,94,88,88,63,40,74,55,65,61,45,61,51,71,69,64,63,73,77,70,20,92,70,25,5,5,5,5,5
Larry,Foote,MLB,50,75,73,79,77,76,77,37,60,16,10,10,45,45,82,64,10,89,87,88,45,35,30,10,35,40,45,79,67,79,84,78,62,68,20,15,15,85,54,20,5,5,5,5,5
Bobby,Massie,RT,70,75,68,80,83,67,67,40,40,10,8,7,83,75,30,76,10,90,82,91,42,21,25,10,10,10,80,10,10,17,21,24,16,12,12,10,10,22,10,12,5,5,5,5,5
Ted,Larsen,C,62,74,57,81,78,65,73,25,30,30,22,21,78,84,37,54,10,92,83,85,20,15,10,10,10,10,79,20,15,40,29,20,13,15,12,10,10,20,10,12,5,5,5,5,5
Troy,Niklas,TE,87,74,74,82,82,79,46,80,73,19,17,18,75,70,35,81,10,95,92,75,69,38,66,65,63,64,73,10,10,46,45,15,15,29,65,84,59,12,10,85,15,10,5,5,10
Sam,Acho,LOLB,94,73,82,84,72,74,69,54,40,14,13,20,45,45,73,75,10,95,86,82,40,25,35,22,45,25,45,87,63,73,83,73,55,63,15,15,15,79,35,37,5,5,5,5,5
Paul,Fanaika,RG,74,73,51,62,88,50,80,32,40,28,21,29,76,81,19,22,10,87,80,70,10,23,10,10,10,10,64,10,10,19,14,19,21,12,12,10,10,12,10,12,5,5,5,5,5
Kevin,Minter,MLB,51,73,80,82,74,79,65,52,60,25,20,20,45,45,87,81,10,90,92,83,45,25,48,49,55,39,45,54,78,79,85,75,54,73,40,35,15,78,65,15,5,5,5,5,5
Drew,Stanton,QB,5,73,71,80,64,74,68,35,68,87,27,21,19,26,28,67,10,86,92,80,20,27,70,38,64,69,19,10,10,20,35,24,12,12,12,10,10,12,10,12,77,75,74,64,77
Earl,Watford,RG,78,73,68,80,85,71,55,34,44,23,14,10,81,77,44,79,10,95,83,87,25,10,10,10,10,10,88,10,10,29,32,13,12,15,15,15,15,20,10,15,5,5,5,5,5
Jake,Ballard,TE,86,72,73,74,75,69,74,76,75,22,21,22,69,60,46,72,10,70,84,84,70,25,45,75,50,45,66,20,20,40,40,15,12,14,76,73,67,15,10,64,15,10,5,5,10
Alameda,Ta'amu,DT,66,72,58,72,92,61,67,35,40,14,16,21,45,45,86,71,5,86,69,85,29,12,10,25,10,10,45,73,40,85,79,75,10,15,12,10,10,72,10,12,7,7,7,7,7
Justin,Bethel,CB,28,71,88,95,64,93,62,55,68,36,26,26,45,45,64,97,40,93,92,70,36,65,55,42,68,70,45,44,47,45,77,61,70,76,44,35,32,65,71,40,5,5,5,5,5
Mike,Leach,TE,82,71,71,72,69,67,84,62,75,10,17,19,78,67,54,49,10,96,79,75,60,45,55,45,50,55,76,10,10,40,10,27,22,21,59,72,64,12,20,47,10,10,10,10,10
Robert,Hughes,FB,39,70,77,81,72,78,57,64,77,15,20,22,72,55,42,77,55,93,82,88,81,42,73,76,65,73,73,10,10,32,40,30,19,25,55,54,46,25,25,60,20,15,10,10,10
Kareem,Martin,LE,96,70,79,87,79,73,51,35,45,16,15,20,45,45,83,86,10,91,78,74,35,10,25,24,41,21,45,80,70,67,77,50,20,35,15,15,15,72,20,15,5,5,5,5,5
Nate,Potter,RT,76,70,64,75,82,65,63,35,33,30,25,25,78,73,30,77,10,84,90,89,15,12,10,30,10,10,83,10,10,20,27,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Stepfan,Taylor,HB,30,70,82,85,67,81,64,75,87,35,25,25,55,67,35,77,50,97,89,93,86,62,78,88,75,65,54,10,10,11,35,20,15,20,72,75,56,25,20,67,30,25,20,15,15
Keenan,Clayton,ROLB,44,69,79,84,64,77,71,50,55,11,24,16,45,45,76,78,10,83,85,74,54,25,19,15,25,30,45,55,72,64,85,65,61,74,25,20,15,76,50,30,5,5,5,5,5
Tony,Jefferson,SS,22,69,85,88,64,82,50,60,55,24,26,19,45,45,67,82,40,82,90,80,45,57,67,50,66,70,45,57,49,63,83,58,77,67,44,44,20,85,72,25,5,5,5,5,5
Philip,Blake,C,64,68,65,66,86,63,52,21,40,23,14,10,79,83,35,79,10,91,85,82,21,10,10,10,10,10,78,10,10,29,32,13,12,15,15,15,15,20,10,15,5,5,5,5,5
Alex,Okafor,LOLB,57,68,73,81,76,71,60,48,55,14,16,11,45,45,79,72,10,95,88,90,40,30,25,35,25,15,45,91,53,80,73,63,55,60,25,25,20,83,44,20,5,5,5,5,5
Ernie,Sims,MLB,52,68,85,87,74,84,72,40,65,25,22,22,45,45,73,89,10,78,85,95,10,50,37,66,10,70,45,77,83,65,80,64,61,69,30,20,15,85,67,30,5,5,5,5,5
Adrian,Tracy,LE,47,68,76,80,69,73,62,40,60,21,32,22,45,45,76,70,10,88,84,65,35,45,49,45,59,69,45,61,79,67,82,57,50,61,40,30,22,79,55,30,5,5,5,5,5
Marcus,Benard,LOLB,59,66,80,85,69,75,66,40,45,23,16,23,45,45,67,72,10,86,84,82,45,35,31,25,35,35,45,67,82,62,74,64,47,61,15,15,15,82,62,20,5,5,5,5,5
