FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Eric,Weddle,FS,32,94,84,88,66,90,93,73,70,30,45,35,45,45,87,82,65,95,99,80,25,50,76,30,65,77,45,39,63,71,94,92,64,83,35,30,20,77,65,20,5,5,5,5,5
Philip,Rivers,QB,17,92,63,64,63,58,91,22,51,87,15,12,13,12,22,45,10,98,92,98,20,20,45,17,41,50,13,10,10,22,34,26,13,31,12,10,10,12,10,12,93,89,83,95,75
Keenan,Allen,WR,13,87,88,91,67,91,76,93,70,35,22,20,56,45,34,90,74,88,94,83,68,64,86,73,77,79,65,10,10,35,35,26,15,26,90,95,89,15,10,88,30,25,15,15,25
Dwight,Freeney,ROLB,93,87,84,93,76,83,95,48,40,19,15,10,45,45,75,52,10,77,85,82,10,39,36,10,85,55,45,75,96,65,93,88,55,61,35,15,15,75,24,30,5,5,5,5,5
Antonio,Gates,TE,85,86,82,84,65,83,90,88,75,25,15,19,61,45,44,90,8,77,87,85,73,72,85,78,81,83,59,10,10,53,35,21,10,24,87,78,78,12,10,85,15,10,5,5,10
Danny,Woodhead,HB,39,85,91,95,51,95,87,84,90,25,24,22,22,30,26,87,75,85,89,88,44,91,94,53,84,92,30,15,25,25,45,25,18,25,72,76,81,15,15,39,35,25,15,10,10
Nick,Hardwick,C,61,84,59,70,86,57,93,32,40,12,11,15,82,85,45,44,10,90,86,85,10,30,10,10,10,10,84,10,10,45,32,22,10,12,12,10,10,12,10,12,5,5,5,5,5
Ryan,Mathews,HB,24,84,91,92,73,90,79,74,79,24,12,13,40,52,32,75,25,79,93,78,87,76,89,93,84,89,52,10,10,26,45,13,11,21,60,70,68,20,20,65,35,30,20,15,15
Mike,Scifres,P,5,84,67,62,42,55,87,32,40,56,86,90,33,33,42,40,10,76,86,65,10,21,10,10,10,10,33,10,10,22,15,27,13,12,12,10,10,12,10,12,30,30,25,20,20
Donald,Butler,MLB,56,83,84,90,76,83,79,60,54,25,20,20,45,45,91,77,10,85,96,86,39,26,45,35,15,30,45,77,58,84,93,81,61,71,15,15,15,85,45,12,5,5,5,5,5
Corey,Liuget,RE,94,83,68,88,92,72,77,35,40,14,21,17,45,45,83,55,10,95,85,80,40,15,15,10,10,10,45,87,56,88,85,76,21,33,15,15,15,82,10,15,5,5,5,5,5
Nick,Novak,K,9,83,55,60,33,60,78,12,40,29,88,92,24,16,33,30,0,92,88,45,29,32,10,10,10,10,10,10,10,10,10,5,12,12,12,10,10,12,10,12,37,33,27,10,8
King,Dunlap,LT,77,82,58,71,92,63,81,30,35,26,25,25,93,85,35,55,10,80,65,40,20,12,15,25,10,10,79,45,40,30,45,20,15,10,15,15,15,20,15,15,5,5,5,5,5
D.J.,Fluker,RT,76,82,58,74,90,55,74,25,25,30,25,25,89,78,39,68,10,92,85,77,25,12,15,10,10,10,84,10,10,25,24,20,15,20,12,10,10,12,10,12,5,5,5,5,5
Jarret,Johnson,LOLB,96,81,72,83,84,69,87,30,55,13,17,10,45,45,84,59,10,99,87,85,10,19,10,10,10,10,45,84,60,81,84,85,55,63,15,15,15,86,45,15,5,5,5,5,5
Chad,Rinehart,LG,78,81,58,75,86,60,81,40,40,30,25,25,75,87,30,55,10,88,86,90,20,12,10,30,10,10,74,10,10,20,20,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Donald,Brown,HB,34,80,92,85,73,80,78,64,93,11,11,10,34,65,26,93,45,80,85,89,87,64,81,85,86,78,35,20,30,26,42,25,16,16,64,67,74,20,20,66,35,30,20,15,15
Malcom,Floyd,WR,80,79,86,82,69,85,82,84,67,25,17,12,58,30,36,96,35,88,87,66,68,40,65,55,67,74,40,10,10,45,75,24,11,22,93,84,79,12,10,93,30,25,20,10,20
Ladarius,Green,TE,89,79,88,89,64,87,67,83,72,35,30,30,62,53,40,88,35,83,88,75,67,66,76,64,74,82,68,10,10,49,45,20,15,20,86,77,67,12,18,73,15,10,5,5,10
Kendall,Reyes,LE,91,79,74,84,91,68,74,35,39,15,12,11,45,45,77,84,10,90,82,69,35,15,25,10,10,10,45,85,55,83,86,68,19,31,12,10,10,69,10,12,5,5,5,5,5
Eddie,Royal,WR,11,79,94,95,47,93,85,82,74,35,30,30,61,30,25,87,95,90,91,72,44,84,85,40,85,88,35,10,10,35,35,20,10,35,78,75,82,12,15,59,15,10,5,5,10
Larry,English,ROLB,51,78,79,87,75,75,75,39,40,10,28,22,45,45,81,70,10,80,88,85,10,67,10,10,60,65,45,79,87,74,86,73,52,59,25,15,18,71,25,45,5,5,5,5,5
Melvin,Ingram,LOLB,54,78,82,89,84,86,69,62,59,24,15,17,45,45,80,85,10,88,87,84,55,43,44,29,39,46,45,79,93,77,78,64,55,60,35,45,10,82,10,12,5,5,5,5,5
Marcus,Gilchrist,SS,38,77,88,86,52,91,69,55,60,40,25,25,45,45,67,92,78,90,95,82,30,75,76,30,77,75,45,42,53,49,80,70,74,84,45,35,32,55,61,40,5,5,5,5,5
Sean,Lissemore,DT,98,77,69,83,86,67,74,35,55,28,17,22,45,45,84,55,10,90,81,84,42,12,44,10,10,10,45,81,44,84,82,73,21,38,15,15,15,71,12,15,5,5,5,5,5
Jason,Verrett,CB,22,77,95,97,58,94,56,73,59,22,30,25,45,45,55,92,66,86,95,83,23,79,72,30,56,75,45,30,40,43,75,66,87,82,64,62,15,65,66,15,5,5,5,5,5
Shareece,Wright,CB,29,77,89,88,54,88,71,70,59,18,12,12,45,45,64,85,45,85,91,85,30,55,61,25,65,75,45,35,45,34,78,72,84,76,40,50,25,62,80,12,5,5,5,5,5
Kellen,Clemens,QB,10,76,66,70,58,67,71,35,65,85,30,12,24,29,36,83,13,85,92,75,20,20,54,35,50,54,24,20,20,36,43,28,14,12,15,15,15,12,10,15,82,74,88,66,75
Darrell,Stuckey,FS,25,76,89,85,51,88,65,68,55,25,20,20,45,45,68,90,65,75,93,80,40,69,60,45,40,66,45,42,45,61,76,64,63,83,60,55,58,64,64,50,15,10,10,15,15
John,Phillips,TE,83,75,74,79,77,70,72,72,72,20,24,22,73,63,40,68,10,92,84,95,65,42,60,70,60,63,72,10,10,51,37,15,12,13,66,75,69,20,10,74,15,10,5,5,10
David,Johnson,FB,88,74,75,77,81,76,69,65,68,25,15,15,75,57,48,76,8,92,84,88,69,55,58,65,69,66,84,10,10,48,39,21,10,24,50,62,55,12,10,75,15,10,5,5,10
Steve,Williams,CB,23,74,91,95,46,93,61,67,54,30,20,18,45,45,53,94,60,85,92,71,33,77,68,34,74,80,45,29,35,39,69,70,85,75,60,48,20,42,54,35,5,5,5,5,5
Jahleel,Addae,FS,37,73,82,90,59,85,55,72,62,25,15,30,45,45,75,90,55,92,89,82,55,54,55,39,54,62,45,60,50,62,76,63,69,78,52,44,20,66,50,20,15,10,10,15,15
Vincent,Brown,WR,86,73,84,89,46,91,71,82,65,30,19,14,31,35,24,91,55,87,90,85,42,72,69,36,76,74,45,20,20,35,45,20,10,24,87,74,76,15,10,73,15,10,5,5,10
Jeromey,Clary,RG,66,73,52,55,88,48,83,23,40,35,18,28,82,76,30,35,10,93,82,85,10,15,10,10,10,10,67,10,10,30,24,24,11,10,12,10,10,12,10,12,5,5,5,5,5
Richard,Marshall,CB,31,73,88,86,53,85,73,53,65,21,12,10,45,45,62,87,77,91,95,85,42,61,66,22,85,91,45,22,39,36,75,73,77,75,57,45,20,69,66,20,5,5,5,5,5
Kavell,Conner,MLB,53,72,82,87,65,82,75,49,35,18,14,40,45,45,82,76,10,78,92,65,35,42,36,35,45,60,45,50,72,65,88,77,68,77,20,15,15,83,55,25,5,5,5,5,5
Manti,Te'o,MLB,50,72,77,82,69,79,70,76,71,29,34,35,45,45,83,82,10,90,95,85,62,44,68,65,45,32,45,70,53,74,87,76,61,79,65,64,15,85,56,35,5,5,5,5,5
Brandon,Ghee,CB,41,71,91,93,65,92,49,42,55,36,25,25,45,45,55,88,68,90,88,70,30,75,55,35,72,82,45,39,49,45,66,57,84,75,55,40,40,49,83,30,5,5,5,5,5
Chris,Watt,RG,64,71,49,72,90,56,62,30,40,31,16,12,85,75,29,67,10,87,85,92,29,15,10,10,10,10,72,10,10,29,35,26,11,15,15,15,15,20,10,15,5,5,5,5,5
Andrew,Gachkar,MLB,59,70,82,84,66,77,72,52,60,25,32,29,45,45,77,75,10,87,82,77,59,33,35,38,10,35,45,77,60,73,85,73,60,70,15,15,10,77,50,20,5,5,5,5,5
Marion,Grice,HB,26,70,86,87,73,88,38,76,91,25,15,14,49,50,32,82,79,77,88,73,65,83,86,55,73,85,47,10,10,26,35,20,15,15,72,71,66,12,20,54,35,30,20,15,15
Lawrence,Guy,LE,71,70,68,67,84,66,71,35,40,19,15,15,45,45,85,65,10,92,73,93,30,29,21,10,10,10,45,80,49,81,84,60,15,30,15,10,10,86,10,12,5,5,5,5,5
