FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Jamaal,Charles,HB,25,97,98,98,60,97,90,85,94,30,25,25,40,49,25,90,72,88,94,67,69,99,99,72,94,98,35,10,10,11,38,20,15,20,72,73,80,20,20,65,35,30,20,15,15
Justin,Houston,LOLB,50,93,82,92,84,83,84,45,40,36,37,16,45,45,93,77,10,93,91,80,10,35,10,10,25,25,45,97,81,93,94,82,62,74,20,15,15,91,24,25,5,5,5,5,5
Tamba,Hali,ROLB,91,92,80,90,91,74,93,43,40,32,16,6,45,45,80,76,12,95,92,84,10,25,10,10,25,19,45,96,69,83,94,93,59,69,15,15,15,88,18,25,5,5,5,5,5
Derrick,Johnson,MLB,56,91,85,90,73,85,93,67,65,8,21,10,45,45,94,75,10,95,97,90,25,46,35,50,60,54,45,63,72,80,98,94,73,83,45,25,15,82,55,20,5,5,5,5,5
Dontari,Poe,DT,92,91,73,88,97,75,76,37,40,25,23,17,45,45,93,80,10,93,95,88,55,15,17,27,10,10,45,93,60,92,92,65,15,25,15,15,15,87,10,15,5,5,5,5,5
Eric,Berry,SS,29,90,92,94,57,90,74,73,67,20,22,12,45,45,83,95,60,89,98,92,55,83,75,45,78,88,45,57,73,66,88,74,73,80,77,70,20,88,77,20,15,10,10,15,15
Anthony,Sherman,FB,42,90,80,75,79,72,79,73,72,35,20,20,88,68,69,65,10,92,87,90,58,55,61,74,65,62,95,10,10,55,70,25,12,15,65,71,60,25,25,75,20,15,10,10,10
Alex,Smith,QB,11,89,77,79,59,76,88,30,64,85,15,12,20,20,25,64,10,88,94,92,20,30,72,28,67,70,20,10,10,25,35,31,10,24,15,15,15,12,10,15,94,82,86,74,78
Dwayne,Bowe,WR,82,87,87,85,77,86,86,88,75,30,25,15,63,35,30,97,25,91,97,94,79,52,80,84,84,88,54,10,10,40,49,18,18,25,94,95,84,15,15,96,15,10,5,5,10
Mike,Devito,RE,70,87,64,75,91,65,93,20,40,30,25,25,45,45,95,50,10,91,84,92,25,15,10,10,10,10,45,79,52,93,95,96,15,32,15,15,15,65,14,15,5,5,5,5,5
Dustin,Colquitt,P,2,86,62,59,40,55,81,23,40,40,92,92,16,17,29,25,10,95,90,75,10,15,10,10,10,10,16,10,10,29,32,24,10,17,15,15,15,12,10,15,30,30,25,20,20
Sean,Smith,CB,27,85,88,91,65,93,80,65,68,38,36,33,45,45,66,96,45,96,94,66,50,45,70,42,74,75,45,55,54,37,83,74,87,85,75,69,50,71,90,65,5,5,5,5,5
Anthony,Fasano,TE,80,82,73,76,78,69,84,81,77,26,14,12,78,73,52,68,45,88,87,88,65,16,65,70,44,55,73,10,10,49,55,13,12,12,65,84,71,25,25,65,15,10,5,5,10
Allen,Bailey,LE,97,80,75,84,90,74,73,45,50,30,30,30,45,45,81,87,10,92,84,88,54,31,40,55,25,30,45,84,60,81,82,64,22,40,15,10,10,85,30,12,5,5,5,5,5
Husain,Abdullah,FS,39,79,86,89,63,86,74,70,68,26,22,22,45,45,74,86,65,91,94,80,30,40,55,35,45,55,45,52,61,65,82,64,73,77,35,30,30,75,55,20,5,5,5,5,5
Rodney,Hudson,C,61,79,58,87,82,64,80,34,40,12,11,15,75,88,45,55,10,92,85,91,20,35,10,10,10,10,87,30,30,41,35,15,12,14,15,15,15,20,10,15,5,5,5,5,5
Joe,Mays,MLB,53,79,78,84,82,74,81,43,50,25,20,20,45,45,89,75,5,95,93,87,25,20,25,35,15,20,45,76,61,78,86,77,51,65,15,15,15,95,45,12,5,5,5,5,5
Vance,Walker,LE,99,79,61,87,80,59,80,20,40,25,24,20,45,45,81,50,10,91,78,80,10,35,10,10,10,10,45,86,64,79,76,74,12,15,12,10,10,74,10,20,5,5,5,5,5
Donnie,Avery,WR,17,78,95,94,42,92,80,82,61,35,30,30,37,26,25,85,85,79,92,64,45,88,85,45,90,96,35,10,10,35,35,20,12,25,80,74,81,12,18,63,15,10,5,5,10
Jeff,Allen,LG,71,77,64,81,83,66,72,45,40,30,25,25,83,76,33,73,10,87,79,74,15,10,10,15,10,10,82,10,10,15,23,10,12,12,12,10,10,12,10,12,5,5,5,5,5
Donald,Stephenson,RT,79,77,74,87,85,73,66,25,35,22,15,15,83,78,54,86,10,84,92,82,15,19,10,10,10,10,78,40,35,35,39,30,10,12,12,10,10,40,10,12,5,5,5,5,5
