FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Robert,Mathis,ROLB,98,93,88,94,79,86,95,42,40,12,14,12,45,45,84,65,10,93,89,82,10,36,10,10,60,10,45,80,98,69,95,94,52,65,20,15,15,78,20,25,5,5,5,5,5
Vontae,Davis,CB,21,92,93,94,67,95,85,63,65,18,12,12,45,45,63,94,55,96,92,75,30,71,70,25,85,92,45,40,62,37,63,80,95,88,40,35,25,66,96,12,5,5,5,5,5
Andrew,Luck,QB,12,88,83,87,61,85,81,72,61,92,25,28,26,22,21,86,10,98,97,69,40,55,85,25,66,73,15,10,10,19,24,25,15,21,82,39,55,12,10,26,89,84,74,78,87
Adam,Vinatieri,K,4,88,59,60,40,58,93,50,40,29,90,87,18,22,32,29,10,90,97,60,10,25,10,10,10,10,18,10,10,32,19,27,14,16,15,15,15,12,10,15,35,30,25,20,20
Reggie,Wayne,WR,87,87,86,87,52,87,98,94,74,23,21,21,52,34,20,83,65,84,90,80,56,72,88,45,83,88,55,10,10,35,33,28,13,14,88,94,89,15,15,75,15,10,5,5,10
Gosder,Cherilus,RT,78,85,54,68,93,54,89,45,45,30,25,25,78,91,30,50,10,87,83,85,20,12,10,30,10,10,82,10,10,20,25,15,12,15,15,15,15,20,10,15,5,5,5,5,5
T.Y.,Hilton,WR,13,85,96,97,40,95,81,87,62,22,15,14,42,33,20,86,83,85,93,80,29,91,86,38,85,89,33,10,10,35,37,22,12,22,91,86,88,15,15,76,15,10,5,5,10
Dwayne,Allen,TE,83,84,73,83,82,77,69,84,73,35,33,32,84,65,33,82,25,87,90,76,77,45,71,75,66,65,77,20,20,40,39,13,12,15,85,76,61,25,25,69,15,10,5,5,10
Arthur,Jones,LE,97,84,68,78,92,70,77,10,40,15,15,14,45,45,91,74,10,85,79,96,10,28,10,10,10,10,45,87,53,92,88,75,20,33,15,15,15,81,12,15,5,5,5,5,5
Hakeem,Nicks,WR,14,84,88,85,76,86,83,84,73,27,25,15,39,47,27,95,24,79,93,96,77,69,85,76,76,82,60,10,10,40,44,28,10,17,85,91,80,15,15,94,15,10,5,5,10
Cory,Redding,LE,90,84,70,83,87,69,89,48,40,33,21,25,45,45,88,60,10,92,80,85,10,17,10,10,10,10,45,78,54,82,82,85,30,30,15,15,15,60,15,15,5,5,5,5,5
