FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Dez,Bryant,WR,88,94,92,93,74,97,84,96,60,34,26,21,31,45,40,98,78,88,97,90,72,90,88,74,91,95,60,10,10,35,55,15,19,18,98,92,89,15,15,97,25,20,15,15,25
Jason,Witten,TE,82,93,75,81,74,76,96,94,78,27,21,20,72,53,20,80,8,95,99,88,76,35,82,77,60,70,69,10,10,41,41,29,11,17,78,90,87,25,25,85,15,10,5,5,10
Tyron,Smith,LT,77,92,71,85,88,75,81,56,55,35,25,21,95,95,45,74,11,87,88,86,10,21,10,10,10,10,93,10,10,40,39,10,12,12,37,48,35,20,10,15,5,5,5,5,5
Tony,Romo,QB,9,91,73,78,55,76,85,15,49,90,20,10,10,10,16,55,10,87,95,97,20,70,75,40,60,78,10,10,10,16,37,22,17,19,25,15,17,12,10,20,90,88,81,90,82
Sean,Lee,MLB,50,89,83,81,75,77,89,78,50,25,20,20,45,45,95,75,10,73,97,78,35,20,25,35,15,30,45,74,62,79,96,95,70,84,55,65,15,83,50,12,5,5,5,5,5
DeMarco,Murray,HB,29,89,94,91,78,85,82,81,95,35,25,26,44,67,40,82,83,80,87,69,93,69,96,89,75,80,42,10,10,35,35,28,12,12,76,74,75,15,15,75,35,30,20,15,15
Henry,Melton,DT,69,88,74,86,85,76,81,55,66,36,37,16,64,51,79,69,10,79,82,88,75,39,60,78,60,56,63,93,75,81,91,78,35,40,45,45,40,84,24,25,5,5,5,5,5
Dan,Bailey,K,5,87,67,69,39,64,81,40,45,45,91,93,15,10,20,50,10,88,84,75,15,25,20,15,15,15,15,10,10,15,20,15,15,20,12,10,10,12,10,12,25,25,20,20,20
Brandon,Carr,CB,39,86,88,91,51,90,87,62,60,35,25,25,45,45,60,91,65,97,94,72,35,35,75,35,74,79,45,20,33,36,75,87,88,79,40,40,40,50,93,40,5,5,5,5,5
Anthony,Spencer,RE,93,85,79,86,76,77,79,36,65,19,15,15,45,45,78,78,10,83,87,84,30,29,10,10,10,10,45,72,88,67,89,83,62,72,20,15,10,82,45,15,5,5,5,5,5
Barry,Church,FS,42,83,85,89,65,82,78,55,60,24,26,19,45,45,82,75,35,97,90,93,60,55,59,64,55,60,45,64,54,69,84,78,61,78,40,42,20,93,65,25,5,5,5,5,5
Travis,Frederick,C,72,82,50,71,84,53,77,45,44,26,22,22,97,78,33,74,10,91,89,89,25,10,15,10,10,10,90,10,10,10,15,10,12,12,12,15,10,20,10,12,5,5,5,5,5
Doug,Free,RT,68,82,67,81,82,69,86,40,65,17,20,21,79,86,45,74,10,93,91,86,10,30,10,10,10,10,72,10,10,25,31,10,12,12,25,30,30,15,10,40,5,5,5,5,5
Bruce,Carter,LOLB,54,79,88,91,75,86,75,69,60,25,20,20,45,45,77,90,10,77,92,62,34,47,42,25,55,60,45,67,78,67,88,74,62,79,55,45,15,90,40,25,5,5,5,5,5
Orlando,Scandrick,CB,32,79,94,93,52,92,77,48,72,36,26,26,45,45,44,92,85,94,89,80,36,55,82,38,75,82,45,29,35,30,69,72,84,76,40,36,44,62,66,45,5,5,5,5,5
Mackenzy,Bernadeau,LG,73,78,55,67,97,53,79,45,45,30,25,25,87,71,30,50,0,93,74,98,20,12,10,30,10,10,83,10,10,20,29,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Zack,Martin,RG,70,78,58,81,89,65,62,32,40,29,9,14,83,84,28,73,10,97,93,88,24,10,10,10,10,10,75,10,10,27,48,31,9,11,15,15,15,20,10,15,5,5,5,5,5
Morris,Claiborne,CB,24,77,91,92,47,93,70,69,62,54,10,11,45,45,51,86,74,92,95,78,24,75,74,25,66,83,45,29,47,38,67,69,85,75,65,49,37,44,79,25,54,42,38,19,61
Justin,Durant,MLB,52,77,85,85,64,84,81,62,65,20,25,25,45,45,85,85,10,90,93,88,30,39,15,25,10,30,45,61,73,67,92,82,64,76,12,10,10,79,65,12,5,5,5,5,5
George,Selvie,LE,99,77,75,85,64,77,75,23,25,15,15,15,45,45,76,83,10,86,85,72,10,32,20,10,35,10,45,66,84,65,79,74,24,40,12,10,10,65,10,12,5,5,5,5,5
Jermey,Parnell,RT,78,75,56,74,84,61,70,21,25,18,12,11,82,75,25,45,10,88,79,74,10,17,10,10,10,10,80,10,10,25,31,25,13,20,15,15,15,25,10,15,5,5,5,5,5
J.J.,Wilcox,SS,27,75,86,86,62,89,57,60,65,24,26,19,45,45,80,85,75,90,90,84,60,69,75,65,72,76,45,55,61,72,84,61,64,72,76,69,45,87,46,45,5,5,5,5,5
