FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Brandon,Fields,P,2,96,60,67,58,62,82,40,50,55,98,97,15,15,50,50,10,90,75,65,45,33,35,35,30,35,35,45,40,45,65,30,15,25,12,10,10,40,10,12,30,30,25,20,20
Cameron,Wake,LE,91,96,84,95,79,85,84,50,45,24,15,14,45,45,86,87,10,92,85,83,25,35,10,25,30,25,45,69,97,74,94,81,47,32,25,22,10,87,43,15,5,5,5,5,5
Brent,Grimes,CB,21,91,88,95,50,94,92,72,70,30,25,25,45,45,54,98,75,90,92,70,25,45,80,15,65,75,45,23,40,40,76,88,92,90,65,30,35,47,77,15,5,5,5,5,5
Reshad,Jones,SS,20,89,86,88,72,86,76,65,62,25,25,25,45,45,83,90,35,91,93,70,45,40,55,40,55,65,45,60,45,73,86,72,71,79,55,50,35,88,52,12,15,10,10,15,15
Randy,Starks,DT,94,89,65,77,95,63,90,54,40,14,12,10,45,45,83,68,10,90,84,86,10,32,10,10,10,10,45,90,55,86,81,87,27,39,17,18,20,54,15,28,5,5,5,5,5
Branden,Albert,LT,71,88,66,84,90,68,87,45,45,30,25,25,79,95,30,50,10,90,83,85,20,12,10,30,10,10,85,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Knowshon,Moreno,HB,28,87,89,91,71,91,86,80,92,12,14,14,44,66,20,95,60,88,84,88,82,75,90,73,83,90,45,10,10,20,37,17,11,26,74,76,74,20,20,70,35,30,20,15,20
Mike,Pouncey,C,51,87,67,85,88,72,82,35,32,12,15,10,84,90,40,59,10,95,82,82,35,25,15,20,10,10,94,10,10,24,29,10,12,12,15,15,15,20,10,15,5,5,5,5,5
Mike,Wallace,WR,11,87,98,97,57,92,85,87,65,28,16,17,55,33,32,90,74,92,97,75,47,87,80,35,79,90,25,10,10,40,37,27,10,21,91,82,85,12,10,83,15,10,5,5,10
Charles,Clay,TE,42,84,84,88,67,81,79,88,79,35,26,26,65,59,40,70,20,97,91,84,78,65,80,74,74,76,64,25,25,45,55,15,15,20,77,82,78,30,10,55,5,5,5,5,5
Louis,Delmas,FS,25,84,87,90,58,90,74,73,63,15,23,22,45,45,65,88,48,75,95,77,10,40,75,45,78,79,45,55,61,64,81,79,73,88,65,72,15,82,66,25,15,10,10,15,15
Brian,Hartline,WR,82,84,89,88,61,87,88,91,59,25,17,17,59,29,20,79,50,93,92,65,24,73,70,25,77,76,40,10,10,35,29,23,19,14,88,93,92,15,15,83,15,10,5,5,10
Ryan,Tannehill,QB,17,84,83,85,62,76,72,76,47,91,68,72,40,35,36,85,20,92,95,92,47,62,84,46,76,74,39,10,10,25,29,15,15,25,78,70,62,22,10,73,87,80,70,88,84
Cortland,Finnegan,CB,24,82,91,85,67,88,84,50,75,25,10,11,45,45,65,92,55,91,98,98,35,36,78,35,62,70,45,24,35,30,84,80,79,84,25,20,20,75,89,12,5,5,5,5,5
Koa,Misi,LOLB,55,82,82,86,68,73,78,43,45,10,25,21,45,45,87,85,10,92,88,94,15,45,20,15,21,16,45,86,67,72,91,82,65,72,15,15,15,84,45,12,5,5,5,5,5
Jared,Odrick,DT,98,80,69,79,85,64,76,21,35,10,24,21,45,45,84,69,10,77,79,90,10,22,10,10,10,17,45,86,60,80,81,74,13,29,12,10,10,75,10,12,5,5,5,5,5
Olivier,Vernon,RE,50,80,83,82,82,73,74,35,40,28,15,24,45,45,80,86,10,90,87,90,33,12,25,38,40,31,45,86,65,76,78,69,24,70,15,15,15,71,18,15,5,5,5,5,5
Brandon,Gibson,WR,10,79,86,88,65,88,78,85,65,25,17,14,59,30,24,86,40,83,85,75,55,79,74,40,78,85,45,10,10,39,22,17,10,22,85,88,76,25,25,82,15,10,5,5,10
Earl,Mitchell,DT,90,79,74,87,77,73,80,56,55,20,20,20,45,45,79,82,10,90,80,75,44,30,25,50,20,20,45,87,65,68,87,76,20,30,15,15,15,77,10,15,5,5,5,5,5
