FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Evan,Mathis,LG,69,97,67,79,85,65,91,25,40,11,18,18,99,88,28,45,10,91,91,83,10,25,10,10,10,10,90,10,10,28,35,26,12,19,15,15,15,25,10,15,5,5,5,5,5
LeSean,McCoy,HB,25,97,94,98,65,99,88,81,96,30,11,21,39,43,28,89,25,90,95,85,66,99,99,70,96,99,40,10,10,25,39,12,13,12,70,76,84,20,20,75,35,30,20,15,15
Jason,Peters,LT,71,93,68,79,97,66,91,58,40,10,13,6,97,90,48,67,10,76,88,91,10,17,10,10,10,10,85,10,10,48,39,25,18,12,12,10,10,24,10,12,5,5,5,5,5
Trent,Cole,ROLB,58,89,83,91,76,78,94,30,40,14,13,5,45,45,82,58,10,89,90,85,10,37,10,10,45,25,45,76,97,77,93,90,50,60,15,15,15,65,35,20,5,5,5,5,5
Nick,Foles,QB,9,88,61,69,70,63,77,25,63,92,25,25,22,11,25,79,10,90,90,77,29,20,24,39,30,33,30,10,10,25,30,15,15,20,12,10,10,12,10,12,90,86,85,96,77
Donnie,Jones,P,8,87,74,70,45,60,84,12,40,45,89,93,7,9,23,36,10,87,89,60,10,20,10,10,10,10,7,10,10,23,10,26,10,27,15,15,15,12,10,15,30,30,25,20,20
Jason,Kelce,C,62,87,70,83,77,72,80,40,40,22,18,22,95,85,57,64,10,90,81,65,10,24,10,10,10,10,87,45,35,60,58,40,25,35,15,15,15,55,10,15,5,5,5,5,5
Darren,Sproles,HB,43,87,92,97,53,98,88,86,92,11,14,11,30,30,20,70,82,87,90,88,39,89,95,60,89,93,30,10,10,20,44,28,11,20,60,70,84,12,10,65,35,30,20,15,15
Brent,Celek,TE,87,85,77,82,71,76,82,77,67,30,15,15,80,59,25,75,45,90,85,82,65,60,75,68,70,74,72,10,10,41,35,20,15,20,76,81,74,25,25,78,15,10,5,5,10
Fletcher,Cox,RE,91,84,76,86,84,75,78,32,35,19,25,21,45,45,89,73,10,90,85,76,42,15,25,35,30,25,45,83,63,82,88,71,15,35,15,15,15,68,10,15,5,5,5,5,5
Connor,Barwin,LOLB,98,83,83,87,79,76,85,66,65,12,16,17,45,45,87,72,10,94,85,90,60,50,65,50,55,58,45,82,62,74,88,82,60,66,20,20,20,75,50,12,5,5,5,5,5
Todd,Herremans,RG,79,83,54,67,91,59,90,12,40,29,9,14,95,73,27,47,10,85,90,87,10,20,10,10,10,10,80,10,10,27,40,31,8,8,15,15,15,20,10,15,5,5,5,5,5
Jeremy,Maclin,WR,18,83,93,92,56,92,82,87,62,24,21,11,40,22,20,87,72,83,93,78,52,91,90,65,91,93,40,10,10,35,48,24,18,22,87,81,83,15,10,72,15,10,5,5,10
Cary,Williams,CB,26,82,89,85,60,87,83,56,45,32,19,18,45,45,71,87,25,90,91,68,29,69,40,22,65,75,45,25,28,38,70,78,81,87,35,39,15,45,86,12,5,5,5,5,5
Riley,Cooper,WR,14,81,88,83,69,85,80,88,72,23,17,19,45,45,46,90,59,87,89,80,64,52,75,63,75,76,66,10,10,58,65,25,15,18,86,90,82,15,15,84,15,10,5,5,10
Lane,Johnson,RT,65,81,79,85,86,77,72,62,67,70,25,22,86,73,60,83,10,93,90,85,65,40,60,55,50,55,93,53,64,61,55,29,12,20,64,65,43,60,10,45,63,59,57,35,56
Brandon,Boykin,CB,22,80,91,95,48,93,71,59,65,36,25,25,45,45,62,98,82,88,92,86,30,85,77,36,80,88,45,31,39,32,59,69,89,79,44,35,40,56,58,40,5,5,5,5,5
James,Casey,FB,85,80,82,85,66,82,78,85,72,70,23,22,67,60,40,72,8,93,87,78,79,48,77,75,72,74,78,10,10,40,54,23,17,31,87,86,84,25,25,83,65,55,35,45,60
Bradley,Fletcher,CB,24,80,87,89,59,86,75,54,54,18,17,22,45,45,59,87,40,83,93,79,25,60,63,40,67,75,45,35,38,55,83,77,88,82,32,28,30,55,75,34,5,5,5,5,5
Cedric,Thornton,LE,72,80,64,82,90,68,77,34,40,12,10,15,45,45,91,67,10,90,74,74,10,12,10,10,10,10,45,77,52,88,82,77,23,34,15,15,15,84,12,15,5,5,5,5,5
Zach,Ertz,TE,86,79,77,81,73,79,61,87,82,42,22,22,60,53,36,79,35,92,90,84,69,63,76,65,74,72,73,10,10,49,36,17,19,18,85,78,77,12,10,88,15,10,5,5,10
DeMeco,Ryans,MLB,59,78,77,82,71,82,88,60,70,33,20,21,45,45,85,79,10,97,95,90,10,32,19,27,45,45,45,51,66,72,87,88,66,74,30,25,15,75,60,30,5,5,5,5,5
Nolan,Carroll II,CB,23,77,93,92,53,86,72,55,50,22,34,17,45,45,62,90,69,84,88,75,42,55,65,42,70,75,45,42,55,50,63,66,80,76,35,33,15,55,78,15,5,5,5,5,5
Vinny,Curry,RE,75,77,78,85,78,74,65,35,40,28,15,24,45,45,76,86,10,90,74,83,35,11,39,44,40,39,45,75,90,74,73,55,22,37,15,15,15,81,18,15,5,5,5,5,5
Brandon,Graham,LOLB,55,77,79,86,78,74,73,32,22,12,14,12,45,45,74,67,10,71,83,79,10,36,10,10,60,10,45,95,78,78,86,69,52,62,20,15,15,88,20,25,5,5,5,5,5
Malcolm,Jenkins,FS,27,77,87,90,64,87,73,64,60,21,22,19,45,45,55,90,25,96,97,92,40,50,75,26,75,82,45,66,65,64,75,67,73,80,45,56,50,75,83,30,5,5,5,5,5
Allen,Barbre,LG,76,76,69,83,84,66,74,40,50,20,20,21,82,74,30,75,10,92,84,80,20,35,25,10,10,10,72,10,10,25,23,10,12,12,15,10,10,15,10,15,5,5,5,5,5
Mychal,Kendricks,MLB,95,76,90,91,73,78,77,55,55,24,14,22,45,45,81,92,10,87,87,75,44,35,20,35,34,44,45,79,69,67,89,75,67,71,30,25,15,88,53,25,5,5,5,5,5
Bennie,Logan,DT,96,76,68,83,86,63,72,42,45,19,25,21,45,45,82,69,10,92,79,74,45,15,28,35,30,25,45,78,49,85,81,69,20,35,15,15,15,78,10,25,5,5,5,5,5
Earl,Wolff,SS,28,76,90,86,64,83,62,63,65,26,23,19,45,45,76,90,35,94,88,87,55,44,61,57,60,62,45,63,49,63,77,65,69,75,54,51,15,73,74,15,5,5,5,5,5
Mark,Sanchez,QB,3,74,69,73,59,70,68,65,42,88,15,18,18,12,19,64,10,84,94,77,33,47,70,28,60,62,18,10,10,19,24,25,13,19,73,25,15,12,10,15,78,72,71,75,77
Marcus,Smith II,ROLB,90,74,82,91,75,74,64,56,54,34,20,19,45,45,84,85,12,89,85,76,49,21,35,40,35,33,45,88,65,66,87,64,52,71,12,10,11,74,10,12,5,5,5,5,5
Nate,Allen,SS,29,73,88,91,55,86,74,71,65,27,28,24,45,45,60,87,44,81,92,72,10,45,65,45,55,65,45,35,45,51,63,68,66,76,75,65,15,59,75,15,5,5,5,5,5
Arrelious,Benn,WR,17,73,87,84,74,84,70,74,73,35,25,15,57,50,35,89,60,76,87,95,81,63,83,83,80,78,65,10,10,30,49,18,15,25,82,85,65,15,15,86,15,10,5,5,10
Jordan,Matthews,WR,81,73,90,85,65,88,60,84,72,29,19,15,55,45,39,88,45,95,94,79,66,65,78,63,74,72,53,10,10,40,41,18,12,30,85,86,74,12,10,69,15,10,5,5,10
Chris,Polk,HB,32,73,88,83,69,85,58,79,88,11,16,16,50,60,35,81,60,77,94,75,85,50,91,82,86,72,52,20,30,36,40,25,16,17,76,74,62,20,20,55,25,20,15,15,15
Brad,Smith,WR,16,72,90,87,63,93,72,73,81,83,22,20,48,26,25,87,75,93,85,65,57,92,97,65,91,93,45,10,10,39,37,22,15,30,73,69,63,20,20,67,68,63,59,35,74
Matt,Barkley,QB,2,71,65,72,63,64,54,35,73,84,25,25,20,19,25,72,10,87,95,87,32,37,63,44,60,61,30,10,10,28,35,15,15,20,12,10,10,12,10,12,86,79,68,77,79
Bryan,Braman,LOLB,56,71,79,83,66,75,75,55,50,27,29,19,45,45,78,74,12,88,87,81,32,35,32,45,35,36,45,79,62,66,78,66,57,65,25,15,15,76,40,15,5,5,5,5,5
Alex,Henery,K,6,71,72,75,42,66,71,35,55,42,89,82,19,25,25,69,10,92,87,82,25,33,45,30,55,60,19,10,15,30,35,25,12,15,15,15,10,11,11,12,35,30,25,20,20
Chris,Maragos,FS,42,71,81,84,62,82,74,47,66,25,20,20,45,45,69,77,61,90,83,85,60,55,56,25,54,44,45,65,53,63,66,64,61,70,55,35,10,81,68,15,5,5,5,5,5
Roc,Carmichael,CB,21,70,88,87,55,86,67,68,68,5,5,5,45,45,54,85,45,87,90,90,10,74,65,15,74,77,45,37,47,53,66,55,73,83,71,65,35,59,82,44,5,5,5,5,5
Dennis,Kelly,RT,67,70,59,70,86,63,68,40,40,30,25,25,70,82,33,73,10,92,85,83,20,12,10,30,10,10,78,10,10,20,27,15,12,15,15,15,15,25,10,15,5,5,5,5,5
