FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Julio,Jones,WR,11,92,95,93,74,94,78,92,74,45,25,15,51,50,44,96,35,83,93,95,74,87,90,78,84,83,60,10,10,45,49,20,19,25,95,90,86,15,15,98,15,10,5,5,10
Matt,Bosher,P,5,90,74,76,64,67,80,35,55,45,93,96,19,25,54,65,10,92,85,84,45,35,55,45,55,65,19,10,10,30,45,28,12,15,12,10,10,40,10,12,30,30,25,20,20
Roddy,White,WR,84,89,88,88,63,87,94,94,73,25,11,15,63,30,45,92,25,92,98,90,66,85,80,58,86,88,30,10,10,45,39,26,18,26,85,88,88,15,15,84,15,10,5,5,10
Matt,Ryan,QB,2,87,65,62,63,64,88,30,68,89,25,25,20,15,30,55,10,95,92,87,30,20,30,45,30,45,30,10,10,25,30,15,15,20,12,10,10,12,10,12,87,84,77,85,75
Paul,Soliai,DT,96,87,59,76,93,56,87,25,40,21,20,24,45,45,87,55,5,87,75,82,25,12,10,10,10,10,45,83,55,92,75,86,12,15,12,10,10,70,10,12,5,5,5,5,5
Jon,Asamoah,RG,75,85,68,83,87,66,77,33,32,30,20,21,82,87,33,66,10,90,85,89,20,12,10,30,10,10,84,10,10,20,29,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Matt,Bryant,K,3,85,54,56,42,52,84,27,40,31,91,89,15,32,15,32,10,80,79,60,10,25,10,10,10,10,15,10,10,15,18,17,11,13,12,10,10,12,10,12,35,30,25,20,20
Tyson,Jackson,LE,99,84,66,74,89,65,87,25,40,16,15,25,45,45,94,69,10,95,85,90,10,35,10,10,10,10,45,78,56,89,85,84,24,30,15,15,15,74,20,15,5,5,5,5,5
Steven,Jackson,HB,39,83,85,87,84,79,94,74,95,15,12,12,49,53,35,74,10,89,97,95,87,54,89,93,79,73,49,10,10,35,49,15,13,20,59,70,73,15,15,80,35,30,20,15,15
William,Moore,SS,25,83,85,87,65,86,74,68,55,24,26,19,45,45,69,91,45,87,94,77,49,40,48,62,45,65,45,60,55,65,79,74,67,78,40,35,15,92,49,25,5,5,5,5,5
Justin,Blalock,LG,63,82,55,72,89,52,85,20,40,37,16,16,74,85,27,24,10,93,82,85,20,12,10,30,10,10,83,30,10,27,28,10,12,12,12,10,10,35,10,12,5,5,5,5,5
Desmond,Trufant,CB,21,82,93,94,49,95,72,60,54,22,25,25,45,45,55,92,50,96,93,65,15,73,69,25,69,77,45,30,40,52,74,73,92,85,60,50,30,42,64,15,5,5,5,5,5
Harry,Douglas,WR,83,81,93,96,47,95,80,86,74,35,30,30,38,30,25,89,75,88,88,78,44,89,75,64,90,95,35,10,10,35,35,20,15,35,87,74,82,12,15,63,15,10,5,5,10
Jake,Matthews,RT,70,81,69,82,85,72,64,40,45,25,22,20,84,90,45,76,10,98,91,87,37,33,28,20,15,10,85,35,30,40,50,30,12,15,25,35,28,40,10,35,5,5,5,5,5
Jacquizz,Rodgers,HB,32,80,88,93,63,92,75,79,85,25,10,10,35,43,25,75,77,87,88,85,82,75,82,69,80,87,25,10,10,26,35,20,15,15,72,68,72,20,20,44,35,30,20,15,15
Jonathan,Babineaux,RE,95,79,63,78,89,64,88,50,40,21,17,15,45,45,84,69,10,88,79,85,10,23,10,10,10,10,45,63,79,75,78,83,12,24,15,15,15,52,12,15,5,5,5,5,5
Osi,Umenyiora,ROLB,50,79,82,88,72,77,90,26,40,10,28,22,45,45,75,78,10,82,79,79,10,39,10,10,60,65,45,65,87,66,77,81,50,71,25,15,18,65,25,45,5,5,5,5,5
Josh,Wilson,CB,26,79,93,91,55,87,78,55,55,28,22,19,45,45,56,88,80,91,92,77,20,40,65,25,75,85,45,17,30,30,69,75,84,73,50,20,20,70,71,20,5,5,5,5,5
Kroy,Biermann,LOLB,71,77,77,81,80,73,79,69,52,25,20,20,45,45,78,80,10,85,88,95,25,21,25,35,15,30,45,54,78,74,82,81,65,76,15,15,15,78,50,12,5,5,5,5,5
Javier,Arenas,CB,28,76,88,92,59,93,68,58,66,13,8,9,45,45,64,84,89,92,91,88,22,88,87,25,86,93,45,28,37,40,77,74,79,84,25,20,10,65,65,15,5,5,5,5,5
Sam,Baker,LT,72,76,68,78,85,61,83,45,45,30,25,25,77,84,30,50,10,75,85,68,20,12,10,30,10,10,81,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Patrick,DiMarco,FB,42,76,74,72,74,73,70,64,73,30,19,22,77,57,45,73,60,92,86,88,72,64,69,70,74,75,81,30,35,35,50,20,15,20,45,54,45,35,20,50,20,15,10,10,10
Dwight,Lowery,FS,20,76,84,88,58,88,75,67,65,36,25,25,45,45,60,87,85,90,94,78,35,31,85,25,70,78,45,22,35,44,70,70,72,79,40,60,45,54,64,30,5,5,5,5,5
Corey,Peters,RE,91,76,67,84,78,67,78,49,40,10,8,6,45,45,75,75,10,88,76,75,10,16,10,10,10,10,45,85,68,69,76,72,20,37,60,35,15,71,10,15,5,5,5,5,5
Sean,Weatherspoon,MLB,56,76,83,87,76,83,81,65,58,15,14,12,45,45,76,88,10,87,95,75,10,45,25,35,10,55,45,87,72,74,83,77,65,73,35,30,15,84,59,25,5,5,5,5,5
Akeem,Dent,MLB,52,75,75,79,81,73,74,54,54,25,20,20,45,45,88,69,10,86,92,92,45,23,25,45,15,30,45,77,61,85,80,73,53,65,15,15,15,79,40,12,5,5,5,5,5
Paul,Worrilow,MLB,55,75,82,84,77,77,74,60,55,27,29,19,45,45,90,82,12,90,85,78,40,35,32,45,35,36,45,65,54,76,84,75,61,70,20,15,15,76,50,15,5,5,5,5,5
Robert,McClain,CB,27,74,92,94,46,88,68,52,55,30,20,20,45,45,60,87,65,90,91,65,26,76,74,25,72,82,45,33,45,38,65,66,79,75,35,44,35,54,66,30,5,5,5,5,5
Robert,Alford,CB,23,73,93,95,48,95,55,70,64,29,15,14,45,45,43,95,77,82,92,69,27,74,78,32,77,84,45,25,35,31,62,65,83,76,64,45,20,47,74,15,5,5,5,5,5
Gabe,Carimi,LG,68,73,64,74,92,62,68,15,35,10,11,11,84,71,30,40,10,77,90,94,10,21,10,10,10,10,72,10,10,25,33,15,11,12,15,15,15,37,10,15,5,5,5,5,5
Ra'Shede,Hageman,DT,77,73,69,83,92,67,47,38,44,20,15,16,45,45,85,85,10,94,74,67,25,10,15,27,12,15,45,84,61,87,65,53,15,24,15,15,15,76,16,15,5,5,5,5,5
Joe,Hawley,C,61,73,61,74,83,60,71,35,40,25,20,20,82,78,25,60,10,95,82,88,10,12,10,10,10,10,79,10,10,10,25,15,12,15,12,10,10,12,10,12,5,5,5,5,5
