FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Victor,Cruz,WR,80,87,94,93,61,93,84,87,69,25,21,22,47,31,16,93,79,94,92,75,55,91,88,44,87,92,41,10,10,45,35,25,11,30,91,83,86,20,35,83,15,10,5,5,10
Jason,Pierre-Paul,RE,90,87,85,93,80,84,77,35,37,33,22,21,45,45,92,85,10,93,92,70,25,40,35,10,64,26,45,63,83,74,90,75,40,55,25,15,15,88,24,20,5,5,5,5,5
Dominique,Rodgers-Cromartie,CB,21,87,98,95,46,96,83,73,62,40,25,25,45,45,40,99,75,90,92,65,30,80,80,30,84,86,45,32,45,35,60,78,96,82,85,55,45,50,62,50,5,5,5,5,5
Antrel,Rolle,SS,26,86,86,89,63,91,87,72,65,67,15,15,45,45,69,90,75,89,94,90,55,89,91,52,85,94,45,57,68,57,74,81,69,85,35,30,20,50,88,20,42,48,55,15,28
Prince,Amukamara,CB,20,84,93,92,64,90,75,67,66,30,22,15,45,45,66,91,55,92,96,70,35,75,74,30,80,84,45,46,66,60,77,74,89,83,75,65,20,65,82,35,5,5,5,5,5
Josh,Brown,K,3,83,60,64,25,55,82,27,40,30,90,88,21,19,15,30,10,90,88,65,10,17,10,10,10,10,21,10,10,15,22,30,10,30,15,15,15,12,10,15,35,30,25,20,20
Henry,Hynoski,FB,45,83,69,75,84,65,75,70,68,30,40,40,82,66,54,60,30,76,84,85,74,46,52,80,55,60,91,30,20,30,60,15,12,15,66,72,63,20,10,55,20,15,10,10,10
Chris,Snee,RG,76,83,63,69,89,54,93,22,40,9,5,14,84,75,28,30,10,92,85,91,10,15,10,10,10,10,86,10,10,28,32,16,12,12,15,15,15,20,10,15,5,5,5,5,5
Stevie,Brown,FS,27,82,85,86,66,82,76,78,62,30,25,25,45,45,73,82,40,92,88,82,45,35,44,35,50,52,45,61,45,68,80,73,65,84,45,40,20,77,46,15,15,10,10,15,15
Cullen,Jenkins,DT,99,82,65,80,88,63,88,23,40,31,10,28,45,45,81,42,10,91,78,86,10,30,10,10,10,10,45,82,54,75,82,81,19,25,15,15,15,70,14,15,5,5,5,5,5
Rashad,Jennings,HB,23,82,86,89,78,81,79,83,89,33,10,9,45,49,22,68,40,94,83,87,90,65,88,90,83,78,33,10,10,22,40,17,10,31,66,73,69,20,20,50,35,30,20,15,15
Robert,Ayers,LE,91,81,77,81,78,75,74,42,40,36,37,16,45,45,92,69,10,89,74,80,10,55,10,10,35,10,45,78,62,74,88,77,45,35,20,15,15,78,24,25,5,5,5,5,5
Eli,Manning,QB,10,81,65,66,54,59,87,25,51,88,15,18,18,12,19,47,10,98,95,95,20,30,48,34,48,53,18,10,10,19,22,14,10,21,15,15,15,12,10,15,84,79,72,63,73
Justin,Pugh,RT,67,80,67,79,82,72,71,54,60,16,21,23,85,80,35,75,11,90,92,74,35,15,15,10,10,10,86,10,10,25,28,10,15,20,15,15,15,23,10,20,5,5,5,5,5
Geoff,Schwartz,LG,74,80,53,72,92,51,75,40,40,30,25,25,88,78,30,40,10,93,84,88,20,12,10,30,10,10,80,10,10,20,29,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Jon,Beason,MLB,52,79,84,86,67,86,89,66,60,25,20,21,45,45,85,80,15,83,92,89,35,74,50,70,40,75,45,54,65,69,86,88,60,62,40,20,15,84,55,15,5,5,5,5,5
John,Conner,FB,39,78,72,81,77,68,74,52,72,28,31,31,81,57,47,65,30,90,80,88,75,45,58,72,66,61,81,10,10,40,48,30,10,17,32,45,42,25,25,45,20,15,10,10,10
Zack,Bowman,CB,31,77,90,91,57,91,76,76,66,38,25,25,45,45,44,89,65,79,89,87,25,45,65,25,70,76,45,20,33,31,66,71,82,78,72,60,40,40,70,30,5,5,5,5,5
Quintin,Demps,FS,35,77,87,88,58,86,75,60,70,25,25,25,45,45,64,86,72,90,91,78,40,50,80,40,55,77,45,46,56,47,77,73,62,75,45,40,35,71,64,12,15,10,10,15,15
