FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Calvin,Johnson,WR,81,99,95,94,78,96,92,98,65,35,14,11,57,35,28,98,20,92,98,93,72,88,90,82,87,91,57,10,10,45,47,17,12,22,99,94,96,15,15,99,15,10,5,5,10
Ndamukong,Suh,DT,90,97,72,87,97,82,86,56,45,28,57,40,45,45,78,80,10,93,94,98,25,24,30,25,33,30,45,97,73,90,95,85,23,43,25,30,15,95,25,20,5,5,5,5,5
Nick,Fairley,DT,98,91,73,91,88,73,74,45,40,15,12,11,45,45,87,79,10,87,83,95,55,17,39,49,39,35,45,94,76,91,92,75,24,34,12,10,10,88,10,12,5,5,5,5,5
Dominic,Raiola,C,51,91,61,74,83,58,97,19,40,25,22,23,85,93,13,31,10,95,85,88,10,32,10,10,10,10,84,10,10,13,29,30,9,12,15,15,15,20,10,15,5,5,5,5,5
Stephen,Tulloch,MLB,55,89,80,85,80,81,90,45,65,23,17,14,45,45,91,72,10,95,96,86,10,35,19,20,29,55,45,74,50,87,93,93,70,83,20,20,20,91,60,35,5,5,5,5,5
Larry,Warford,RG,75,88,51,76,89,56,75,32,45,25,26,20,89,94,31,56,10,97,77,87,25,10,15,10,10,10,80,25,10,21,37,28,20,26,12,15,10,20,10,12,5,5,5,5,5
Matthew,Stafford,QB,9,87,70,69,65,65,79,26,64,99,28,25,27,25,28,58,10,84,96,94,35,29,66,35,35,52,27,10,10,28,29,17,10,22,15,15,15,12,10,15,87,85,75,79,75
Reggie,Bush,HB,21,85,95,95,61,96,87,83,75,35,25,26,32,45,35,93,90,79,93,64,58,90,89,65,91,95,32,10,10,35,35,28,12,12,87,83,83,15,15,85,35,30,20,15,15
Jed,Collins,FB,45,85,75,76,74,69,81,72,75,19,19,19,78,63,35,55,5,92,86,80,71,48,65,75,60,65,90,10,10,29,45,22,10,25,49,65,55,25,25,55,5,15,10,10,10
Joique,Bell,HB,35,84,86,87,78,85,81,84,87,64,34,32,45,61,45,72,55,91,84,88,88,69,90,90,88,82,34,10,10,29,40,19,12,12,76,82,79,25,20,75,35,30,20,15,15
