FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Aaron,Rodgers,QB,12,98,80,85,58,83,93,47,67,94,15,18,18,12,19,59,10,88,92,70,30,45,79,20,55,54,18,10,10,19,24,25,13,19,15,15,15,12,10,15,92,88,90,87,88
Josh,Sitton,LG,71,97,63,76,93,61,90,40,40,30,25,25,87,96,30,50,10,84,86,60,20,12,10,30,10,10,87,10,10,20,20,15,12,15,15,15,15,20,10,15,5,5,5,5,5
John,Kuhn,FB,30,93,78,83,77,75,86,69,82,35,25,25,77,74,35,60,45,90,90,90,85,48,78,83,74,72,79,25,25,25,50,20,12,15,25,65,60,25,10,40,20,15,10,10,10
Jordy,Nelson,WR,87,93,90,91,68,88,93,94,73,37,25,25,49,25,31,84,74,90,93,85,45,76,87,55,77,87,35,15,15,45,39,15,15,20,96,95,95,12,10,94,15,10,5,5,10
Clay,Matthews,ROLB,52,90,84,92,81,83,84,64,52,13,17,10,45,45,84,81,10,88,97,98,10,28,10,10,10,10,45,94,72,78,94,85,66,74,35,25,25,95,45,15,5,5,5,5,5
Randall,Cobb,WR,18,89,92,95,51,97,81,93,78,70,35,30,61,44,35,86,86,87,93,86,35,94,93,45,92,95,35,10,10,35,35,20,13,25,86,93,86,12,18,79,64,53,35,32,67
Eddie,Lacy,HB,27,87,88,89,81,88,73,68,96,28,25,25,54,74,40,91,50,88,87,92,96,75,92,90,97,83,54,10,10,29,39,19,12,12,74,63,52,15,15,66,35,30,20,15,15
T.J.,Lang,RG,70,87,62,70,86,62,85,22,40,22,22,20,81,89,42,35,10,92,85,83,10,19,10,10,10,10,87,15,15,25,35,30,9,12,12,10,10,35,10,12,5,5,5,5,5
Tramon,Williams,CB,38,87,92,93,55,93,88,74,75,25,20,20,45,45,46,93,85,93,96,77,35,60,70,25,80,86,45,32,40,49,66,86,90,87,55,50,15,44,69,12,5,5,5,5,5
Bryan,Bulaga,RT,75,86,65,86,87,68,77,15,40,10,11,11,90,82,25,47,10,77,90,86,10,30,10,10,10,10,86,10,10,25,33,15,11,12,15,15,15,33,10,15,5,5,5,5,5
Sam,Shields,CB,37,86,97,95,50,89,81,70,64,10,15,15,45,45,47,90,70,90,95,65,15,74,45,32,77,83,45,23,26,30,62,77,92,88,72,54,48,50,66,46,5,5,5,5,5
Casey,Hayward,CB,29,85,87,94,63,86,78,82,55,30,22,24,45,45,54,87,35,87,95,64,25,62,45,25,66,72,45,33,42,47,70,81,91,94,40,35,15,45,73,12,5,5,5,5,5
Morgan,Burnett,SS,42,83,87,83,71,84,75,73,65,30,20,15,45,45,73,91,50,85,91,84,20,55,52,25,62,65,45,55,45,69,76,73,64,74,72,67,30,85,75,20,15,10,10,15,15
