FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Darrelle,Revis,CB,24,97,93,94,64,95,93,66,70,30,22,15,45,45,63,90,25,88,98,65,36,70,75,30,84,90,45,45,54,58,76,95,98,92,55,50,20,66,90,30,5,5,5,5,5
Rob,Gronkowski,TE,87,96,83,87,88,85,82,88,72,27,21,20,74,62,20,84,10,73,93,95,88,50,82,79,74,75,65,10,10,43,40,22,12,17,87,96,82,25,25,92,15,10,5,5,10
Devin,McCourty,FS,32,94,93,95,55,93,85,74,50,30,22,24,45,45,67,92,77,95,97,77,27,74,45,25,75,77,45,35,45,64,87,82,90,97,55,45,15,64,76,12,5,5,5,5,5
Tom,Brady,QB,12,93,57,53,65,53,99,43,62,93,18,17,34,19,33,47,10,90,99,95,20,20,45,25,35,54,34,10,10,33,30,20,11,19,12,10,15,12,10,12,94,88,80,81,76
Stephen,Gostkowski,K,3,92,60,62,15,60,88,30,40,27,92,93,21,16,13,40,10,88,87,60,10,31,10,10,10,10,21,10,10,13,15,10,12,12,15,15,15,12,10,15,35,30,25,20,20
Logan,Mankins,LG,70,91,62,79,92,62,95,14,40,15,14,17,92,77,36,40,10,87,92,99,10,19,10,10,10,10,89,10,10,36,41,27,11,13,15,15,15,20,10,15,5,5,5,5,5
Jerod,Mayo,MLB,51,91,87,90,76,86,88,65,54,25,20,20,45,45,93,80,10,88,97,92,30,26,25,35,15,30,45,81,65,85,97,87,73,81,15,15,15,91,45,12,5,5,5,5,5
Nate,Solder,LT,77,91,73,88,86,74,82,58,56,16,21,23,95,92,35,72,11,87,90,82,40,25,40,55,30,35,95,10,10,25,23,10,12,12,35,60,34,25,10,46,5,5,5,5,5
Vince,Wilfork,DT,75,91,56,76,96,60,95,60,54,56,11,10,45,45,93,65,10,90,75,95,35,13,50,10,10,10,45,81,45,96,87,96,28,24,15,15,15,68,12,15,52,42,20,10,10
Julian,Edelman,WR,11,88,88,91,62,91,89,94,72,69,18,17,30,28,41,84,81,88,95,85,64,82,90,60,78,87,40,20,20,45,58,26,43,48,79,90,93,20,40,72,55,54,50,57,78
