FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Robert,Quinn,RE,94,97,84,95,86,84,82,37,35,33,14,22,45,45,83,82,10,92,88,78,46,40,35,40,35,33,45,97,79,80,95,80,35,51,30,20,20,89,45,12,5,5,5,5,5
Jake,Long,LT,77,90,67,81,96,64,90,45,45,30,25,25,96,87,30,61,10,87,93,90,20,12,10,30,10,10,88,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Johnny,Hekker,P,6,87,75,69,56,66,75,39,40,64,93,97,29,25,25,72,10,94,84,68,15,25,15,10,10,10,22,10,10,17,35,20,15,15,15,15,15,21,10,15,65,54,37,29,40
Chris,Long,LE,91,87,76,84,90,75,83,45,50,30,30,30,45,45,69,88,10,94,86,95,40,28,30,55,20,30,45,89,71,80,81,83,30,65,15,10,10,70,30,12,5,5,5,5,5
Rodger,Saffold,RG,76,87,68,82,85,71,82,40,25,24,25,25,87,82,32,67,10,84,92,61,25,20,15,15,22,20,89,15,15,15,21,10,12,15,15,15,10,15,10,20,5,5,5,5,5
Greg,Zuerlein,K,4,87,71,67,38,66,74,35,39,26,97,93,12,17,23,62,10,95,85,55,10,19,10,10,10,10,12,10,10,13,15,10,12,12,12,10,10,12,10,12,35,30,25,20,20
Sam,Bradford,QB,8,85,73,74,51,64,78,32,58,88,15,12,13,12,28,62,10,82,95,78,22,29,54,25,50,55,13,10,10,22,14,26,13,31,12,10,10,12,10,12,92,78,79,90,77
William,Hayes,LE,95,84,80,86,74,76,77,45,45,35,30,30,45,45,87,85,10,93,72,78,48,32,40,55,25,25,45,84,64,77,84,69,25,35,15,10,10,78,35,12,5,5,5,5,5
Janoris,Jenkins,CB,21,84,92,96,48,94,75,76,54,12,12,10,40,45,59,86,72,89,94,90,30,85,75,33,75,85,40,32,54,40,78,74,92,84,82,52,25,50,74,20,5,5,5,5,5
Zac,Stacy,HB,30,84,87,92,80,93,73,69,93,35,23,25,54,73,42,82,76,92,94,86,91,67,91,88,79,81,55,20,30,35,44,15,21,29,53,61,43,25,20,65,35,30,20,15,15
Greg,Robinson,LG,79,83,73,87,93,72,59,35,40,25,28,15,94,78,40,76,11,95,85,94,21,10,15,19,15,20,88,10,10,39,25,10,12,12,12,15,10,25,10,12,5,5,5,5,5
Michael,Brockers,DT,90,81,65,83,84,72,72,28,40,20,15,16,45,45,89,73,10,95,85,76,25,10,15,27,12,15,45,83,55,94,90,71,15,20,15,15,15,83,16,15,5,5,5,5,5
Jared,Cook,TE,89,81,90,87,66,85,75,81,69,25,15,19,61,58,44,91,11,88,91,75,74,60,72,76,79,76,60,10,10,52,35,21,10,24,86,73,74,12,10,92,15,10,5,5,10
James,Laurinaitis,MLB,55,81,76,85,73,80,89,71,65,14,12,10,45,45,82,74,10,98,98,93,60,70,60,10,60,60,45,59,65,69,91,95,70,79,55,55,15,84,55,25,5,5,5,5,5
Kendall,Langford,DT,98,80,63,73,87,62,84,33,38,25,20,20,45,45,84,65,10,92,83,82,20,15,15,35,10,10,45,76,57,82,76,81,15,20,15,15,15,74,15,15,5,5,5,5,5
Joe,Barksdale,RT,72,79,60,71,87,63,74,35,40,22,22,21,81,84,42,59,10,90,71,82,10,18,10,10,10,10,79,35,35,45,40,30,10,12,12,10,10,40,10,12,5,5,5,5,5
Aaron,Donald,DT,99,79,81,87,93,82,52,43,45,20,25,21,45,45,76,76,10,95,91,84,32,15,25,29,25,21,45,86,70,85,85,64,30,35,20,15,10,76,10,12,5,5,5,5,5
Alec,Ogletree,LOLB,52,79,83,90,67,87,70,71,60,25,14,12,45,45,85,84,10,87,93,81,35,45,51,45,55,40,45,60,80,71,92,70,74,83,55,54,15,89,79,25,40,35,30,25,39
Scott,Wells,C,63,79,59,78,86,62,91,21,40,15,12,11,73,83,32,32,10,85,89,86,10,19,10,10,10,10,79,10,10,32,45,18,12,16,15,15,15,20,10,15,5,5,5,5,5
Tavon,Austin,WR,11,78,96,97,51,98,70,81,76,37,21,20,56,34,21,85,88,93,95,84,47,95,94,55,95,97,45,10,10,35,35,20,22,28,85,73,74,15,15,64,15,10,5,5,10
Kenny,Britt,WR,81,77,88,84,78,85,76,79,63,26,25,15,34,50,30,91,25,79,95,96,79,72,84,83,77,81,64,10,10,40,47,18,17,25,75,88,71,55,15,85,15,10,5,5,10
Jo-Lonn,Dunbar,ROLB,58,77,78,84,67,78,76,54,62,26,26,26,45,45,83,75,10,92,95,84,20,20,15,15,10,15,45,61,74,69,89,78,63,74,25,15,15,84,53,20,5,5,5,5,5
Trumaine,Johnson,CB,22,77,86,92,66,91,70,76,65,14,14,16,45,45,67,87,65,87,94,63,45,66,65,35,60,75,45,45,60,48,74,70,83,76,74,49,22,74,72,20,5,5,5,5,5
Lance,Kendricks,TE,88,77,79,84,66,81,73,78,67,35,30,30,63,60,35,86,35,94,90,79,65,63,74,84,76,70,65,10,10,20,35,20,15,20,79,76,69,12,18,65,15,10,5,5,10
Alex,Carrington,DT,92,76,72,79,85,73,70,28,40,16,15,20,45,45,76,75,10,87,78,85,10,35,10,10,10,10,45,85,64,79,68,60,15,31,15,15,15,69,20,15,5,5,5,5,5
Shaun,Hill,QB,14,76,69,70,54,62,79,15,60,79,20,10,10,10,16,41,10,79,92,85,20,20,28,10,40,40,10,10,10,16,39,21,10,19,15,15,15,12,10,15,86,79,66,72,75
Austin,Pettis,WR,18,76,84,89,67,89,76,85,67,25,20,22,39,25,22,88,40,87,87,75,72,65,74,64,77,75,45,10,10,35,35,26,15,26,74,87,79,12,10,64,15,10,5,5,10
Chris,Givens,WR,13,75,96,94,54,94,72,79,66,24,21,21,45,35,25,85,78,86,94,66,40,88,70,44,75,87,39,10,10,35,35,22,12,15,86,75,75,15,15,63,15,10,5,5,10
T.J.,McDonald,SS,25,75,85,87,64,81,60,64,65,25,15,17,45,45,68,94,50,84,90,82,54,45,62,65,65,66,45,59,64,69,82,68,63,76,45,40,15,86,70,15,15,10,10,15,15
Davin,Joseph,RG,69,74,61,76,92,62,79,19,40,9,24,33,69,76,34,31,10,95,85,95,10,28,10,10,10,10,74,10,10,34,31,10,12,12,12,10,10,12,10,12,5,5,5,5,5
Tre,Mason,HB,27,74,89,94,65,91,51,70,76,25,10,10,39,45,25,91,77,88,90,82,75,86,85,67,84,90,35,10,10,26,35,20,15,15,68,62,50,12,20,54,35,30,20,15,15
Rodney,McLeod,FS,23,74,83,89,56,88,67,60,65,21,17,19,45,45,64,89,68,92,90,77,46,61,57,44,65,60,45,47,55,62,75,65,71,78,39,35,15,75,73,25,5,5,5,5,5
Stedman,Bailey,WR,12,73,89,88,49,91,63,84,70,45,30,28,52,45,31,86,35,94,93,84,44,74,74,66,75,87,43,10,10,35,40,20,11,20,84,74,73,12,19,75,25,20,15,10,15
Lamarcus,Joyner,CB,20,73,87,93,54,86,52,70,64,29,15,14,45,45,68,90,70,93,91,75,40,74,80,52,75,82,45,49,65,55,90,72,78,85,64,60,20,80,77,15,5,5,5,5,5
Eugene,Sims,RE,97,73,75,87,75,76,72,37,35,15,15,29,45,45,69,80,10,88,79,66,39,22,35,10,35,10,45,65,85,65,77,65,26,49,12,10,10,74,10,12,5,5,5,5,5
Cory,Harkey,FB,46,72,70,77,67,68,67,75,73,29,22,12,78,65,44,74,10,95,85,87,67,45,62,64,60,62,72,10,10,53,40,16,15,17,65,73,55,12,10,75,15,10,5,5,10
Brian,Quick,WR,83,72,87,90,66,82,67,75,73,40,19,15,58,45,40,88,35,88,91,77,74,67,75,67,68,70,55,10,10,45,40,25,23,30,88,76,65,15,15,87,20,15,15,5,15
Travis,Bond,LG,60,71,58,66,84,61,64,25,40,17,15,18,74,81,40,66,10,95,83,66,20,12,10,15,10,10,71,10,10,35,35,10,12,12,20,20,20,35,10,25,5,5,5,5,5
Matt,Daniels,FS,37,71,88,82,54,76,65,57,66,30,25,25,45,45,74,86,30,84,86,80,55,35,35,45,35,50,45,61,42,59,77,60,53,71,35,20,15,89,61,15,5,5,5,5,5
Benny,Cunningham,HB,36,70,85,93,76,83,66,62,80,25,10,10,45,51,35,84,69,84,90,88,84,54,85,75,69,67,49,10,10,26,35,20,15,15,50,49,44,20,20,59,35,30,20,15,15
Austin,Davis,QB,9,70,75,85,57,81,54,35,72,82,15,18,18,12,22,80,10,92,90,72,33,42,77,68,65,66,18,10,10,19,12,25,13,19,15,15,15,12,10,15,81,75,64,83,76
Barrett,Jones,C,67,70,52,65,79,48,66,45,52,29,19,16,78,84,32,69,10,80,90,92,19,15,25,10,10,10,84,10,10,26,33,25,22,21,21,14,19,20,10,15,5,5,5,5,5
Brandon,McGee,CB,32,70,92,93,53,90,51,66,59,25,24,17,45,45,54,83,50,90,90,87,36,70,50,25,60,70,45,42,54,35,76,63,75,80,40,35,15,44,81,15,5,5,5,5,5
Brandon,Washington,LG,70,70,64,71,85,59,63,25,40,30,25,25,78,73,42,70,10,88,81,77,15,10,10,10,10,10,80,40,30,25,35,25,12,15,12,10,10,55,10,12,5,5,5,5,5
Tim,Barnes,C,61,69,60,74,80,62,70,30,32,22,20,20,74,81,40,64,10,90,77,90,20,15,10,10,10,10,74,20,15,40,29,20,13,15,12,10,10,25,10,12,5,5,5,5,5
Justice,Cunningham,TE,84,69,73,84,66,74,53,74,74,35,25,15,74,63,44,87,40,95,83,86,60,52,65,81,65,64,67,10,10,40,49,18,18,25,84,76,47,15,15,74,15,10,5,5,10
Mason,Brodine,LE,86,68,69,75,78,67,70,40,45,20,26,22,45,45,79,66,5,91,78,80,55,42,40,35,33,35,45,78,55,72,71,65,30,38,32,35,15,66,42,14,15,10,5,5,10
E.J.,Gaines,CB,33,67,88,87,53,85,54,48,54,30,20,20,45,45,62,78,64,90,93,70,29,66,64,25,72,73,45,35,40,44,72,65,72,80,45,55,35,59,78,30,5,5,5,5,5
Isaiah,Pead,HB,24,67,92,93,57,90,65,70,67,30,11,10,39,40,34,83,72,88,94,85,46,75,77,63,90,77,38,10,10,24,40,25,13,13,66,83,74,20,20,69,35,30,20,15,15
Phillip,Steward,ROLB,53,67,82,86,74,76,55,70,55,48,13,15,45,45,73,84,10,93,89,72,40,35,47,42,35,40,45,74,62,64,80,63,68,73,40,35,15,72,45,35,25,15,10,25,15
Sammy,Brown,LOLB,57,66,81,85,72,82,54,50,45,20,20,20,45,45,74,89,10,92,85,75,40,21,25,25,20,45,45,65,84,60,77,64,60,72,25,20,15,74,52,20,5,5,5,5,5
Garrett,Gilbert,QB,5,66,74,81,60,72,47,25,61,86,22,15,10,10,25,73,10,84,91,75,35,47,70,32,55,60,10,10,10,16,35,21,10,19,15,15,15,12,10,15,82,69,72,64,75
Michael,Sam,RE,96,66,79,85,72,73,50,34,52,27,12,14,45,45,70,74,10,94,85,87,47,32,41,50,25,37,45,84,63,64,87,56,24,48,24,20,10,75,10,12,5,5,5,5,5
Maurice,Alexander,SS,31,65,89,91,68,86,38,52,60,21,19,22,45,45,74,88,35,89,91,74,49,59,39,29,52,62,45,65,55,70,81,52,59,71,49,44,20,87,68,25,5,5,5,5,5
Christian,Bryant,SS,26,65,88,86,63,85,36,56,58,30,45,35,45,45,67,85,45,79,88,75,35,61,65,39,55,54,45,44,50,58,79,67,62,74,45,42,20,78,63,20,5,5,5,5,5
Matt,Conrath,DT,71,65,61,74,76,62,60,25,49,13,23,15,45,45,73,74,10,93,75,84,29,11,10,10,10,10,45,78,55,75,78,66,22,24,15,15,15,73,10,15,5,5,5,5,5
Chase,Reynolds,HB,34,65,84,79,62,86,54,61,77,30,25,25,37,33,40,73,40,85,85,87,66,81,75,67,75,79,45,20,20,20,39,15,12,15,49,54,61,20,10,55,30,22,16,10,14
Ray Ray,Armstrong,LOLB,50,64,78,86,65,81,59,65,62,34,28,28,45,45,80,83,10,90,83,74,51,35,39,49,50,45,45,59,66,66,72,53,65,73,25,15,10,81,74,12,5,5,5,5,5
Cody,Davis,FS,38,64,93,86,55,87,44,52,60,35,15,19,45,45,72,96,45,90,86,69,55,44,59,53,60,65,45,49,47,54,74,45,63,70,33,35,15,63,82,15,15,10,10,15,15
Mitchell,Van Dyk,RT,66,64,65,77,75,65,44,60,64,17,20,21,84,69,35,75,10,92,82,84,15,10,15,10,10,10,76,10,10,25,31,10,12,12,47,55,35,15,10,54,5,5,5,5,5
Mike,Person,LT,75,63,62,73,79,58,65,32,40,11,18,18,78,76,30,45,10,90,74,70,10,25,10,10,10,10,74,10,10,28,35,26,12,19,15,15,15,25,10,15,5,5,5,5,5
Daren,Bates,ROLB,53,62,86,85,63,81,56,64,65,25,20,20,45,45,76,78,10,88,91,88,55,37,46,45,55,45,45,54,66,61,79,45,71,75,45,44,15,86,75,25,5,5,5,5,5
Demetrius,Rhaney,C,65,61,72,84,83,71,46,35,33,15,12,11,74,79,35,78,10,92,78,75,15,11,10,10,10,10,67,10,10,30,25,10,12,12,12,10,10,14,10,12,5,5,5,5,5
Caleb,McSurdy,MLB,56,59,73,76,75,68,58,55,61,12,12,19,45,45,83,81,15,87,78,84,45,20,44,40,35,39,45,66,45,76,73,55,50,60,22,15,10,81,45,12,5,5,5,5,5
Justin,Veltung,WR,19,58,91,93,39,88,49,73,65,45,20,22,44,25,25,98,76,89,88,65,44,82,78,38,78,84,39,10,10,36,35,26,15,26,68,66,49,12,10,44,35,35,30,28,40
Jake,McQuaide,TE,44,49,70,72,72,68,62,59,65,25,21,29,74,62,49,59,10,88,77,75,25,10,10,10,10,10,68,10,10,48,44,28,31,21,48,58,42,45,10,55,5,5,5,5,5
