FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Trent,Williams,LT,71,95,73,85,92,71,88,20,40,12,11,10,90,98,32,67,10,93,74,78,10,15,10,10,10,10,88,10,10,32,31,19,10,14,15,15,15,60,10,15,5,5,5,5,5
Brian,Orakpo,ROLB,98,92,84,92,91,81,83,50,45,14,13,5,45,45,87,80,10,89,88,85,10,65,10,10,45,45,45,96,76,90,95,82,60,65,15,15,15,89,35,20,5,5,5,5,5
DeSean,Jackson,WR,11,90,98,97,43,98,88,90,65,40,30,30,54,30,22,87,98,86,97,72,44,97,96,45,94,97,35,10,10,35,35,20,15,35,94,77,92,12,15,78,15,10,5,5,10
Pierre,Garcon,WR,88,89,93,90,66,92,86,91,66,35,30,30,54,40,35,91,65,90,94,72,61,91,87,77,80,90,65,10,10,35,35,20,10,25,87,91,88,12,18,82,15,10,5,5,10
Jason,Hatcher,RE,97,89,73,82,84,73,84,43,40,20,25,21,45,45,78,85,10,87,85,84,16,15,10,10,10,10,45,79,92,85,88,81,30,35,12,10,10,46,10,12,5,5,5,5,5
Alfred,Morris,HB,46,87,86,90,82,82,79,64,88,38,25,25,63,70,45,86,54,94,93,90,97,75,97,97,89,87,66,10,10,25,55,15,13,25,45,62,49,20,20,65,10,10,10,10,10
Darrel,Young,FB,36,87,74,78,77,74,77,69,79,35,20,20,80,65,35,65,45,90,79,85,84,45,72,82,74,66,84,10,10,20,40,20,16,18,40,65,62,20,20,65,35,30,20,15,15
Barry,Cofield,DT,96,86,65,79,89,65,87,16,40,21,8,12,45,45,70,68,10,98,86,84,10,26,10,10,10,10,45,91,65,83,78,87,25,34,15,15,15,45,12,15,5,5,5,5,5
Ryan,Kerrigan,LOLB,91,86,81,86,85,77,83,61,45,37,35,30,45,45,83,69,10,92,99,85,10,17,10,10,10,10,45,95,75,84,88,82,55,62,15,15,15,87,15,15,5,5,5,5,5
Ryan,Clark,FS,25,82,83,84,66,82,88,55,65,25,15,30,45,45,75,83,50,91,94,89,45,36,35,25,60,45,45,55,60,69,77,75,58,76,25,20,15,89,53,15,15,10,10,15,15
Robert,Griffin III,QB,10,82,91,87,57,91,72,67,74,93,19,22,51,31,35,94,45,83,97,95,41,74,90,50,90,80,51,10,10,17,27,22,27,31,65,62,50,22,15,61,85,81,66,68,83
DeAngelo,Hall,CB,23,82,97,95,48,90,78,81,55,27,15,14,45,45,67,93,68,94,92,87,10,50,80,30,88,93,45,17,30,31,65,71,82,87,65,55,35,50,63,25,5,5,5,5,5
Chris,Chester,RG,66,81,66,80,83,64,83,68,60,12,15,11,83,78,35,68,10,85,87,80,45,35,55,50,40,40,83,10,10,35,23,25,11,20,35,45,55,20,10,50,5,5,5,5,5
Jordan,Reed,TE,86,81,82,88,59,87,73,87,65,65,25,15,63,59,45,85,10,84,90,69,71,78,83,59,75,84,57,10,10,40,42,16,15,17,72,84,76,12,10,72,61,54,43,35,40
Andre,Roberts,WR,12,80,92,91,47,92,79,85,69,38,22,15,31,30,29,85,76,93,89,75,55,86,73,30,82,88,36,10,10,39,45,26,12,20,81,83,79,15,15,74,15,10,5,5,10
Stephen,Bowen,RE,72,79,69,79,86,67,81,29,40,23,20,15,45,45,86,58,10,92,81,79,23,16,10,10,10,10,45,82,54,82,83,80,24,37,12,10,10,68,10,12,5,5,5,5,5
Brandon,Meriweather,SS,31,79,90,87,62,89,75,65,65,39,18,13,45,45,62,91,60,83,95,84,20,75,70,25,72,85,45,45,46,62,72,67,67,80,58,50,20,75,76,20,15,10,10,15,15
Roy,Helu Jr.,HB,29,78,93,95,66,85,75,77,84,11,11,10,44,68,25,87,70,79,85,65,68,79,78,81,74,86,35,20,30,26,42,25,16,16,54,55,61,20,20,60,35,30,20,15,15
Tyler,Polumbus,RT,74,78,59,69,85,55,82,45,40,22,20,20,76,87,22,34,10,90,78,84,20,12,10,10,10,10,69,10,10,22,20,20,15,15,15,15,15,20,10,15,5,5,5,5,5
Kirk,Cousins,QB,8,77,63,65,52,65,72,22,66,85,12,19,14,13,15,76,10,88,94,90,20,20,40,28,45,52,14,10,10,12,23,10,12,12,15,15,15,12,10,15,87,78,74,75,75
Akeem,Jordan,MLB,54,77,84,85,69,83,80,58,60,25,20,20,45,45,86,75,10,92,84,75,20,17,10,25,10,15,45,58,74,72,89,78,65,74,20,15,15,80,40,25,5,5,5,5,5
Kory,Lichtensteiger,C,78,77,58,72,83,61,85,45,45,30,25,25,73,86,30,50,10,81,94,92,20,12,10,30,10,10,77,10,10,20,30,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Tracy,Porter,CB,22,77,93,93,47,91,80,72,72,40,25,25,45,45,45,91,72,78,94,57,30,50,85,32,84,87,45,29,39,50,59,75,81,74,45,45,40,40,53,40,5,5,5,5,5
Leonard,Hankerson,WR,85,76,89,86,61,87,74,82,69,35,18,18,49,29,34,90,54,83,90,75,66,65,74,55,80,85,68,10,10,40,18,27,13,21,79,84,75,12,10,80,15,10,5,5,10
Shawn,Lauvao,LG,77,76,54,65,89,51,78,17,40,17,15,28,77,81,25,45,10,88,80,92,10,18,10,10,10,10,73,10,10,25,31,18,11,9,15,15,15,20,10,15,5,5,5,5,5
Santana,Moss,WR,89,76,92,91,41,90,90,82,59,17,19,19,61,25,15,87,68,79,92,70,44,87,88,30,87,92,35,10,10,35,39,15,15,25,84,67,80,15,15,51,15,10,5,5,10
Perry,Riley Jr.,MLB,56,76,83,76,81,68,75,40,55,33,21,25,45,45,83,72,10,89,85,92,10,34,29,18,30,55,45,77,52,83,85,77,57,71,20,20,15,91,65,25,5,5,5,5,5
Tanard,Jackson,SS,36,75,85,89,63,87,71,67,65,30,20,15,45,45,60,87,60,85,84,80,30,55,60,15,80,86,45,39,40,54,65,69,73,76,45,35,20,74,66,15,15,10,10,15,15
Jarvis,Jenkins,LE,99,75,66,82,92,58,74,35,35,12,19,19,45,45,85,55,10,80,68,80,29,22,15,10,10,15,45,78,50,84,79,70,20,30,12,10,10,76,10,12,5,5,5,5,5
Darryl,Sharpton,MLB,53,75,77,86,73,78,75,52,55,25,20,20,45,45,86,78,10,86,89,97,25,23,25,35,15,30,45,71,54,84,84,70,54,66,15,15,15,90,45,12,5,5,5,5,5
David,Amerson,CB,39,74,91,87,60,86,66,78,66,37,15,11,45,45,67,88,52,88,93,67,39,65,68,35,65,64,45,47,51,48,64,70,74,83,66,70,24,63,81,15,5,5,5,5,5
Chris,Baker,DT,92,74,61,72,87,58,68,25,40,21,24,18,45,45,79,70,10,88,74,70,22,29,10,10,10,10,45,81,57,83,76,67,25,30,15,15,15,68,16,15,5,5,5,5,5
Kedric,Golston,RE,64,74,63,80,85,66,75,21,40,28,19,15,45,45,79,49,10,83,65,82,10,12,10,10,10,10,45,80,56,82,85,74,12,32,12,10,10,55,10,12,5,5,5,5,5
Rob,Jackson,ROLB,50,74,77,82,74,74,75,60,45,35,30,30,45,45,75,70,0,90,79,80,48,55,40,55,25,30,45,63,81,63,74,69,74,77,15,10,10,79,35,12,5,5,5,5,5
Morgan,Moses,RT,76,74,54,67,89,60,56,35,45,30,25,25,82,86,30,64,10,87,84,80,20,12,10,30,10,10,79,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Aldrick,Robinson,WR,15,74,94,96,35,93,75,79,59,35,22,22,46,36,31,87,72,90,88,65,30,88,79,30,85,88,30,10,10,39,35,20,13,25,83,74,76,12,18,55,15,10,5,5,10
Evan,Royster,HB,26,74,82,88,74,86,69,68,88,22,18,19,50,47,42,72,72,95,77,94,87,53,85,84,85,73,45,10,10,22,35,21,11,28,67,68,55,20,20,75,35,30,20,15,15
Frank,Kearse,DT,73,73,54,78,90,60,63,35,40,14,17,11,45,45,72,73,10,87,69,80,10,14,10,10,10,10,45,67,78,82,77,64,15,18,28,35,38,65,10,35,5,5,5,5,5
Colt,McCoy,QB,16,73,74,83,46,78,73,47,69,81,30,32,22,18,27,65,10,90,94,97,25,50,85,35,70,72,27,10,10,27,25,13,12,22,15,15,15,12,10,15,85,73,62,72,81
E.J.,Biggers,CB,30,72,93,90,44,86,71,49,45,17,21,24,45,45,49,87,45,90,88,65,10,74,50,10,65,78,45,22,24,40,55,68,75,79,25,25,20,36,59,15,5,5,5,5,5
Adam,Hayward,LOLB,55,72,83,88,70,86,75,30,65,30,25,25,45,45,79,87,10,93,85,84,40,48,40,35,30,45,45,51,66,64,85,74,68,74,25,15,10,76,45,12,5,5,5,5,5
Mike,McGlynn,RG,75,72,55,72,87,55,76,45,45,30,25,25,80,73,30,50,10,93,79,93,20,12,10,30,10,10,72,10,10,20,28,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Logan,Paulsen,TE,82,72,74,79,77,73,75,69,68,25,29,19,72,63,39,67,10,89,87,82,64,42,58,67,62,65,69,10,10,41,42,14,18,29,70,69,60,25,25,66,15,10,5,5,10
Phillip,Thomas,FS,41,72,84,87,78,90,44,76,74,25,19,17,45,45,66,94,31,83,94,85,52,75,78,64,65,75,45,49,66,65,72,74,73,81,77,65,25,64,66,25,5,5,5,5,5
Tom,Compton,RT,68,71,59,63,90,56,62,29,35,31,27,15,80,74,35,79,10,94,86,85,19,15,10,10,10,10,82,40,30,32,45,21,11,11,15,15,15,40,10,15,5,5,5,5,5
Spencer,Long,RG,60,71,64,77,88,53,54,35,40,31,16,12,83,78,29,65,10,78,85,75,25,15,10,10,10,10,82,10,10,29,35,26,11,19,15,15,15,25,10,15,5,5,5,5,5
Brandon,Jenkins,ROLB,51,70,74,88,79,81,59,44,60,25,19,19,45,45,78,75,10,76,84,80,32,22,11,18,22,40,45,87,69,72,79,59,55,66,15,15,15,75,40,20,5,5,5,5,5
Josh,LeRibeus,LG,67,70,56,64,88,60,60,40,40,30,21,20,82,75,35,68,10,87,86,89,20,15,15,30,10,14,75,10,10,20,29,15,12,15,35,25,20,20,10,15,5,5,5,5,5
Trent,Murphy,LOLB,93,70,76,86,67,79,58,42,60,18,14,32,45,45,83,86,10,90,82,88,38,18,45,40,40,35,45,88,64,79,78,64,51,63,30,32,15,86,33,20,5,5,5,5,5
Chris,Neild,DT,95,70,56,71,86,51,73,15,40,13,23,11,45,45,76,47,10,91,75,94,10,16,10,10,10,10,45,79,44,79,79,66,20,16,15,15,15,64,10,15,5,5,5,5,5
Niles,Paul,TE,84,70,85,82,69,82,66,72,69,35,30,30,60,49,38,83,78,93,88,74,70,60,75,63,74,82,55,10,10,64,44,20,10,25,64,81,55,12,18,80,15,10,5,5,10
Trenton,Robinson,FS,34,70,89,90,49,84,52,62,52,30,20,15,45,45,71,86,33,84,88,73,45,66,65,29,60,64,45,44,51,68,63,65,73,76,50,45,20,65,66,15,15,10,10,15,15
Bashaud,Breeland,CB,26,69,86,89,48,90,48,66,59,20,22,17,45,45,61,84,40,89,93,69,30,54,65,35,66,70,45,40,45,44,82,65,83,74,45,44,10,50,81,20,5,5,5,5,5
Richard,Crawford,CB,20,69,91,87,49,89,57,58,66,25,19,17,45,45,55,87,78,90,88,75,10,81,72,25,74,82,45,25,26,40,65,60,75,80,45,44,35,42,76,40,5,5,5,5,5
Kai,Forbath,K,2,69,65,66,44,65,70,35,42,35,88,82,21,16,23,65,10,87,91,65,10,31,10,10,10,10,21,10,10,13,15,10,12,12,15,15,15,17,10,15,35,30,25,20,20
