FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Jimmy,Graham,TE,80,97,85,88,77,87,86,92,79,32,22,12,71,57,30,92,10,92,89,60,73,60,84,82,74,76,69,30,25,40,22,20,17,15,92,93,87,25,25,88,30,25,20,10,20
Drew,Brees,QB,9,96,66,69,53,65,98,38,64,89,21,35,26,25,26,52,10,96,95,85,20,20,51,25,35,70,26,10,10,26,25,32,17,21,15,15,15,12,10,15,97,91,81,86,76
Jairus,Byrd,FS,31,96,87,93,66,93,84,81,65,10,15,15,45,45,81,92,30,91,98,90,10,40,40,48,66,75,45,40,45,66,82,90,74,99,82,75,25,60,87,20,5,5,5,5,5
Cameron,Jordan,RE,94,93,75,83,90,76,84,35,40,30,33,29,45,45,92,69,10,95,91,85,10,24,26,25,25,30,45,95,70,85,91,84,21,44,15,15,15,81,20,20,5,5,5,5,5
Thomas,Morstead,P,6,93,60,68,59,62,85,30,35,35,94,95,22,19,14,50,10,95,90,75,10,19,10,10,10,10,20,11,11,14,30,19,12,15,12,10,10,22,10,12,30,30,25,20,20
Jahri,Evans,RG,73,91,56,75,95,63,90,22,40,26,14,15,76,93,30,48,10,93,85,85,10,21,10,10,10,10,84,10,10,30,19,10,12,12,15,15,15,20,10,15,5,5,5,5,5
Ben,Grubbs,LG,66,91,62,75,91,65,87,40,40,9,24,33,83,92,34,38,10,94,83,90,10,20,10,10,10,10,79,10,10,34,21,10,12,12,12,10,10,20,10,12,5,5,5,5,5
Marques,Colston,WR,12,90,85,88,79,83,96,95,72,28,14,15,35,30,45,92,25,82,95,93,72,46,71,72,70,80,48,10,10,61,56,18,11,15,90,99,87,15,15,98,15,10,5,5,10
Keenan,Lewis,CB,28,87,89,92,67,87,81,54,60,10,15,16,45,45,71,86,30,93,89,84,10,55,51,25,56,65,45,59,65,38,87,77,89,93,40,35,22,71,89,20,5,5,5,5,5
Zach,Strief,RT,64,87,44,55,90,49,86,20,40,14,16,16,85,96,35,37,0,91,85,87,10,29,10,10,10,10,74,10,10,35,35,10,12,12,12,10,10,12,10,12,5,5,5,5,5
Kenny,Vaccaro,SS,32,87,87,93,64,91,72,69,66,35,19,18,45,45,74,90,54,92,96,90,65,57,70,65,66,72,45,55,71,80,77,72,84,85,67,65,25,92,83,39,5,5,5,5,5
Champ,Bailey,CB,27,86,88,87,55,89,95,72,64,29,19,19,45,45,63,87,75,83,93,84,48,75,88,45,85,87,45,35,55,33,69,93,84,85,81,55,60,50,69,52,5,5,5,5,5
Junior,Galette,LOLB,93,85,81,91,73,76,81,40,35,20,21,14,45,45,80,74,10,92,87,87,10,25,29,26,32,25,45,79,95,77,89,81,60,72,15,15,15,84,16,15,5,5,5,5,5
Pierre,Thomas,HB,23,83,87,88,77,83,86,82,96,35,20,20,25,35,25,80,70,87,85,84,85,65,85,83,82,75,25,10,10,20,40,20,16,18,52,71,72,20,20,67,35,30,20,15,15
Benjamin,Watson,TE,82,83,82,83,72,77,84,79,73,20,18,14,72,51,42,86,5,85,84,88,71,60,74,68,78,84,68,10,10,42,62,15,15,13,78,74,69,25,25,80,15,10,5,5,10
Parys,Haralson,ROLB,98,82,81,91,74,84,82,42,60,25,19,19,45,45,78,68,10,85,87,90,32,22,11,18,22,40,45,77,87,66,87,83,58,67,15,15,15,74,40,20,5,5,5,5,5
Akiem,Hicks,LE,76,82,63,81,82,67,74,36,35,26,25,25,45,45,85,81,10,93,80,73,20,10,15,35,10,10,45,89,69,85,84,67,15,37,15,15,15,88,15,15,5,5,5,5,5
Victor,Butler,ROLB,90,81,79,86,74,75,77,37,35,20,18,18,45,45,84,68,10,79,85,78,39,35,36,25,47,45,45,82,91,77,87,74,57,63,20,15,15,78,40,25,5,5,5,5,5
Shayne,Graham,K,3,80,62,63,32,58,86,25,40,24,85,86,18,18,15,29,10,83,78,60,10,26,10,10,10,10,18,10,10,15,20,13,12,26,12,10,10,12,10,12,35,30,25,20,20
Curtis,Lofton,MLB,50,80,78,84,77,83,90,42,60,25,20,20,45,45,83,84,10,90,93,87,25,23,25,35,15,30,45,66,55,75,85,88,65,72,15,15,15,85,40,12,5,5,5,5,5
Brodrick,Bunkley,DT,77,79,59,73,94,59,86,45,40,29,26,18,45,45,87,32,12,77,68,80,10,25,10,10,10,10,45,67,45,82,74,85,12,22,15,15,15,67,14,15,5,5,5,5,5
Jonathan,Goodwin,C,51,79,55,72,84,52,84,25,40,25,19,27,84,78,18,21,10,95,80,85,10,15,10,10,10,10,88,10,10,18,34,30,10,16,15,15,15,20,10,15,5,5,5,5,5
Erik,Lorig,FB,41,79,69,76,81,72,76,53,66,28,17,22,84,61,75,66,10,87,78,88,74,25,48,55,35,40,91,74,56,70,75,55,20,25,35,42,44,73,12,25,5,5,5,5,5
Rafael,Bush,FS,25,78,91,88,56,87,72,62,50,24,22,21,45,45,65,85,33,90,84,72,44,62,55,50,54,59,45,35,44,61,76,68,68,78,40,40,15,90,66,25,5,5,5,5,5
Kenny,Stills,WR,84,78,95,93,46,91,72,84,72,30,19,20,56,43,29,86,39,92,90,78,46,85,79,39,73,78,48,10,10,38,35,24,11,22,87,82,77,12,10,65,25,20,15,20,15
Mark,Ingram,HB,22,77,87,90,72,86,71,62,86,35,25,25,46,45,25,80,45,83,95,95,83,63,86,83,78,84,45,10,10,11,35,20,15,20,65,67,66,30,20,64,35,30,25,15,15
Patrick,Robinson,CB,21,77,92,91,55,87,70,65,65,22,25,16,45,45,54,86,45,90,91,69,10,65,55,22,55,75,45,46,35,44,71,69,83,76,65,62,55,49,83,15,5,5,5,5,5
Robert,Meachem,WR,17,76,92,87,69,86,76,77,66,24,21,20,62,37,30,88,35,90,77,83,74,64,85,75,75,86,49,10,10,47,53,22,18,18,88,74,72,15,15,83,15,10,5,5,10
Terron,Armstead,LT,72,75,80,85,83,75,63,65,62,30,25,25,84,85,37,84,10,92,85,73,35,25,30,33,25,35,88,10,10,25,24,17,15,20,55,69,44,20,10,45,5,5,5,5,5
David,Hawthorne,MLB,57,75,77,80,76,74,84,67,58,25,20,20,45,45,80,80,10,92,94,84,40,26,30,55,25,35,45,74,55,72,82,82,65,71,20,15,15,92,60,30,5,5,5,5,5
Luke,McCown,QB,7,75,74,75,59,70,76,23,63,85,12,12,11,14,18,52,10,82,92,84,20,40,65,10,49,62,11,10,10,18,41,25,13,26,12,10,10,12,10,12,77,74,69,66,77
Corey,White,CB,24,75,93,92,59,86,68,63,65,27,10,11,45,45,55,93,49,97,93,85,35,55,52,39,60,66,45,47,54,36,73,66,78,84,65,52,20,81,66,25,5,5,5,5,5
Brandin,Cooks,WR,10,74,95,96,54,96,53,85,61,34,21,20,43,32,25,87,79,97,93,74,36,92,87,42,84,94,40,10,10,37,34,24,18,25,74,85,75,15,10,63,15,10,5,5,10
John,Jenkins,DT,92,73,63,70,92,65,64,35,40,25,23,17,45,45,89,65,10,88,75,76,45,10,15,25,10,10,45,76,44,89,77,62,10,15,15,15,15,89,10,15,5,5,5,5,5
Khiry,Robinson,HB,29,73,84,89,77,87,65,61,86,30,25,25,35,45,20,87,70,88,87,86,87,60,78,81,78,76,50,10,10,11,40,20,15,20,60,52,49,20,20,67,30,25,20,15,15
Glenn,Foster,LE,97,72,78,82,86,72,60,44,44,35,30,30,45,45,74,88,10,87,76,84,46,35,40,55,25,30,45,83,67,73,75,53,25,35,15,10,10,75,30,12,5,5,5,5,5
Joseph,Morgan,WR,13,72,96,94,52,92,63,75,68,24,15,16,49,35,30,87,55,76,79,52,37,87,74,42,76,77,51,10,10,55,53,22,18,18,87,73,66,15,15,72,15,10,5,5,10
Marcus,Ball,SS,36,71,89,88,73,83,55,66,65,30,20,15,45,45,71,88,45,90,85,75,45,35,55,29,62,55,45,49,52,64,75,53,65,73,55,60,20,79,71,15,15,10,10,15,15
Travaris,Cadet,HB,39,70,85,91,61,90,50,71,75,35,30,30,46,50,38,84,77,83,88,85,78,72,85,64,82,85,44,10,10,20,39,22,15,20,65,65,66,20,20,54,5,5,5,5,5
Tim,Lelito,C,68,70,54,71,89,55,67,40,30,30,22,21,76,81,45,76,10,96,82,79,20,15,10,10,10,10,73,60,40,40,50,40,15,20,12,10,10,55,10,12,5,5,5,5,5
Thomas,Welch,RT,60,70,54,68,84,60,66,22,25,14,12,22,78,75,32,50,10,90,78,82,10,18,10,10,10,10,74,10,10,13,21,27,16,12,15,15,15,20,15,19,5,5,5,5,5
Marcel,Jones,RT,70,69,55,64,88,66,65,23,40,16,14,29,73,81,19,81,10,80,74,82,25,10,10,10,10,10,71,10,10,14,31,24,16,12,15,15,15,20,10,15,5,5,5,5,5
Cheta,Ozougwu,LE,99,69,75,87,65,75,63,51,45,25,20,20,45,45,72,74,10,90,76,74,33,21,21,25,10,15,45,71,81,62,88,42,46,67,20,24,15,83,40,25,5,5,5,5,5
Vinnie,Sunseri,SS,43,69,85,87,63,79,49,67,65,30,25,25,45,45,72,80,67,76,88,88,44,65,72,47,59,63,45,44,51,63,81,69,60,69,64,62,24,71,74,30,10,10,10,10,10
