FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Richard,Sherman,CB,25,99,91,94,72,96,94,82,66,12,12,10,45,45,64,98,51,96,99,94,51,74,85,42,75,77,45,35,55,55,85,95,98,96,81,64,39,65,97,48,5,5,5,5,5
Marshawn,Lynch,HB,24,95,90,90,88,85,95,67,97,18,25,25,30,73,39,84,45,94,90,88,98,75,97,99,88,93,50,10,10,29,40,19,12,12,40,51,48,15,15,60,35,30,20,15,15
Earl,Thomas III,FS,29,95,93,92,59,93,84,76,72,30,20,15,45,45,79,92,65,93,97,82,35,77,74,25,75,85,45,55,45,61,87,81,82,94,77,70,30,74,80,20,10,5,5,10,10
Kam,Chancellor,SS,31,93,84,88,72,85,82,65,55,23,14,11,45,45,85,92,35,94,95,88,65,35,40,45,45,55,45,62,44,68,88,76,66,84,25,30,10,97,69,20,5,5,5,5,5
Russell,Wilson,QB,3,93,86,92,57,90,84,68,76,93,10,19,46,10,26,83,10,94,97,88,40,74,88,63,83,84,15,10,10,16,47,26,15,14,42,35,31,12,10,25,87,83,89,91,87
Brandon,Mebane,DT,92,91,64,79,92,63,90,20,40,25,24,20,45,45,95,55,10,90,80,90,10,22,10,10,10,10,45,83,60,92,87,84,12,15,12,10,10,60,10,20,5,5,5,5,5
Percy,Harvin,WR,11,90,96,97,77,97,84,88,81,42,30,30,50,30,29,90,97,75,95,70,82,96,97,55,96,95,65,10,10,45,35,20,19,35,86,84,86,12,15,75,15,10,5,5,10
Michael,Bennett,LE,72,89,74,82,88,74,84,45,40,10,30,20,45,45,91,69,10,91,84,78,33,27,21,10,30,40,45,90,57,87,85,81,25,35,20,10,10,77,35,12,5,5,5,5,5
Steven,Hauschka,K,4,89,65,65,55,65,82,30,35,22,91,94,18,19,15,35,10,90,80,65,10,15,10,10,10,10,15,10,10,12,12,31,15,15,12,10,10,12,10,12,25,25,25,20,20
Bobby,Wagner,MLB,54,88,89,86,74,84,81,70,55,25,20,20,45,45,94,92,10,97,95,74,35,23,31,49,15,30,45,85,76,77,95,87,69,81,15,15,15,94,42,12,5,5,5,5,5
Cliff,Avril,RE,56,87,82,88,74,80,88,64,55,25,20,20,45,45,66,85,10,93,76,84,25,33,25,35,15,30,45,73,93,69,82,87,45,73,15,15,15,78,45,12,5,5,5,5,5
Zach,Miller,TE,86,86,82,83,67,79,87,84,71,20,24,22,73,58,44,84,5,87,90,79,58,38,70,60,55,68,72,10,10,52,39,15,12,13,75,87,76,20,10,84,15,10,5,5,10
Russell,Okung,LT,76,86,64,85,88,72,85,20,40,26,35,8,91,87,28,73,14,82,88,88,10,25,10,10,10,10,89,10,10,24,25,10,12,12,15,15,15,20,10,15,5,5,5,5,5
Max,Unger,C,60,86,54,75,84,58,90,29,40,17,19,16,85,87,26,20,10,89,85,95,10,15,10,10,10,10,91,10,10,26,25,21,10,11,15,15,15,20,10,15,5,5,5,5,5
Byron,Maxwell,CB,41,84,91,92,62,88,76,54,60,35,20,20,45,45,62,87,60,87,90,87,25,35,61,25,55,65,45,55,40,37,78,74,86,91,35,30,30,75,89,30,5,5,5,5,5
Doug,Baldwin,WR,89,83,92,94,49,92,83,88,67,24,21,18,56,25,39,89,60,92,88,78,25,85,80,28,79,89,33,10,10,35,42,24,12,17,87,85,86,15,15,72,15,10,5,5,10
Bruce,Irvin,ROLB,51,83,91,93,70,84,74,63,65,25,26,20,45,45,80,83,10,94,88,88,44,22,35,42,35,45,45,93,73,71,92,72,64,74,51,62,39,85,40,44,5,5,5,5,5
Tony,McDaniel,DT,99,83,62,75,90,57,82,25,40,30,26,26,45,45,90,40,5,88,79,60,20,12,10,10,10,10,45,82,60,84,77,72,15,20,12,10,10,66,10,12,5,5,5,5,5
K.J.,Wright,MLB,50,83,82,87,69,83,80,60,55,20,27,23,45,45,90,74,10,95,94,75,41,35,31,35,19,38,45,77,64,78,91,85,74,84,25,20,15,85,65,25,5,5,5,5,5
Sidney,Rice,WR,18,82,86,85,69,87,83,87,70,65,25,15,57,30,30,95,45,68,87,75,68,78,80,69,82,86,54,10,10,40,45,18,19,25,94,84,70,15,15,88,15,10,5,5,10
Kevin,Williams,DT,75,82,63,77,87,63,93,16,40,28,24,18,45,45,79,48,10,88,75,86,10,29,10,10,10,10,45,76,55,78,75,84,19,25,15,15,15,66,12,15,5,5,5,5,5
Malcolm,Smith,LOLB,53,80,88,86,62,83,77,71,40,27,20,20,45,45,85,84,11,88,80,75,40,64,39,35,65,60,45,61,71,73,87,78,73,84,35,33,15,76,55,15,5,5,5,5,5
Derrick,Coleman,FB,40,79,87,83,70,78,70,65,83,25,25,24,72,63,48,85,66,90,86,85,82,64,77,72,77,74,68,10,10,45,42,13,12,15,55,56,52,60,40,55,20,15,10,10,10
Jon,Ryan,P,9,79,63,69,42,52,81,45,55,49,85,91,14,11,31,59,10,88,76,74,10,20,10,10,10,10,14,10,10,10,10,19,13,27,12,10,10,12,10,12,30,30,25,20,20
James,Carpenter,LG,77,78,61,74,90,66,76,35,40,11,15,12,82,78,31,32,10,86,81,95,10,21,10,10,10,10,67,10,10,25,30,28,12,13,15,15,15,20,10,15,5,5,5,5,5
Jermaine,Kearse,WR,15,78,90,88,56,89,75,86,71,35,20,22,60,35,32,92,44,96,90,85,49,69,76,54,70,75,39,10,10,44,35,26,15,26,94,87,76,12,10,70,15,10,5,5,10
Jeremy,Lane,CB,20,78,90,92,48,87,68,54,60,22,25,25,45,45,61,96,73,91,93,66,16,70,60,25,62,72,45,29,31,49,66,68,85,80,44,40,15,72,75,15,5,5,5,5,5
J.R.,Sweezy,RG,64,78,73,84,82,64,71,40,30,30,22,21,85,77,67,87,10,82,79,88,20,15,10,10,10,10,85,74,45,68,71,45,15,20,12,10,10,65,10,12,5,5,5,5,5
Robert,Turbin,HB,22,78,93,92,83,80,72,76,84,30,25,25,35,65,20,87,40,83,85,95,87,72,80,76,77,75,50,10,10,11,40,20,15,20,66,72,64,20,20,77,30,25,20,15,15
Michael,Bowie,RT,73,77,56,74,82,61,69,45,40,21,16,36,88,77,29,65,10,89,79,82,15,10,10,10,10,10,69,10,10,20,23,10,12,12,12,10,10,12,10,12,5,5,5,5,5
Anthony,McCoy,TE,85,76,79,85,67,79,72,77,72,32,22,17,69,53,32,87,10,82,84,80,70,52,62,65,75,78,65,10,10,43,39,15,11,20,82,75,65,20,10,65,15,10,5,5,10
Christine,Michael,HB,33,76,92,91,78,82,64,65,78,45,20,22,45,49,39,97,45,80,85,80,89,67,84,87,87,82,55,30,30,35,35,35,18,25,60,62,42,35,15,55,40,35,33,33,40
Tarvaris,Jackson,QB,7,75,83,88,65,86,67,40,69,93,49,31,10,7,35,70,11,81,90,78,40,62,75,52,65,74,10,20,20,35,47,22,10,24,15,15,15,12,10,15,76,70,74,60,82
Terrelle,Pryor,QB,2,75,91,90,73,91,63,70,72,92,35,32,35,25,42,87,30,90,93,82,50,82,92,85,85,88,40,20,20,35,35,20,15,24,67,65,44,54,10,63,74,73,66,72,82
O'Brien,Schofield,ROLB,93,75,79,86,76,74,75,39,55,14,16,11,45,45,77,69,10,73,81,75,10,25,10,10,10,10,45,71,87,65,83,69,57,63,25,25,25,86,40,20,5,5,5,5,5
Jeron,Johnson,SS,23,74,86,79,61,81,64,63,60,17,23,19,45,45,73,77,40,93,90,89,45,34,49,50,65,64,45,67,52,72,72,65,73,68,49,55,15,87,59,15,5,5,5,5,5
Heath,Farwell,MLB,55,73,76,79,76,74,78,35,55,37,18,35,45,45,81,60,10,88,82,76,45,15,10,10,10,10,45,66,67,71,85,82,61,72,15,15,10,74,50,12,5,5,5,5,5
Greg,Van Roten,LG,62,73,59,72,84,62,68,40,29,17,20,20,78,76,45,68,10,91,85,75,15,10,15,10,10,10,79,10,10,25,33,10,12,12,30,25,30,15,10,40,5,5,5,5,5
Justin,Britt,RT,68,72,64,84,86,65,55,35,40,11,15,12,86,74,35,77,10,85,83,84,14,11,10,10,10,10,73,10,10,25,30,28,12,13,15,15,15,20,10,15,5,5,5,5,5
Lemuel,Jeanpierre,C,61,72,64,75,83,63,72,35,40,12,11,15,81,75,47,55,10,92,82,80,20,35,10,10,10,10,78,30,30,41,35,15,12,14,15,15,15,20,10,15,5,5,5,5,5
A.J.,Jefferson,CB,32,72,90,92,51,87,65,49,65,19,24,25,45,45,68,91,84,87,86,66,10,40,65,45,70,85,45,24,32,45,81,65,75,73,35,40,15,58,74,15,5,5,5,5,5
Luke,Willson,TE,82,72,88,85,73,83,60,76,74,45,22,22,63,55,42,89,40,79,85,84,66,58,65,54,72,74,69,10,10,49,33,19,22,25,80,69,54,12,10,67,15,10,5,5,10
Phillip,Adams,CB,28,71,92,93,56,89,62,69,62,17,29,21,45,45,54,88,74,82,92,75,21,86,71,10,80,75,45,20,23,31,64,57,75,74,20,20,20,45,83,12,5,5,5,5,5
Stephen,Schilling,RG,63,70,64,72,78,63,60,45,33,30,25,25,72,81,35,55,10,93,76,87,20,10,10,30,10,10,82,10,10,20,20,15,12,15,15,15,15,20,10,15,5,5,5,5,5
Jesse,Williams,DT,90,70,69,74,94,63,54,35,40,14,17,15,45,45,88,69,10,85,72,91,21,11,15,35,11,10,45,77,44,86,78,46,11,15,15,15,15,87,10,15,5,5,5,5,5
Tharold,Simon,CB,27,69,88,87,47,89,51,67,64,25,15,11,45,45,64,85,45,85,90,65,45,54,52,35,65,66,45,54,45,40,74,67,76,83,55,54,22,80,77,20,5,5,5,5,5
Kiero,Small,FB,34,69,74,82,75,72,44,69,77,30,25,24,71,66,46,69,35,92,83,87,79,43,72,69,66,72,85,10,10,45,22,13,13,15,61,65,49,65,10,54,20,15,10,10,10
Spencer,Ware,FB,44,69,85,86,73,81,55,67,94,40,32,31,61,65,35,87,55,92,85,84,85,47,76,74,74,66,60,30,30,35,35,35,18,25,59,65,40,45,15,59,40,35,30,33,32
Benson,Mayowa,RE,95,68,81,84,70,79,58,45,35,10,30,20,45,45,66,87,10,88,74,73,35,27,32,10,30,40,45,69,83,66,81,48,50,59,20,10,10,81,35,12,5,5,5,5,5
Kevin,Norwood,WR,81,68,90,88,47,93,56,78,68,19,24,25,45,21,21,83,50,87,92,72,52,68,69,49,74,73,46,10,10,35,44,10,12,12,75,84,70,15,15,64,15,10,5,5,10
Paul,Richardson,WR,10,68,94,93,49,88,55,77,65,33,16,17,44,45,30,90,33,79,92,69,35,72,81,37,70,75,39,10,10,30,27,25,10,15,72,74,71,12,10,64,15,10,5,5,10
D'Anthony,Smith,DT,94,68,69,84,77,68,65,24,40,25,20,20,45,45,77,68,10,75,75,65,32,12,21,45,10,10,45,86,65,69,64,33,15,20,15,15,15,78,15,15,5,5,5,5,5
Cassius,Marsh,RE,91,67,76,87,67,75,52,54,55,25,20,21,45,45,69,83,10,96,86,85,60,25,45,52,40,45,45,81,65,72,80,60,35,45,30,32,10,74,25,15,5,5,5,5,5
Jordan,Hill,DT,97,66,62,80,84,69,48,30,43,19,11,17,45,45,77,76,10,93,69,84,19,11,10,10,10,10,45,65,81,72,83,44,15,25,15,15,15,83,19,17,5,5,5,5,5
Mike,Morgan,LOLB,57,66,77,84,64,78,69,55,40,27,20,20,45,45,80,72,21,90,85,72,44,39,35,40,25,25,45,73,55,64,76,58,60,72,35,33,15,74,60,15,5,5,5,5,5
Eric,Pinkins,CB,39,66,90,89,71,81,48,53,65,30,20,15,45,45,67,91,40,92,87,80,60,35,63,45,55,61,45,54,44,53,80,66,67,76,50,52,20,76,75,15,15,10,10,15,15
Greg,Scruggs,LE,98,66,74,79,81,65,55,35,40,10,21,20,45,45,73,74,10,94,66,85,25,21,25,28,25,35,45,81,57,66,72,70,15,31,15,15,10,72,25,45,5,5,5,5,5
DeShawn,Shead,CB,35,66,86,89,72,78,64,56,65,30,20,15,45,45,66,90,55,90,84,75,61,40,57,45,50,59,45,55,45,45,67,52,68,74,49,54,20,73,69,15,15,10,10,15,15
Ricardo,Lockette,WR,83,65,96,93,67,87,51,71,68,33,16,25,52,21,32,94,67,88,85,75,57,74,75,60,75,80,35,10,10,49,35,15,45,52,74,64,60,25,35,67,15,10,5,5,10
Kevin,Pierre-Louis,ROLB,58,65,90,92,80,87,54,59,60,25,20,20,45,45,79,90,10,88,93,65,54,44,52,35,50,62,45,72,66,60,79,45,56,68,45,40,15,67,40,25,5,5,5,5,5
Alvin,Bailey,LT,78,64,71,75,90,67,52,35,45,35,16,16,84,75,39,68,10,92,78,77,25,10,10,22,10,10,76,10,10,27,32,10,12,12,20,15,15,20,10,15,5,5,5,5,5
Taylor,Price,WR,16,64,95,93,54,86,53,73,64,29,20,22,35,20,15,91,60,87,84,65,49,55,53,45,74,75,40,10,10,37,21,20,11,26,69,74,66,12,10,65,15,10,5,5,10
B.J.,Daniels,QB,5,62,84,87,62,88,39,69,76,84,25,19,15,10,35,78,10,85,92,82,48,64,85,49,76,85,15,20,25,35,55,32,20,25,77,66,39,35,25,66,74,71,63,66,83
