FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
J.J.,Watt,LE,99,99,78,91,97,75,88,72,55,20,10,10,45,45,97,82,10,97,95,94,47,32,45,35,33,35,45,99,67,98,96,85,24,55,69,54,42,84,15,42,5,5,5,5,5
Andre,Johnson,WR,80,95,90,88,78,89,98,96,75,27,26,21,45,36,40,91,25,86,99,98,82,72,78,85,80,84,63,10,10,35,55,15,19,18,87,98,94,15,15,96,15,10,5,5,10
Duane,Brown,LT,76,93,69,85,91,65,92,66,35,26,25,25,86,96,50,65,10,93,89,84,40,30,30,55,15,15,90,50,35,30,27,20,15,20,40,45,48,30,15,25,5,5,5,5,5
Shane,Lechler,P,9,92,60,62,33,52,94,28,40,57,94,87,22,25,18,31,10,85,94,60,10,19,10,10,10,10,22,10,10,18,14,25,10,23,15,15,15,12,10,15,30,30,25,20,20
Brian,Cushing,MLB,56,91,83,89,83,84,87,67,60,28,25,25,45,45,94,71,11,94,96,78,44,65,52,65,55,70,45,81,65,88,94,90,69,76,25,20,15,90,68,25,5,5,5,5,5
Arian,Foster,HB,23,91,89,91,79,89,85,78,94,33,10,9,45,50,34,68,35,87,95,87,90,77,95,96,87,91,33,10,10,22,37,17,15,31,45,67,66,20,20,50,35,30,20,15,15
Johnathan,Joseph,CB,24,88,93,91,50,92,90,64,60,27,10,11,45,45,52,96,64,86,96,68,25,42,60,15,73,87,45,16,41,45,67,88,89,85,60,40,30,40,76,15,5,5,5,5,5
Chris,Myers,C,55,88,64,74,83,67,92,20,54,33,19,17,94,78,22,47,10,92,90,85,10,18,10,10,10,10,97,10,10,22,29,23,6,10,12,10,10,12,10,12,5,5,5,5,5
Brandon,Brooks,RG,79,83,71,66,94,58,76,35,30,9,22,20,95,79,40,82,10,77,68,78,30,10,10,10,10,10,78,10,10,35,21,10,12,12,12,10,10,25,10,12,5,5,5,5,5
Jadeveon,Clowney,ROLB,90,83,88,92,79,87,65,47,58,35,21,20,45,45,86,89,10,88,69,83,54,42,55,60,50,55,45,94,85,87,90,65,50,63,39,40,15,95,35,15,5,5,5,5,5
Chris,Clemons,FS,20,81,92,91,67,83,76,57,55,25,15,14,45,45,69,88,42,94,91,77,20,45,54,39,55,68,45,37,35,62,77,71,67,80,35,44,22,83,62,20,15,10,10,15,15
Kareem,Jackson,CB,25,81,89,86,59,87,82,65,55,27,10,11,45,45,66,86,49,95,90,72,25,42,75,15,75,85,45,54,40,51,77,81,81,86,60,40,30,60,81,15,5,5,5,5,5
Ryan,Fitzpatrick,QB,14,80,72,76,55,75,83,12,62,80,12,19,54,13,12,55,10,93,85,75,20,20,37,18,48,45,14,10,10,12,23,10,12,12,15,15,15,12,10,15,83,74,81,80,75
Kendrick,Lewis,FS,21,80,83,87,60,84,73,64,64,30,20,15,45,45,76,88,35,81,91,86,33,49,55,15,70,66,45,40,35,65,73,69,74,79,74,55,20,87,81,15,15,10,10,15,15
Andre,Brown,HB,33,78,88,84,78,85,73,73,89,32,20,22,48,55,42,67,65,77,90,91,89,62,84,82,76,83,50,10,10,32,44,21,15,13,60,65,65,12,10,40,35,30,20,15,15
Case,Keenum,QB,7,78,72,66,47,70,68,33,62,83,22,25,22,21,14,80,10,79,95,69,22,20,55,20,66,42,25,10,10,22,24,22,10,12,10,10,10,12,10,15,82,74,90,82,76
Brooks,Reed,MLB,58,78,81,86,72,73,79,47,60,28,25,25,45,45,88,67,11,93,90,88,55,35,40,60,35,35,45,83,63,75,88,80,55,62,25,20,15,84,68,25,5,5,5,5,5
Garrett,Graham,TE,88,76,77,79,69,74,76,82,69,36,65,55,61,45,30,86,15,87,85,60,62,60,70,52,70,65,63,10,10,52,39,17,14,12,82,83,74,25,25,49,15,10,5,5,10
Xavier,Su'a-Filo,LG,70,76,70,83,85,68,54,35,40,19,17,35,81,83,31,68,10,94,89,76,16,11,19,25,10,10,84,10,10,25,34,21,13,18,15,15,15,35,10,15,5,5,5,5,5
D.J.,Swearinger,SS,36,76,82,86,63,83,55,69,64,34,20,15,45,45,67,89,35,91,92,88,45,40,52,39,65,72,45,65,55,73,84,67,78,76,65,55,20,89,83,15,15,10,10,15,15
Ryan,Griffin,TE,84,75,76,84,72,81,65,80,72,30,33,35,68,60,50,82,30,92,86,73,64,45,69,58,65,66,65,30,20,54,29,15,12,15,78,73,65,20,10,84,15,10,5,5,10
DeAndre,Hopkins,WR,10,75,88,86,57,87,69,82,75,35,20,20,32,44,42,91,69,94,93,90,49,65,78,54,75,83,45,30,32,45,30,35,32,35,83,86,72,35,40,79,15,10,10,15,15
Shiloh,Keo,FS,31,75,78,84,72,75,68,58,69,20,17,21,45,45,82,78,75,90,91,95,55,22,66,65,70,72,45,74,47,67,76,68,64,75,35,20,15,93,56,15,15,10,10,15,15
