FIRST,LAST,POSITION,JERSEY,OVERALL RATING,SPEED,ACCELERATION,STRENGTH,AGILITY,AWARENESS,CATCHING,CARRYING,THROW POWER,KICK POWER,KICK ACCURACY,RUN BLOCK,PASS BLOCK,TACKLE,JUMPING,RETURN,INJURY,STAMINA,TOUGHNESS,TRUCKING,ELUSIVENESS,BC VISION,STIFF ARM,SPIN MOVE,JUKE MOVE,IMPACT BLOCK,POWER MOVE,FINESSEE MOVE,BLOCK SHEDDING,PURSUIT,PLAY REC,MAN COVERAGE,ZONE COVERAGE,SPECTACULAR CATCH,CATCH IN TRAFFIC,ROUTE RUNNING,HIT POWER,PRESS,RELEASE,THROW ACCURACY SHORT,THROW ACCURACY MED,THROW ACCURACY DEEP,PLAY ACTION,THROW ON RUN
Jurrell,Casey,DT,99,93,65,84,90,69,82,25,40,15,15,14,45,45,94,65,10,92,91,76,10,20,21,29,10,10,45,88,78,92,95,81,22,34,15,15,15,86,12,15,5,5,5,5,5
Andy,Levitre,LG,67,92,61,76,87,60,91,12,40,29,9,14,90,87,25,25,10,95,88,90,10,20,10,10,10,10,84,10,10,27,48,31,9,11,15,15,15,20,10,15,5,5,5,5,5
Jason,McCourty,CB,30,89,92,93,55,90,85,65,43,30,22,24,45,45,76,88,45,92,87,55,27,67,55,29,59,66,45,40,44,54,84,83,87,92,35,45,15,60,81,12,5,5,5,5,5
Michael,Roos,LT,71,89,60,77,94,65,92,23,40,12,5,8,91,89,29,49,10,90,85,92,10,15,10,10,10,10,83,10,10,29,19,13,14,18,15,15,15,20,10,15,5,5,5,5,5
Bernard,Pollard,SS,31,87,80,85,76,80,84,49,60,12,29,8,45,45,88,79,40,93,90,95,40,36,42,25,55,55,45,76,75,76,86,74,56,73,20,20,15,89,35,20,5,5,5,5,5
Derrick,Morgan,LE,91,86,75,84,82,74,78,30,35,19,8,11,45,45,74,72,10,84,87,87,10,34,25,10,10,10,45,93,69,81,84,75,24,67,15,15,15,75,18,15,5,5,5,5,5
Kendall,Wright,WR,13,86,92,95,54,96,79,92,69,33,16,17,58,40,30,90,73,96,95,77,60,84,89,39,88,95,45,10,10,40,27,25,10,15,83,88,87,12,10,74,15,10,5,5,10
Akeem,Ayers,LOLB,56,84,75,86,72,83,76,71,67,23,16,23,45,45,88,74,10,95,90,87,55,60,66,45,55,50,45,90,78,80,92,79,65,75,49,60,15,77,65,20,5,5,5,5,5
Delanie,Walker,TE,82,84,85,87,74,83,77,74,66,35,22,25,84,65,41,88,44,86,75,75,73,65,60,72,45,62,76,10,10,49,55,40,10,25,75,70,65,25,25,76,15,10,5,5,10
Nate,Washington,WR,85,83,93,91,52,92,89,87,61,19,24,25,62,21,21,92,70,94,91,75,48,80,74,45,74,84,35,10,10,35,44,10,12,12,91,76,82,15,15,77,15,10,5,5,10
