
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,23,HOU,NBA,PG,51,0,11.9,1.8,4.4,.413,0.7,2.1,.330,1.1,2.3,.491,0.8,1.0,.857,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1.4,5.2
2008-09,24,HOU,NBA,PG,80,35,25.0,4.0,9.8,.404,1.4,3.9,.366,2.5,5.9,.428,1.9,2.2,.866,0.4,1.6,2.0,3.0,0.6,0.1,1.6,1.9,11.2
2009-10,25,HOU,NBA,PG,82,82,35.6,7.0,16.2,.432,2.5,6.4,.398,4.5,9.8,.454,3.0,3.6,.822,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6
2010-11,26,TOT,NBA,PG,59,12,21.8,3.7,9.9,.375,1.2,4.0,.297,2.5,5.9,.427,2.1,2.4,.886,0.3,1.0,1.3,3.9,0.6,0.1,1.7,1.9,10.7
2010-11,26,HOU,NBA,PG,34,7,23.9,3.9,11.4,.346,1.4,5.0,.284,2.5,6.4,.394,2.3,2.4,.940,0.3,1.2,1.5,3.8,0.6,0.1,1.6,2.0,11.6
2010-11,26,PHO,NBA,PG,25,5,18.9,3.4,8.0,.430,0.9,2.7,.328,2.6,5.3,.481,1.8,2.3,.807,0.4,0.7,1.1,4.2,0.5,0.0,1.8,1.8,9.6
2012-13,28,TOT,NBA,PG,53,20,18.8,2.7,6.0,.453,0.9,2.5,.373,1.8,3.4,.511,0.8,1.0,.769,0.2,1.3,1.5,2.2,0.6,0.2,1.3,1.8,7.1
2012-13,28,SAC,NBA,PG,46,20,20.8,3.0,6.6,.459,1.0,2.8,.378,2.0,3.8,.517,0.9,1.1,.769,0.3,1.4,1.7,2.3,0.6,0.2,1.4,1.9,8.0
2012-13,28,HOU,NBA,PG,7,0,5.4,0.6,1.9,.308,0.3,1.0,.286,0.3,0.9,.333,0.0,0.0,,0.1,0.1,0.3,0.9,0.1,0.4,0.6,0.7,1.4
2013-14,29,TOT,NBA,PG,72,12,21.6,3.2,8.1,.401,1.3,3.4,.387,1.9,4.6,.411,1.2,1.3,.874,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2.0,9.0
2013-14,29,HOU,NBA,PG,43,0,16.7,2.4,6.1,.395,1.3,3.1,.409,1.2,3.0,.382,0.9,1.0,.841,0.5,0.9,1.4,1.9,0.6,0.1,1.2,1.8,7.0
2013-14,29,DEN,NBA,PG,29,12,29.0,4.4,11.0,.406,1.4,4.0,.362,3.0,7.0,.431,1.6,1.8,.902,0.7,2.0,2.7,5.2,0.9,0.2,2.3,2.4,11.9
Career,,,NBA,,397,161,23.6,4.0,9.6,.413,1.4,3.9,.368,2.5,5.7,.445,1.7,2.0,.847,0.4,1.4,1.8,3.4,0.6,0.1,1.7,2.0,11.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,297,124,23.9,4.1,10.1,.408,1.6,4.2,.369,2.6,5.9,.436,1.9,2.2,.853,0.5,1.4,1.8,3.3,0.6,0.1,1.7,1.9,11.7
1 season,,SAC,NBA,,46,20,20.8,3.0,6.6,.459,1.0,2.8,.378,2.0,3.8,.517,0.9,1.1,.769,0.3,1.4,1.7,2.3,0.6,0.2,1.4,1.9,8.0
1 season,,DEN,NBA,,29,12,29.0,4.4,11.0,.406,1.4,4.0,.362,3.0,7.0,.431,1.6,1.8,.902,0.7,2.0,2.7,5.2,0.9,0.2,2.3,2.4,11.9
1 season,,PHO,NBA,,25,5,18.9,3.4,8.0,.430,0.9,2.7,.328,2.6,5.3,.481,1.8,2.3,.807,0.4,0.7,1.1,4.2,0.5,0.0,1.8,1.8,9.6
