
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,23,CHA,NBA,SF,36,7,15.7,2.1,5.0,.414,0.7,1.6,.414,1.4,3.4,.415,0.9,1.1,.805,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1.3,5.8
2006-07,24,CHA,NBA,SG,17,0,15.1,2.2,4.8,.457,0.3,1.2,.250,1.9,3.6,.525,1.1,1.4,.826,0.6,1.2,1.9,1.2,0.4,0.0,1.3,1.9,5.8
2011-12,29,TOR,NBA,SF,17,12,27.1,3.2,8.4,.387,1.4,3.6,.393,1.8,4.8,.383,1.7,2.0,.853,0.5,1.5,2.0,1.5,0.3,0.2,1.5,2.1,9.6
2012-13,30,TOR,NBA,SF,65,2,23.0,3.6,9.5,.383,1.5,4.4,.333,2.2,5.1,.426,1.9,2.3,.857,0.5,1.8,2.3,1.6,0.7,0.1,1.2,2.0,10.7
2013-14,31,BRK,NBA,SF,78,26,22.7,2.5,6.2,.400,1.1,3.2,.339,1.4,3.0,.464,1.2,1.5,.780,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2
Career,,,NBA,,213,47,21.4,2.8,7.1,.397,1.1,3.2,.345,1.7,3.9,.438,1.4,1.7,.824,0.5,1.6,2.2,1.2,0.6,0.1,1.0,1.8,8.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,82,14,23.9,3.5,9.2,.384,1.5,4.2,.344,2.1,5.0,.417,1.9,2.2,.856,0.5,1.7,2.2,1.6,0.6,0.1,1.3,2.0,10.4
1 season,,BRK,NBA,,78,26,22.7,2.5,6.2,.400,1.1,3.2,.339,1.4,3.0,.464,1.2,1.5,.780,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2
2 seasons,,CHA,NBA,,53,7,15.5,2.1,4.9,.427,0.5,1.5,.372,1.6,3.5,.451,1.0,1.2,.813,0.6,1.3,1.9,1.0,0.3,0.1,1.0,1.5,5.8
