
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,WAS,NBA,SG,11,2,16.5,2.5,5.4,.475,0.6,0.8,.778,1.9,4.5,.420,1.6,2.6,.621,1.4,1.6,3.0,0.6,0.6,0.1,0.9,1.2,7.4
2010-11,23,TOT,NBA,SG,56,34,20.0,2.2,4.7,.458,0.3,0.9,.333,1.9,3.8,.488,1.3,1.6,.783,1.1,2.1,3.3,0.7,0.7,0.3,1.0,1.7,5.9
2010-11,23,SAS,NBA,SG,5,0,3.6,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,0.0,0.0,,0.4,0.2,0.6,0.0,0.0,0.4,0.6,0.6,0.4
2010-11,23,WAS,NBA,SG,11,5,11.5,1.1,2.5,.444,0.0,0.2,.000,1.1,2.3,.480,0.7,1.1,.667,1.0,1.0,2.0,0.5,0.6,0.0,0.7,0.9,2.9
2010-11,23,CLE,NBA,SG,40,29,24.3,2.7,5.9,.462,0.4,1.2,.347,2.3,4.6,.492,1.6,2.0,.800,1.2,2.7,3.9,0.8,0.8,0.4,1.1,2.0,7.4
2011-12,24,CLE,NBA,SG,63,31,29.0,3.6,8.7,.412,0.7,2.2,.321,2.9,6.6,.442,2.7,3.4,.788,1.6,3.5,5.1,1.8,1.3,0.3,1.8,2.4,10.6
2012-13,25,CLE,NBA,SF,82,82,31.0,3.7,9.1,.410,0.8,2.7,.315,2.9,6.4,.450,2.0,2.5,.795,0.9,3.0,3.9,1.6,1.3,0.4,1.6,2.4,10.3
2013-14,26,CLE,NBA,SF,65,24,15.7,1.5,3.6,.415,0.3,0.9,.328,1.2,2.7,.444,0.7,0.9,.705,0.5,1.8,2.3,0.7,0.6,0.2,0.7,1.5,4.0
Career,,,NBA,,277,173,24.1,2.8,6.7,.420,0.6,1.7,.329,2.2,5.0,.451,1.7,2.2,.773,1.0,2.6,3.6,1.2,1.0,0.3,1.3,2.0,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CLE,NBA,,250,166,25.4,3.0,7.1,.418,0.6,1.9,.322,2.4,5.2,.452,1.7,2.2,.783,1.0,2.8,3.8,1.3,1.0,0.3,1.3,2.1,8.2
2 seasons,,WAS,NBA,,22,7,14.0,1.8,3.9,.465,0.3,0.5,.636,1.5,3.4,.440,1.2,1.9,.634,1.2,1.3,2.5,0.5,0.6,0.0,0.8,1.0,5.1
1 season,,SAS,NBA,,5,0,3.6,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,0.0,0.0,,0.4,0.2,0.6,0.0,0.0,0.4,0.6,0.6,0.4
