
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,18,DET,NBA,SF,3,0,13.0,2.3,3.3,.700,0.7,1.0,.667,1.7,2.3,.714,1.3,1.3,1.000,1.0,0.3,1.3,1.0,0.0,0.7,1.3,2.3,6.7
2006-07,19,DET,NBA,PF,8,0,15.5,2.3,4.1,.545,0.0,0.4,.000,2.3,3.8,.600,1.4,1.8,.786,1.9,2.8,4.6,0.4,0.6,1.6,1.1,2.4,5.9
2007-08,20,DET,NBA,PF,62,0,12.3,1.5,2.7,.558,0.0,0.0,,1.5,2.7,.558,0.6,0.9,.673,1.4,2.4,3.8,0.5,0.4,1.3,0.6,2.3,3.6
2008-09,21,DET,NBA,PF,62,24,14.7,1.6,2.6,.595,0.0,0.0,,1.6,2.6,.595,0.4,0.6,.657,1.6,2.1,3.7,0.3,0.3,1.0,0.5,2.8,3.5
2009-10,22,TOR,NBA,PF,82,5,17.7,2.5,4.1,.623,0.0,0.0,.000,2.5,4.0,.630,1.2,1.8,.638,1.9,2.9,4.8,0.6,0.5,0.8,0.8,3.1,6.2
2010-11,23,TOR,NBA,PF,72,54,25.7,3.9,6.9,.568,0.0,0.0,.000,3.9,6.9,.569,1.8,2.2,.788,2.6,3.8,6.4,1.1,0.7,1.2,1.0,3.7,9.6
2011-12,24,TOR,NBA,PF,64,43,24.3,3.1,5.3,.576,0.0,0.1,.400,3.0,5.2,.579,0.9,1.3,.690,2.3,4.0,6.4,1.2,0.5,1.1,1.5,3.3,7.1
2012-13,25,TOR,NBA,PF,81,38,28.7,4.1,7.5,.554,0.1,0.2,.385,4.1,7.3,.558,1.7,2.3,.727,2.8,4.7,7.5,1.5,1.0,1.4,1.4,3.7,10.0
2013-14,26,TOR,NBA,PF,77,72,28.8,4.5,7.9,.562,0.3,0.9,.303,4.2,7.1,.593,1.2,1.9,.636,2.2,4.3,6.6,1.5,0.7,1.1,1.6,3.5,10.4
Career,,,NBA,,511,236,22.0,3.1,5.4,.573,0.1,0.2,.305,3.0,5.2,.582,1.1,1.6,.699,2.1,3.5,5.7,1.0,0.6,1.1,1.1,3.2,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,TOR,NBA,,376,212,25.0,3.6,6.3,.572,0.1,0.2,.303,3.6,6.1,.582,1.3,1.9,.700,2.4,4.0,6.3,1.2,0.7,1.1,1.2,3.5,8.7
4 seasons,,DET,NBA,,135,24,13.6,1.6,2.7,.577,0.0,0.0,.333,1.6,2.7,.581,0.6,0.8,.694,1.5,2.2,3.8,0.4,0.4,1.2,0.6,2.5,3.7
