
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22,CLE,NBA,PF,54,0,16.0,1.8,3.6,.513,0.0,0.0,.000,1.8,3.5,.518,1.3,2.4,.535,2.0,2.7,4.8,0.5,0.8,0.7,0.5,2.3,4.9
2005-06,23,CLE,NBA,C,48,4,15.8,1.6,3.1,.527,0.0,0.0,.000,1.6,3.1,.530,1.3,2.5,.513,1.6,3.3,4.9,0.4,0.6,0.4,0.6,2.5,4.6
2006-07,24,CLE,NBA,C,81,6,23.9,2.4,5.0,.476,0.0,0.1,.000,2.4,4.8,.487,2.0,3.3,.616,2.4,4.4,6.7,0.9,0.9,0.6,0.8,3.3,6.8
2007-08,25,CLE,NBA,C,48,13,27.5,2.8,6.1,.461,0.0,0.0,.000,2.8,6.1,.464,1.0,1.7,.598,2.8,5.5,8.3,1.1,0.8,0.5,1.2,2.8,6.7
2008-09,26,CLE,NBA,PF,81,42,28.5,3.3,6.2,.536,0.0,0.0,.000,3.3,6.2,.538,1.9,3.1,.616,2.0,5.1,7.2,1.0,0.9,0.8,1.0,3.0,8.6
2009-10,27,CLE,NBA,PF,76,7,28.5,3.5,6.1,.572,0.0,0.1,.200,3.5,6.1,.576,1.5,2.3,.663,2.5,5.1,7.6,1.1,0.9,0.9,0.9,2.9,8.6
2010-11,28,CLE,NBA,C,31,31,32.1,3.7,7.0,.528,0.0,0.1,.000,3.7,6.9,.533,1.7,2.6,.667,3.2,6.5,9.7,1.5,0.9,1.2,1.3,2.8,9.1
2011-12,29,CLE,NBA,C,25,25,31.4,4.6,8.9,.514,0.0,0.2,.000,4.6,8.7,.523,1.7,2.6,.672,4.4,7.1,11.5,1.7,1.4,0.7,1.8,2.5,10.8
2012-13,30,CLE,NBA,C,25,25,36.0,5.5,11.6,.478,0.0,0.2,.000,5.5,11.4,.486,3.1,4.1,.755,5.5,8.9,14.4,3.4,1.5,0.6,1.8,2.7,14.1
2013-14,31,CLE,NBA,C,65,29,27.7,3.5,7.1,.495,0.0,0.1,.000,3.5,7.0,.502,1.4,2.1,.681,2.9,6.8,9.7,2.2,1.1,0.6,1.1,2.5,8.4
Career,,,NBA,,534,182,25.9,3.1,6.0,.512,0.0,0.1,.026,3.1,5.9,.518,1.6,2.6,.627,2.6,5.2,7.8,1.2,0.9,0.7,1.0,2.8,7.8
