
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,MIL,NBA,PF,82,77,28.6,3.9,7.4,.533,0.0,0.0,.000,3.9,7.4,.536,1.5,2.4,.629,2.3,4.7,7.0,2.3,0.6,0.8,1.5,3.2,9.4
2006-07,22,MIL,NBA,C,66,66,34.2,5.3,9.5,.553,0.0,0.1,.200,5.3,9.5,.556,1.7,2.9,.577,2.5,6.3,8.8,3.0,0.7,0.5,2.3,3.3,12.3
2007-08,23,MIL,NBA,C,78,78,34.9,6.0,11.7,.511,0.0,0.1,.000,6.0,11.6,.515,2.4,4.1,.587,3.1,6.6,9.8,2.6,0.8,1.7,2.2,3.3,14.3
2008-09,24,MIL,NBA,C,36,33,31.2,5.1,8.8,.577,0.0,0.0,,5.1,8.8,.577,1.6,2.7,.571,3.3,7.0,10.3,2.0,0.6,1.0,2.4,3.6,11.7
2009-10,25,MIL,NBA,C,69,69,32.3,6.9,13.2,.520,0.0,0.0,.000,6.9,13.2,.521,2.2,3.4,.629,3.0,7.1,10.2,1.8,0.6,2.5,1.9,3.2,15.9
2010-11,26,MIL,NBA,C,65,65,35.3,5.6,11.4,.495,0.0,0.1,.000,5.6,11.4,.497,1.5,3.3,.442,3.1,8.0,11.1,2.0,0.7,2.6,1.9,3.3,12.8
2011-12,27,MIL,NBA,C,12,12,30.3,5.1,11.3,.449,0.0,0.1,.000,5.1,11.3,.452,1.2,1.9,.609,1.8,6.5,8.3,2.6,1.0,2.0,2.0,3.0,11.3
2012-13,28,GSW,NBA,C,32,32,24.6,2.6,5.8,.451,0.0,0.0,1.000,2.6,5.7,.448,0.6,1.2,.500,2.1,5.5,7.7,2.1,0.6,1.7,1.1,2.7,5.8
2013-14,29,GSW,NBA,C,67,67,26.4,3.5,5.6,.627,0.0,0.0,,3.5,5.6,.627,0.3,1.0,.344,2.7,7.3,10.0,1.7,0.7,1.8,1.4,3.1,7.3
Career,,,NBA,,507,499,31.4,5.0,9.5,.528,0.0,0.0,.087,5.0,9.4,.530,1.5,2.7,.562,2.8,6.6,9.3,2.2,0.7,1.6,1.9,3.2,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIL,NBA,,408,400,32.7,5.4,10.4,.522,0.0,0.1,.045,5.4,10.4,.525,1.8,3.1,.574,2.8,6.5,9.3,2.3,0.7,1.6,2.0,3.3,12.7
2 seasons,,GSW,NBA,,99,99,25.8,3.2,5.6,.569,0.0,0.0,1.000,3.2,5.6,.568,0.4,1.0,.402,2.5,6.7,9.3,1.8,0.7,1.8,1.3,3.0,6.8
