
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,18,GSW,NBA,C,30,1,12.8,1.5,2.6,.577,0.0,0.0,.000,1.5,2.6,.584,0.6,1.3,.475,1.6,2.4,3.9,0.4,0.4,0.8,0.4,2.9,3.6
2005-06,19,GSW,NBA,C,68,2,14.7,1.7,2.7,.638,0.0,0.0,,1.7,2.7,.638,0.3,1.1,.306,1.8,2.3,4.2,0.4,0.3,0.7,0.5,2.8,3.8
2006-07,20,GSW,NBA,C,82,63,29.0,4.2,7.1,.599,0.0,0.0,,4.2,7.1,.599,1.1,2.0,.521,3.1,6.2,9.3,1.1,0.8,1.7,1.5,3.7,9.5
2007-08,21,GSW,NBA,C,76,59,27.3,4.5,7.1,.626,0.0,0.0,,4.5,7.1,.626,1.5,2.5,.620,3.4,6.4,9.8,1.0,0.7,1.2,1.1,3.4,10.5
2008-09,22,GSW,NBA,C,62,58,30.0,5.0,8.6,.578,0.0,0.0,.000,5.0,8.6,.579,1.9,3.5,.551,3.6,7.6,11.2,2.0,1.0,1.5,1.8,3.8,11.9
2009-10,23,GSW,NBA,C,33,29,23.1,2.5,4.2,.591,0.0,0.0,,2.5,4.2,.591,0.1,0.8,.160,1.9,5.9,7.8,1.7,0.6,1.3,1.0,3.5,5.0
2010-11,24,GSW,NBA,C,59,55,23.7,2.4,4.5,.534,0.0,0.0,,2.4,4.5,.534,0.2,0.5,.323,2.5,4.8,7.2,1.0,0.9,0.9,1.0,3.4,5.0
2011-12,25,GSW,NBA,C,47,35,15.7,0.8,1.4,.609,0.0,0.0,,0.8,1.4,.609,0.0,0.2,.111,1.0,2.8,3.7,0.3,0.5,1.0,0.3,2.7,1.7
2012-13,26,GSW,NBA,C,53,9,9.3,0.2,0.4,.476,0.0,0.0,,0.2,0.4,.476,0.1,0.2,.308,0.6,2.2,2.9,0.3,0.3,0.8,0.3,1.9,0.5
2013-14,27,UTA,NBA,C,6,0,7.5,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,0.2,1.0,.167,0.3,2.5,2.8,0.0,0.0,0.0,0.3,1.0,0.5
Career,,,NBA,,516,311,21.6,2.8,4.7,.594,0.0,0.0,.000,2.8,4.7,.595,0.7,1.5,.500,2.3,4.7,7.0,0.9,0.6,1.1,0.9,3.2,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,GSW,NBA,,510,311,21.8,2.8,4.7,.594,0.0,0.0,.000,2.8,4.7,.595,0.7,1.5,.503,2.3,4.8,7.1,0.9,0.6,1.1,0.9,3.2,6.4
1 season,,UTA,NBA,,6,0,7.5,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,0.2,1.0,.167,0.3,2.5,2.8,0.0,0.0,0.0,0.3,1.0,0.5
