
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,GSW,NBA,SG,67,17,22.6,3.8,8.0,.478,1.3,2.7,.467,2.5,5.2,.483,1.2,1.4,.870,1.2,1.8,3.0,1.2,0.5,0.2,0.8,1.9,10.1
2009-10,24,GSW,NBA,SF,69,37,29.2,4.8,10.2,.468,2.0,4.4,.456,2.7,5.7,.477,1.5,1.7,.886,0.9,2.9,3.8,1.5,0.9,0.2,1.2,2.3,13.0
2010-11,25,NJN,NBA,SG,58,47,32.0,4.8,10.7,.450,1.9,4.5,.423,2.9,6.2,.469,1.7,1.8,.897,0.6,2.3,3.0,1.2,0.3,0.1,0.9,2.3,13.2
2011-12,26,NJN,NBA,SG,62,18,26.4,4.4,10.6,.413,1.7,4.6,.371,2.7,6.0,.446,1.6,1.7,.933,0.5,1.5,2.0,1.0,0.7,0.1,1.1,1.4,12.0
2012-13,27,TOT,NBA,SF-SG,41,1,9.3,1.6,3.5,.441,0.4,1.0,.372,1.2,2.5,.471,0.5,0.5,.909,0.3,0.5,0.7,0.3,0.3,0.0,0.2,1.0,4.0
2012-13,27,ATL,NBA,SF,24,1,12.5,2.0,4.6,.423,0.6,1.6,.395,1.3,3.0,.438,0.7,0.8,.889,0.4,0.7,1.1,0.4,0.5,0.0,0.2,1.4,5.2
2012-13,27,DAL,NBA,SG,17,0,4.8,1.0,2.0,.500,0.1,0.3,.200,0.9,1.7,.552,0.2,0.2,1.000,0.1,0.2,0.2,0.2,0.1,0.0,0.2,0.6,2.3
2013-14,28,NOP,NBA,SG,76,9,18.8,3.1,6.8,.458,1.2,2.6,.451,2.0,4.3,.462,0.9,1.1,.828,0.4,1.5,1.8,0.8,0.5,0.2,0.7,1.3,8.4
Career,,,NBA,,373,129,23.7,3.9,8.5,.452,1.5,3.4,.428,2.4,5.1,.468,1.2,1.4,.886,0.7,1.8,2.5,1.0,0.6,0.2,0.9,1.8,10.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,136,54,26.0,4.3,9.1,.472,1.7,3.6,.460,2.6,5.5,.480,1.3,1.5,.879,1.0,2.3,3.4,1.4,0.7,0.2,1.0,2.1,11.6
2 seasons,,NJN,NBA,,120,65,29.1,4.6,10.7,.431,1.8,4.6,.396,2.8,6.1,.458,1.6,1.8,.915,0.6,1.9,2.5,1.1,0.5,0.1,1.0,1.8,12.6
1 season,,NOP,NBA,,76,9,18.8,3.1,6.8,.458,1.2,2.6,.451,2.0,4.3,.462,0.9,1.1,.828,0.4,1.5,1.8,0.8,0.5,0.2,0.7,1.3,8.4
1 season,,ATL,NBA,,24,1,12.5,2.0,4.6,.423,0.6,1.6,.395,1.3,3.0,.438,0.7,0.8,.889,0.4,0.7,1.1,0.4,0.5,0.0,0.2,1.4,5.2
1 season,,DAL,NBA,,17,0,4.8,1.0,2.0,.500,0.1,0.3,.200,0.9,1.7,.552,0.2,0.2,1.000,0.1,0.2,0.2,0.2,0.1,0.0,0.2,0.6,2.3
