
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,SAS,NBA,PF,19,0,10.9,1.0,3.4,.292,0.5,2.2,.220,0.5,1.3,.417,0.3,0.5,.500,0.6,1.5,2.2,0.9,0.3,0.1,0.4,0.8,2.7
2009-10,24,TOT,NBA,PF,46,29,31.0,4.2,9.8,.430,1.1,3.3,.329,3.1,6.5,.481,2.2,2.9,.769,1.8,5.1,7.0,1.9,0.7,0.7,1.0,2.8,11.7
2009-10,24,POR,NBA,PF,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2009-10,24,GSW,NBA,PF,44,29,32.3,4.4,10.2,.431,1.1,3.4,.331,3.3,6.8,.481,2.3,3.0,.769,1.9,5.3,7.3,2.0,0.7,0.8,1.0,2.9,12.3
2010-11,25,MIN,NBA,SF,65,4,21.0,2.2,4.8,.450,0.7,1.8,.409,1.4,3.0,.475,1.6,2.0,.802,1.4,3.1,4.5,1.3,0.4,0.4,0.8,2.2,6.7
2011-12,26,MIN,NBA,SF,51,0,17.3,1.4,3.6,.390,0.5,2.0,.248,0.9,1.6,.568,0.8,1.1,.745,1.0,2.0,3.0,0.4,0.4,0.4,0.7,1.7,4.1
2012-13,27,ATL,NBA,SF,62,11,15.5,1.3,3.5,.380,0.7,2.1,.338,0.6,1.3,.446,0.7,0.8,.863,0.5,2.0,2.5,0.5,0.2,0.2,0.6,1.1,4.1
2013-14,28,CHA,NBA,PF,64,9,20.3,2.0,4.8,.420,1.6,3.9,.413,0.4,0.9,.450,0.5,0.6,.805,0.5,2.1,2.6,0.7,0.3,0.2,0.4,1.3,6.1
Career,,,NBA,,307,53,20.0,2.1,5.0,.414,0.9,2.6,.352,1.2,2.4,.480,1.1,1.4,.784,1.0,2.7,3.7,0.9,0.4,0.4,0.6,1.7,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,116,4,19.3,1.8,4.3,.428,0.6,1.9,.333,1.2,2.4,.502,1.3,1.6,.785,1.2,2.6,3.9,0.9,0.4,0.4,0.7,2.0,5.5
1 season,,CHA,NBA,,64,9,20.3,2.0,4.8,.420,1.6,3.9,.413,0.4,0.9,.450,0.5,0.6,.805,0.5,2.1,2.6,0.7,0.3,0.2,0.4,1.3,6.1
1 season,,ATL,NBA,,62,11,15.5,1.3,3.5,.380,0.7,2.1,.338,0.6,1.3,.446,0.7,0.8,.863,0.5,2.0,2.5,0.5,0.2,0.2,0.6,1.1,4.1
1 season,,GSW,NBA,,44,29,32.3,4.4,10.2,.431,1.1,3.4,.331,3.3,6.8,.481,2.3,3.0,.769,1.9,5.3,7.3,2.0,0.7,0.8,1.0,2.9,12.3
1 season,,SAS,NBA,,19,0,10.9,1.0,3.4,.292,0.5,2.2,.220,0.5,1.3,.417,0.3,0.5,.500,0.6,1.5,2.2,0.9,0.3,0.1,0.4,0.8,2.7
1 season,,POR,NBA,,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
