
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,DET,NBA,SF,69,4,13.3,2.0,4.3,.464,0.4,1.4,.305,1.6,2.9,.540,0.7,0.8,.821,0.5,2.0,2.5,0.5,0.4,0.4,0.7,1.7,5.1
2010-11,22,DET,NBA,SF,72,16,20.1,2.7,6.5,.410,1.0,2.4,.401,1.7,4.2,.415,1.1,1.5,.759,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5
2011-12,23,DET,NBA,SF,41,4,14.7,1.8,5.5,.322,0.3,1.5,.210,1.5,4.0,.364,0.9,1.0,.814,0.3,1.9,2.2,0.8,0.5,0.5,1.0,1.5,4.7
2012-13,24,TOT,NBA,SF,55,0,12.3,1.6,3.8,.433,0.7,1.8,.418,0.9,2.0,.445,0.5,0.6,.765,0.3,1.9,2.2,0.8,0.3,0.4,0.5,1.5,4.5
2012-13,24,DET,NBA,SF,24,0,14.5,1.8,4.0,.443,0.9,1.7,.525,0.9,2.4,.386,0.6,0.8,.833,0.4,2.2,2.6,0.9,0.2,0.3,0.5,1.8,5.1
2012-13,24,MEM,NBA,SF,31,0,10.6,1.5,3.6,.423,0.6,1.9,.345,0.9,1.7,.509,0.4,0.5,.688,0.2,1.7,1.9,0.7,0.3,0.5,0.5,1.3,4.0
2013-14,25,TOT,NBA,SF,22,1,6.7,1.1,3.1,.353,0.5,1.7,.324,0.5,1.4,.387,0.3,0.5,.600,0.2,1.0,1.2,0.4,0.2,0.2,0.2,0.8,3.0
2013-14,25,TOR,NBA,SF,8,0,4.1,0.4,1.6,.231,0.0,1.0,.000,0.4,0.6,.600,0.3,0.4,.667,0.3,0.6,0.9,0.3,0.0,0.0,0.0,0.5,1.0
2013-14,25,SAS,NBA,SF,14,1,8.2,1.5,3.9,.382,0.9,2.1,.414,0.6,1.9,.346,0.3,0.5,.571,0.2,1.2,1.4,0.4,0.3,0.3,0.4,1.0,4.1
Career,,,NBA,,259,25,14.6,2.0,4.9,.407,0.6,1.8,.353,1.4,3.1,.439,0.8,1.0,.777,0.5,2.1,2.7,0.8,0.4,0.4,0.7,1.7,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,206,24,16.1,2.2,5.3,.409,0.6,1.8,.358,1.5,3.5,.436,0.9,1.1,.791,0.6,2.3,2.9,0.8,0.4,0.5,0.8,1.9,5.8
1 season,,MEM,NBA,,31,0,10.6,1.5,3.6,.423,0.6,1.9,.345,0.9,1.7,.509,0.4,0.5,.688,0.2,1.7,1.9,0.7,0.3,0.5,0.5,1.3,4.0
1 season,,SAS,NBA,,14,1,8.2,1.5,3.9,.382,0.9,2.1,.414,0.6,1.9,.346,0.3,0.5,.571,0.2,1.2,1.4,0.4,0.3,0.3,0.4,1.0,4.1
1 season,,TOR,NBA,,8,0,4.1,0.4,1.6,.231,0.0,1.0,.000,0.4,0.6,.600,0.3,0.4,.667,0.3,0.6,0.9,0.3,0.0,0.0,0.0,0.5,1.0
