
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,CHI,NBA,SG,82,3,24.4,5.3,12.9,.411,1.6,4.0,.405,3.7,8.8,.414,2.8,3.3,.863,0.7,2.0,2.6,2.0,0.6,0.1,2.3,2.7,15.1
2005-06,22,CHI,NBA,SG,80,47,31.0,6.1,14.4,.422,2.1,4.8,.435,4.0,9.6,.416,2.6,3.4,.787,0.5,2.2,2.7,3.0,0.9,0.1,2.3,3.0,16.9
2006-07,23,CHI,NBA,SG,82,51,33.0,7.4,16.3,.455,1.9,4.6,.413,5.5,11.7,.471,4.6,5.4,.864,0.4,2.7,3.1,3.6,0.8,0.2,3.0,3.1,21.4
2007-08,24,CHI,NBA,SG,72,27,31.8,6.4,14.8,.434,2.0,4.8,.410,4.5,10.0,.445,3.7,4.1,.908,0.6,2.5,3.1,3.0,0.8,0.1,2.1,2.4,18.6
2008-09,25,CHI,NBA,SG,82,76,36.6,7.3,16.0,.455,2.1,5.1,.410,5.2,10.9,.476,4.0,4.7,.864,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2,20.7
2009-10,26,DET,NBA,SG,62,17,27.9,4.7,11.3,.416,1.2,3.8,.321,3.5,7.5,.465,3.2,3.7,.861,0.4,1.5,1.9,2.7,0.8,0.1,1.9,2.4,13.8
2010-11,27,DET,NBA,SG,82,27,26.0,4.1,9.4,.440,1.3,3.2,.402,2.8,6.1,.460,1.7,2.0,.850,0.5,1.9,2.4,2.1,0.6,0.2,1.7,2.2,11.2
2011-12,28,DET,NBA,SG,52,21,26.9,4.5,10.2,.442,1.2,2.8,.429,3.3,7.4,.446,2.3,2.6,.860,0.3,2.1,2.3,2.4,0.7,0.2,2.2,2.2,12.5
2012-13,29,CHA,NBA,SG,75,0,20.8,4.1,10.1,.408,1.5,3.9,.387,2.6,6.2,.421,1.4,1.7,.843,0.2,1.5,1.7,1.9,0.5,0.2,1.8,1.8,11.2
2013-14,30,CHA,NBA,SG,19,0,14.7,1.9,5.7,.343,0.4,1.5,.276,1.5,4.2,.367,0.9,1.1,.810,0.2,1.3,1.4,1.1,0.5,0.1,1.1,0.9,5.2
Career,,,NBA,,688,269,28.5,5.5,12.8,.432,1.7,4.1,.402,3.9,8.7,.446,2.9,3.4,.857,0.5,2.1,2.6,2.6,0.7,0.2,2.2,2.4,15.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHI,NBA,,398,204,31.4,6.5,14.9,.437,1.9,4.7,.415,4.6,10.2,.447,3.6,4.2,.859,0.6,2.4,3.0,3.0,0.8,0.2,2.4,2.7,18.5
3 seasons,,DET,NBA,,196,65,26.8,4.4,10.2,.432,1.3,3.3,.379,3.2,6.9,.458,2.3,2.7,.857,0.4,1.8,2.2,2.4,0.7,0.2,1.9,2.2,12.4
2 seasons,,CHA,NBA,,94,0,19.6,3.7,9.2,.400,1.3,3.4,.377,2.4,5.8,.413,1.3,1.6,.838,0.2,1.4,1.7,1.7,0.5,0.2,1.7,1.6,10.0
