
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,21,ATL,NBA,SG,76,37,25.3,1.8,4.1,.447,0.1,0.3,.231,1.8,3.8,.467,0.7,1.2,.602,1.5,3.0,4.5,2.4,0.8,0.5,1.7,2.5,4.5
2004-05,22,ATL,NBA,SG,66,25,18.2,1.9,4.5,.422,0.1,0.8,.180,1.7,3.7,.471,0.9,1.2,.740,0.8,1.8,2.6,2.3,0.6,0.3,1.3,1.9,4.8
2005-06,23,PHO,NBA,PF,81,70,35.5,5.5,10.5,.526,0.1,0.4,.267,5.4,10.2,.536,2.1,2.9,.731,2.0,4.9,6.9,6.2,0.7,1.0,2.3,3.2,13.3
2006-07,24,PHO,NBA,PF,73,59,31.1,4.2,7.8,.538,0.2,0.6,.333,4.0,7.2,.555,1.1,1.6,.683,1.2,3.1,4.3,4.8,0.4,0.5,2.1,2.4,9.7
2007-08,25,PHO,NBA,PF,82,19,28.1,3.8,7.9,.477,0.2,0.5,.317,3.6,7.4,.488,1.2,1.6,.744,1.2,3.4,4.6,3.9,0.7,0.5,1.9,2.0,8.8
2008-09,26,TOT,NBA,PF,81,59,34.0,5.5,10.9,.507,0.9,2.2,.414,4.6,8.7,.531,1.2,1.8,.687,1.5,3.9,5.3,4.1,0.8,0.7,2.7,2.5,13.2
2008-09,26,PHO,NBA,PF,22,0,24.5,3.6,6.4,.567,0.2,0.6,.357,3.4,5.8,.591,0.8,1.2,.692,1.1,2.7,3.8,2.1,0.5,0.4,1.7,1.8,8.3
2008-09,26,CHA,NBA,PF,59,59,37.6,6.2,12.6,.495,1.2,2.8,.419,5.1,9.8,.517,1.4,2.1,.686,1.6,4.3,5.9,4.9,0.8,0.7,3.0,2.8,15.1
2009-10,27,CHA,NBA,PF,82,82,35.4,4.5,9.4,.483,0.8,2.5,.320,3.7,6.9,.541,1.4,1.8,.769,1.6,3.6,5.2,4.0,0.7,0.7,2.2,2.7,11.3
2010-11,28,CHA,NBA,PF,82,82,33.9,4.6,9.4,.492,1.0,2.8,.345,3.7,6.7,.553,1.0,1.5,.683,1.3,3.8,5.0,4.1,0.9,0.6,2.0,2.3,11.3
2011-12,29,TOT,NBA,PF,57,35,25.0,2.7,6.2,.444,0.5,1.7,.313,2.2,4.4,.496,0.4,0.6,.629,1.2,3.7,4.9,3.6,0.6,0.4,2.0,2.2,6.4
2011-12,29,CHA,NBA,PF,37,28,27.5,3.1,7.6,.410,0.6,2.3,.267,2.5,5.3,.472,0.5,0.7,.630,1.3,4.0,5.3,4.3,0.5,0.5,2.3,1.9,7.4
2011-12,29,SAS,NBA,PF,20,7,20.3,2.0,3.4,.588,0.4,0.7,.615,1.6,2.8,.582,0.3,0.4,.625,1.2,3.1,4.3,2.4,0.7,0.3,1.4,2.7,4.7
2012-13,30,SAS,NBA,PF,75,20,22.8,2.4,4.4,.539,0.4,1.0,.385,2.0,3.4,.587,0.6,0.9,.723,0.9,2.5,3.4,2.4,0.7,0.4,1.1,1.9,5.8
2013-14,31,SAS,NBA,PF,79,24,25.0,3.8,7.3,.521,0.6,1.4,.402,3.3,5.9,.549,0.9,1.2,.739,0.9,3.2,4.1,2.8,0.6,0.4,1.5,1.8,9.1
Career,,,NBA,,834,512,28.9,3.8,7.6,.497,0.5,1.3,.344,3.3,6.3,.529,1.1,1.5,.711,1.3,3.4,4.7,3.7,0.7,0.5,1.9,2.3,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHA,NBA,,260,251,34.3,4.8,9.9,.481,0.9,2.6,.346,3.9,7.3,.530,1.1,1.6,.711,1.5,3.9,5.3,4.3,0.8,0.6,2.3,2.5,11.6
4 seasons,,PHO,NBA,,258,148,31.0,4.4,8.6,.517,0.2,0.5,.315,4.3,8.1,.530,1.4,2.0,.721,1.4,3.7,5.2,4.7,0.6,0.7,2.1,2.5,10.5
3 seasons,,SAS,NBA,,174,51,23.5,3.0,5.6,.532,0.5,1.2,.409,2.5,4.5,.564,0.7,0.9,.727,0.9,2.9,3.8,2.6,0.6,0.4,1.3,1.9,7.2
2 seasons,,ATL,NBA,,142,62,22.0,1.9,4.3,.435,0.1,0.5,.197,1.8,3.7,.469,0.8,1.2,.665,1.2,2.4,3.6,2.3,0.7,0.4,1.5,2.2,4.6
