
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20,GSW,NBA,SF,38,6,9.9,1.6,2.9,.554,0.0,0.0,,1.6,2.9,.554,0.7,1.1,.675,1.0,1.6,2.6,0.2,0.2,0.6,0.3,0.9,4.0
2008-09,21,GSW,NBA,PF,39,23,17.6,3.3,6.3,.528,0.0,0.1,.000,3.3,6.2,.537,1.6,2.2,.741,1.6,2.4,4.0,0.5,0.6,0.9,0.6,1.9,8.3
2010-11,23,TOT,NBA,PF,37,2,10.2,1.6,3.2,.513,0.0,0.0,,1.6,3.2,.513,0.6,0.8,.677,0.8,1.6,2.4,0.3,0.3,0.5,0.4,0.9,3.8
2010-11,23,GSW,NBA,PF,21,1,9.3,1.8,3.0,.603,0.0,0.0,,1.8,3.0,.603,0.3,0.7,.500,0.7,1.3,2.0,0.2,0.1,0.5,0.5,0.9,4.0
2010-11,23,NJN,NBA,PF,16,1,11.5,1.4,3.4,.407,0.0,0.0,,1.4,3.4,.407,0.9,1.1,.824,1.1,1.9,3.0,0.4,0.5,0.4,0.3,0.9,3.6
2011-12,24,DAL,NBA,C,49,0,16.1,2.9,4.8,.618,0.0,0.0,.000,2.9,4.7,.621,1.1,1.7,.634,1.3,2.3,3.6,0.3,0.4,1.3,0.4,1.2,6.9
2012-13,25,DAL,NBA,C,64,16,18.0,3.8,6.3,.597,0.0,0.0,.000,3.8,6.3,.601,0.9,1.5,.615,1.3,2.7,4.1,0.6,0.4,1.2,0.5,1.2,8.5
2013-14,26,DAL,NBA,C,58,0,18.6,3.9,5.7,.677,0.0,0.0,,3.9,5.7,.677,1.3,1.8,.726,1.8,2.4,4.2,0.5,0.6,0.9,0.6,1.6,9.1
Career,,,NBA,,285,47,15.6,3.0,5.1,.597,0.0,0.0,.000,3.0,5.0,.600,1.0,1.5,.680,1.3,2.3,3.6,0.4,0.4,0.9,0.5,1.3,7.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DAL,NBA,,171,16,17.6,3.6,5.7,.629,0.0,0.0,.000,3.6,5.6,.632,1.1,1.7,.662,1.5,2.5,4.0,0.5,0.5,1.1,0.5,1.4,8.2
3 seasons,,GSW,NBA,,98,30,12.8,2.3,4.3,.546,0.0,0.0,.000,2.3,4.3,.552,1.0,1.4,.698,1.2,1.9,3.0,0.4,0.3,0.7,0.5,1.3,5.7
1 season,,NJN,NBA,,16,1,11.5,1.4,3.4,.407,0.0,0.0,,1.4,3.4,.407,0.9,1.1,.824,1.1,1.9,3.0,0.4,0.5,0.4,0.3,0.9,3.6
