
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,NOK,NBA,PF,29,1,9.2,1.0,2.4,.400,0.0,0.0,,1.0,2.4,.400,0.4,0.7,.632,0.6,1.7,2.3,0.1,0.1,0.2,0.4,0.6,2.3
2006-07,21,NOK,NBA,PF,21,3,7.7,0.7,2.1,.341,0.0,0.0,.000,0.7,2.0,.349,0.6,0.8,.750,0.6,1.4,2.0,0.1,0.1,0.1,0.5,0.8,2.0
2007-08,22,DAL,NBA,C,79,1,19.7,3.1,6.2,.499,0.0,0.1,.000,3.1,6.2,.503,2.1,2.5,.822,1.5,2.9,4.4,0.7,0.3,0.6,1.0,1.9,8.3
2008-09,23,DAL,NBA,C,81,0,19.4,3.1,6.3,.496,0.0,0.1,.000,3.1,6.2,.502,2.2,2.6,.867,1.6,2.9,4.5,0.5,0.3,0.7,1.1,1.7,8.5
2009-10,24,ORL,NBA,PF,50,3,13.0,2.4,4.7,.511,0.0,0.0,,2.4,4.7,.511,1.0,1.3,.825,1.1,1.5,2.5,0.4,0.2,0.5,0.6,1.4,5.8
2010-11,25,ORL,NBA,PF,76,51,26.1,4.4,8.5,.515,0.0,0.0,.000,4.4,8.5,.516,2.5,3.1,.815,1.8,3.8,5.6,0.8,0.4,0.7,1.3,2.1,11.2
2011-12,26,BOS,NBA,PF,59,39,31.7,5.1,10.7,.479,0.0,0.0,,5.1,10.7,.479,2.2,2.8,.810,1.6,4.6,6.2,0.9,0.6,0.9,1.1,2.3,12.5
2012-13,27,BOS,NBA,PF,81,69,27.6,3.5,7.3,.486,0.0,0.0,.000,3.5,7.2,.487,1.6,1.9,.860,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,8.7
2013-14,28,BOS,NBA,PF,82,73,27.6,4.3,8.8,.486,0.0,0.1,.333,4.3,8.8,.487,2.5,2.9,.858,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,11.1
Career,,,NBA,,558,240,22.5,3.5,7.1,.491,0.0,0.0,.095,3.5,7.0,.493,1.9,2.3,.834,1.5,3.2,4.7,0.7,0.4,0.7,1.0,1.9,8.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,BOS,NBA,,222,181,28.7,4.2,8.8,.484,0.0,0.0,.250,4.2,8.7,.485,2.1,2.5,.844,1.7,3.9,5.7,1.0,0.5,0.9,1.1,2.3,10.6
2 seasons,,DAL,NBA,,160,1,19.6,3.1,6.3,.498,0.0,0.1,.000,3.1,6.2,.503,2.2,2.5,.845,1.6,2.9,4.5,0.6,0.3,0.6,1.1,1.8,8.4
2 seasons,,ORL,NBA,,126,54,20.9,3.6,7.0,.514,0.0,0.0,.000,3.6,7.0,.515,1.9,2.3,.818,1.5,2.9,4.4,0.6,0.3,0.6,1.0,1.8,9.1
2 seasons,,NOK,NBA,,50,4,8.6,0.9,2.3,.377,0.0,0.0,.000,0.9,2.3,.381,0.5,0.7,.686,0.6,1.6,2.2,0.1,0.1,0.2,0.4,0.7,2.2
