
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,IND,NBA,SG,75,19,24.0,3.2,7.7,.423,1.0,2.8,.373,2.2,4.9,.451,0.6,0.9,.697,0.5,2.7,3.1,0.9,0.5,0.5,1.0,1.7,8.1
2009-10,24,IND,NBA,SG,82,64,30.4,3.6,8.6,.423,1.5,3.7,.411,2.1,4.9,.433,0.7,1.1,.629,0.5,3.7,4.2,1.4,0.7,0.8,1.1,1.9,9.4
2010-11,25,IND,NBA,SG,67,21,26.2,3.2,7.7,.421,1.4,3.3,.417,1.9,4.4,.425,1.2,1.6,.755,0.5,2.7,3.2,0.9,0.6,0.5,1.0,1.6,9.1
2011-12,26,GSW,NBA,SF,65,1,26.4,3.6,7.2,.501,1.5,3.4,.452,2.1,3.8,.544,1.0,1.3,.793,0.5,3.4,3.9,1.4,0.5,0.9,1.0,1.0,9.8
2012-13,27,GSW,NBA,SF,2,0,12.5,3.0,4.5,.667,0.0,1.0,.000,3.0,3.5,.857,1.0,1.5,.667,0.0,0.5,0.5,1.0,0.0,0.0,1.5,2.5,7.0
2013-14,28,UTA,NBA,SG,38,0,11.0,0.8,2.4,.333,0.4,1.2,.340,0.4,1.1,.326,0.1,0.1,.600,0.1,1.0,1.2,0.6,0.1,0.2,0.5,0.8,2.1
Career,,,NBA,,329,105,24.9,3.1,7.2,.436,1.2,3.0,.409,1.9,4.1,.455,0.8,1.1,.718,0.4,2.9,3.3,1.1,0.5,0.6,1.0,1.5,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,224,104,27.0,3.4,8.0,.422,1.3,3.3,.402,2.1,4.7,.437,0.8,1.2,.697,0.5,3.1,3.6,1.1,0.6,0.6,1.1,1.8,8.9
2 seasons,,GSW,NBA,,67,1,26.0,3.6,7.1,.504,1.5,3.3,.448,2.1,3.8,.553,1.0,1.3,.788,0.5,3.3,3.8,1.3,0.5,0.9,1.1,1.0,9.7
1 season,,UTA,NBA,,38,0,11.0,0.8,2.4,.333,0.4,1.2,.340,0.4,1.1,.326,0.1,0.1,.600,0.1,1.0,1.2,0.6,0.1,0.2,0.5,0.8,2.1
