
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,24,HOU,NBA,PF,42,0,16.9,3.2,5.2,.616,0.0,0.0,.000,3.2,5.2,.619,1.7,2.6,.661,2.3,2.6,4.9,0.5,0.4,0.2,0.6,2.3,8.1
2008-09,25,HOU,NBA,PF,69,0,21.3,3.5,6.1,.574,0.0,0.0,.333,3.5,6.0,.576,2.3,2.8,.813,1.8,3.2,5.0,0.6,0.4,0.4,1.0,2.4,9.2
2009-10,26,TOT,NBA,PF,80,29,30.9,6.2,11.6,.536,0.0,0.0,.333,6.2,11.6,.537,4.3,5.3,.806,2.4,3.5,5.9,0.8,0.7,0.8,1.7,2.9,16.8
2009-10,26,HOU,NBA,PF,52,1,27.2,5.8,10.6,.547,0.0,0.0,,5.8,10.6,.547,4.5,5.4,.839,2.3,3.2,5.5,0.8,0.5,0.9,1.7,2.8,16.1
2009-10,26,SAC,NBA,PF,28,28,37.6,7.0,13.5,.520,0.0,0.1,.333,7.0,13.4,.521,3.9,5.3,.741,2.4,4.1,6.5,0.9,1.0,0.6,1.8,3.1,18.0
2010-11,27,TOT,NBA,PF,76,26,26.4,4.5,9.0,.502,0.0,0.1,.000,4.5,9.0,.505,2.8,3.8,.740,2.2,2.4,4.6,0.8,0.5,0.4,1.4,2.6,11.9
2010-11,27,SAC,NBA,PF,53,16,26.5,4.5,9.1,.492,0.0,0.1,.000,4.5,9.1,.495,2.9,4.1,.721,2.4,2.4,4.8,0.9,0.6,0.4,1.5,2.4,11.9
2010-11,27,NOH,NBA,PF,23,10,26.2,4.7,8.8,.527,0.0,0.0,.000,4.7,8.8,.530,2.5,3.2,.795,1.7,2.4,4.1,0.6,0.4,0.5,1.2,3.1,11.8
2011-12,28,NOH,NBA,PF,41,8,24.4,4.4,8.8,.503,0.0,0.1,.000,4.4,8.8,.507,3.6,4.5,.799,1.9,3.3,5.2,0.9,0.3,0.3,1.6,2.2,12.5
2012-13,29,GSW,NBA,PF,81,2,23.2,4.0,7.4,.540,0.0,0.0,.333,4.0,7.4,.541,2.8,3.4,.817,2.2,3.7,6.0,0.8,0.4,0.4,1.4,2.3,10.8
2013-14,30,SAC,NBA,PF,18,1,12.9,1.7,3.3,.517,0.0,0.0,,1.7,3.3,.517,0.8,0.9,.824,0.8,2.3,3.2,0.3,0.2,0.1,0.5,1.9,4.2
Career,,,NBA,,407,66,24.0,4.3,8.1,.536,0.0,0.0,.176,4.3,8.0,.538,2.9,3.7,.785,2.1,3.1,5.2,0.7,0.5,0.4,1.3,2.5,11.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,163,1,22.0,4.2,7.3,.569,0.0,0.0,.250,4.1,7.3,.570,2.8,3.6,.797,2.1,3.0,5.1,0.6,0.4,0.5,1.1,2.5,11.2
3 seasons,,SAC,NBA,,99,45,27.2,4.7,9.3,.505,0.0,0.1,.167,4.7,9.3,.507,2.8,3.8,.734,2.1,2.9,5.0,0.8,0.6,0.4,1.4,2.5,12.2
1 season,,GSW,NBA,,81,2,23.2,4.0,7.4,.540,0.0,0.0,.333,4.0,7.4,.541,2.8,3.4,.817,2.2,3.7,6.0,0.8,0.4,0.4,1.4,2.3,10.8
2 seasons,,NOH,NBA,,64,18,25.0,4.5,8.8,.512,0.0,0.1,.000,4.5,8.8,.515,3.2,4.0,.798,1.8,3.0,4.8,0.8,0.4,0.4,1.4,2.5,12.2
