
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,22,MIA,NBA,SF,78,78,36.6,5.5,13.2,.416,0.4,1.4,.318,5.1,11.9,.427,4.0,4.8,.824,1.7,3.4,5.1,2.7,1.8,0.4,2.5,2.9,15.4
2003-04,23,MIA,NBA,SF,68,56,29.9,3.5,9.3,.380,0.1,0.6,.238,3.4,8.7,.390,2.0,2.6,.756,1.4,3.4,4.8,1.9,1.1,0.2,1.3,2.4,9.2
2004-05,24,LAL,NBA,SF,77,77,35.7,5.7,12.9,.445,0.5,1.6,.304,5.2,11.2,.465,3.6,4.1,.862,1.9,3.9,5.8,1.9,1.4,0.3,1.6,2.8,15.5
2005-06,25,WAS,NBA,SF,75,54,36.1,6.6,14.5,.455,0.5,1.6,.342,6.0,12.9,.469,3.9,4.4,.870,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2,17.6
2006-07 ★,26,WAS,NBA,SF,63,63,39.3,7.2,15.5,.463,0.3,1.1,.250,6.9,14.3,.480,4.5,5.2,.863,2.3,5.1,7.4,3.7,2.1,0.3,2.9,3.0,19.1
2007-08 ★,27,WAS,NBA,SF,58,58,39.9,7.6,16.3,.466,1.1,3.2,.357,6.4,13.1,.492,4.1,4.5,.901,1.6,5.1,6.7,4.9,2.2,0.3,2.6,2.8,20.3
2008-09,28,WAS,NBA,SG,67,67,38.6,7.3,16.2,.453,1.0,3.1,.310,6.4,13.1,.487,5.1,6.0,.858,1.8,4.4,6.2,4.3,1.6,0.3,3.1,2.5,20.8
2009-10,29,TOT,NBA,SF-SG,74,74,37.6,6.1,14.2,.428,0.6,2.0,.290,5.5,12.2,.450,3.6,4.3,.838,1.4,4.8,6.2,2.1,1.6,0.3,2.2,2.6,16.3
2009-10,29,WAS,NBA,SF,47,47,39.4,6.2,14.8,.422,0.5,2.0,.263,5.7,12.7,.447,3.9,4.5,.877,1.4,5.3,6.7,2.3,1.4,0.3,2.4,2.7,16.9
2009-10,29,DAL,NBA,SG,27,27,34.4,5.8,13.2,.440,0.6,1.9,.340,5.2,11.4,.456,2.9,3.9,.760,1.3,4.0,5.4,1.8,1.8,0.3,1.7,2.5,15.2
2010-11,30,DAL,NBA,SF,29,29,29.9,5.9,13.0,.450,1.0,2.2,.431,4.9,10.8,.454,2.3,3.0,.773,0.8,3.3,4.1,1.6,1.0,0.3,1.7,2.0,15.0
2011-12,31,LAC,NBA,SF,63,63,29.7,4.6,11.2,.407,1.5,4.1,.358,3.1,7.1,.435,1.4,1.7,.813,0.7,3.0,3.7,1.2,0.8,0.1,1.2,2.0,12.0
2012-13,32,LAC,NBA,SF,78,78,24.1,3.9,9.2,.424,1.6,4.2,.388,2.3,5.0,.454,1.0,1.2,.833,0.5,2.3,2.9,1.0,0.7,0.1,0.9,1.8,10.4
2013-14,33,TOT,NBA,SF,56,13,25.3,3.8,9.6,.394,1.8,4.4,.394,2.1,5.2,.395,1.1,1.3,.840,0.4,3.7,4.1,1.5,0.8,0.3,1.1,2.1,10.5
2013-14,33,MIL,NBA,SF,34,13,24.1,4.0,10.4,.387,1.6,4.3,.361,2.5,6.1,.406,1.4,1.6,.839,0.5,4.2,4.6,1.6,0.7,0.3,1.5,1.9,11.0
2013-14,33,OKC,NBA,SF,22,0,27.2,3.5,8.5,.409,2.0,4.6,.441,1.4,3.8,.369,0.7,0.9,.842,0.2,3.0,3.2,1.2,1.1,0.3,0.4,2.5,9.7
Career,,,NBA,,786,710,33.8,5.6,12.9,.435,0.8,2.4,.346,4.8,10.5,.456,3.1,3.7,.846,1.4,3.9,5.3,2.4,1.4,0.3,2.0,2.5,15.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,WAS,NBA,,310,289,38.5,7.0,15.4,.453,0.7,2.2,.315,6.3,13.2,.476,4.3,5.0,.872,1.7,4.9,6.6,3.5,1.8,0.3,2.7,2.8,19.0
2 seasons,,MIA,NBA,,146,134,33.5,4.6,11.4,.402,0.3,1.0,.295,4.3,10.4,.413,3.0,3.8,.802,1.6,3.4,5.0,2.3,1.5,0.3,1.9,2.7,12.5
2 seasons,,LAC,NBA,,141,141,26.6,4.2,10.1,.415,1.6,4.2,.375,2.6,5.9,.444,1.1,1.4,.822,0.6,2.6,3.2,1.1,0.7,0.1,1.1,1.9,11.1
1 season,,LAL,NBA,,77,77,35.7,5.7,12.9,.445,0.5,1.6,.304,5.2,11.2,.465,3.6,4.1,.862,1.9,3.9,5.8,1.9,1.4,0.3,1.6,2.8,15.5
2 seasons,,DAL,NBA,,56,56,32.1,5.8,13.1,.445,0.8,2.1,.391,5.0,11.1,.455,2.6,3.4,.766,1.0,3.7,4.7,1.7,1.4,0.3,1.7,2.3,15.1
1 season,,MIL,NBA,,34,13,24.1,4.0,10.4,.387,1.6,4.3,.361,2.5,6.1,.406,1.4,1.6,.839,0.5,4.2,4.6,1.6,0.7,0.3,1.5,1.9,11.0
1 season,,OKC,NBA,,22,0,27.2,3.5,8.5,.409,2.0,4.6,.441,1.4,3.8,.369,0.7,0.9,.842,0.2,3.0,3.2,1.2,1.1,0.3,0.4,2.5,9.7
