
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,22,NJN,NBA,SG,44,3,13.3,1.8,4.0,.460,0.1,0.3,.250,1.8,3.7,.476,1.2,1.4,.823,0.3,0.8,1.1,1.2,0.3,0.2,0.7,0.8,4.9
2009-10,23,NJN,NBA,SF,67,38,25.8,3.8,8.6,.445,0.2,0.8,.259,3.6,7.7,.464,2.0,2.3,.847,0.7,2.3,3.0,1.4,0.8,0.3,1.4,1.5,9.8
2010-11,24,MIL,NBA,SF,44,12,20.1,2.7,6.2,.429,0.3,1.0,.326,2.3,5.2,.449,1.7,2.0,.831,0.2,1.8,2.0,1.1,0.7,0.3,0.8,1.7,7.3
2012-13,26,DAL,NBA,SG,6,0,10.5,0.8,2.3,.357,0.0,0.7,.000,0.8,1.7,.500,1.2,1.7,.700,0.0,0.8,0.8,0.7,0.3,0.0,0.2,0.7,2.8
2013-14,27,CHA,NBA,SF,49,8,20.7,2.3,5.1,.440,1.0,2.7,.386,1.2,2.4,.500,1.3,1.7,.805,0.3,2.1,2.4,1.0,0.6,0.3,0.7,1.2,6.9
Career,,,NBA,,210,61,20.4,2.7,6.1,.442,0.4,1.2,.335,2.3,5.0,.467,1.6,1.9,.828,0.4,1.8,2.2,1.2,0.6,0.3,1.0,1.3,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NJN,NBA,,111,41,20.9,3.0,6.7,.449,0.2,0.6,.258,2.9,6.2,.467,1.7,2.0,.840,0.5,1.7,2.2,1.3,0.6,0.2,1.2,1.2,7.9
1 season,,CHA,NBA,,49,8,20.7,2.3,5.1,.440,1.0,2.7,.386,1.2,2.4,.500,1.3,1.7,.805,0.3,2.1,2.4,1.0,0.6,0.3,0.7,1.2,6.9
1 season,,MIL,NBA,,44,12,20.1,2.7,6.2,.429,0.3,1.0,.326,2.3,5.2,.449,1.7,2.0,.831,0.2,1.8,2.0,1.1,0.7,0.3,0.8,1.7,7.3
1 season,,DAL,NBA,,6,0,10.5,0.8,2.3,.357,0.0,0.7,.000,0.8,1.7,.500,1.2,1.7,.700,0.0,0.8,0.8,0.7,0.3,0.0,0.2,0.7,2.8
