
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,HOU,NBA,PF,40,0,13.4,1.5,2.6,.562,0.0,0.0,.000,1.5,2.6,.567,0.7,1.1,.644,1.7,2.8,4.5,0.4,0.7,0.4,0.3,1.9,3.7
2006-07,23,HOU,NBA,PF,78,43,22.0,2.5,4.3,.573,0.0,0.0,,2.5,4.3,.573,0.7,1.1,.618,2.6,4.1,6.7,0.6,0.9,0.2,0.8,3.6,5.6
2007-08,24,HOU,NBA,PF,79,44,19.9,1.4,2.8,.511,0.0,0.0,.000,1.4,2.8,.518,0.1,0.3,.458,1.7,3.7,5.4,1.2,1.1,0.5,0.8,2.7,3.0
2008-09,25,HOU,NBA,C,71,1,12.1,0.6,1.6,.372,0.0,0.1,.000,0.6,1.5,.385,0.1,0.3,.368,1.0,2.5,3.5,0.6,0.5,0.3,0.4,1.9,1.3
2009-10,26,HOU,NBA,C,82,82,21.6,2.0,4.0,.489,0.0,0.0,,2.0,4.0,.489,0.4,0.8,.545,1.8,3.8,5.7,1.7,0.9,0.5,0.9,2.7,4.4
2010-11,27,HOU,NBA,C,74,63,28.1,3.3,6.3,.527,0.0,0.0,.000,3.3,6.2,.529,1.3,1.9,.662,3.0,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9
2011-12,28,SAC,NBA,C,54,9,19.2,1.4,3.1,.429,0.0,0.0,.000,1.4,3.1,.435,0.5,0.7,.667,1.3,3.0,4.3,1.4,0.7,0.3,0.9,2.1,3.2
2012-13,29,SAC,NBA,C,74,1,16.3,1.1,2.6,.442,0.0,0.0,.000,1.1,2.6,.444,0.4,0.6,.625,1.5,2.5,4.0,1.5,0.4,0.2,0.6,1.5,2.7
2013-14,30,TOT,NBA,C,61,1,12.4,0.9,2.1,.431,0.0,0.0,.000,0.9,2.1,.434,0.3,0.4,.800,1.1,2.3,3.4,0.6,0.6,0.2,0.5,1.6,2.2
2013-14,30,SAC,NBA,C,16,1,11.2,0.9,2.0,.438,0.0,0.0,,0.9,2.0,.438,0.3,0.4,.714,1.3,1.7,2.9,0.4,0.7,0.1,0.4,1.1,2.1
2013-14,30,TOR,NBA,C,45,0,12.8,0.9,2.2,.429,0.0,0.0,.000,0.9,2.2,.433,0.3,0.4,.833,1.1,2.5,3.6,0.6,0.5,0.2,0.6,1.7,2.2
Career,,,NBA,,613,244,18.8,1.7,3.4,.498,0.0,0.0,.000,1.7,3.3,.501,0.5,0.8,.620,1.8,3.4,5.2,1.2,0.8,0.4,0.7,2.4,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,424,233,20.1,1.9,3.7,.518,0.0,0.0,.000,1.9,3.7,.521,0.5,0.9,.603,2.0,3.8,5.8,1.3,0.9,0.4,0.8,2.6,4.4
3 seasons,,SAC,NBA,,144,11,16.9,1.2,2.7,.436,0.0,0.0,.000,1.2,2.7,.440,0.4,0.7,.649,1.4,2.6,4.0,1.4,0.5,0.3,0.7,1.7,2.8
1 season,,TOR,NBA,,45,0,12.8,0.9,2.2,.429,0.0,0.0,.000,0.9,2.2,.433,0.3,0.4,.833,1.1,2.5,3.6,0.6,0.5,0.2,0.6,1.7,2.2
