
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,OKC,NBA,C,18,0,7.9,0.4,0.8,.533,0.0,0.0,,0.4,0.8,.533,0.1,0.2,.500,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0
2011-12,23,OKC,NBA,C,26,0,6.7,0.8,1.6,.524,0.0,0.0,,0.8,1.6,.524,0.5,0.5,.929,0.5,1.3,1.8,0.1,0.3,0.6,0.3,0.8,2.2
2012-13,24,TOT,NBA,C,45,0,8.6,1.0,1.8,.550,0.0,0.0,,1.0,1.8,.550,0.3,0.4,.600,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2
2012-13,24,HOU,NBA,C,30,0,7.1,0.8,1.4,.535,0.0,0.0,,0.8,1.4,.535,0.1,0.3,.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7
2012-13,24,SAC,NBA,C,15,0,11.7,1.4,2.5,.568,0.0,0.0,,1.4,2.5,.568,0.5,0.7,.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3
2013-14,25,NYK,NBA,C,46,2,7.2,0.7,1.3,.541,0.0,0.0,,0.7,1.3,.541,0.6,0.7,.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0
Career,,,NBA,,135,2,7.7,0.8,1.5,.540,0.0,0.0,,0.8,1.5,.540,0.4,0.5,.779,0.7,1.8,2.5,0.2,0.2,0.6,0.4,1.1,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,NYK,NBA,,46,2,7.2,0.7,1.3,.541,0.0,0.0,,0.7,1.3,.541,0.6,0.7,.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0
2 seasons,,OKC,NBA,,44,0,7.2,0.7,1.3,.526,0.0,0.0,,0.7,1.3,.526,0.3,0.4,.833,0.6,1.3,1.9,0.2,0.3,0.5,0.4,1.2,1.7
1 season,,HOU,NBA,,30,0,7.1,0.8,1.4,.535,0.0,0.0,,0.8,1.4,.535,0.1,0.3,.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7
1 season,,SAC,NBA,,15,0,11.7,1.4,2.5,.568,0.0,0.0,,1.4,2.5,.568,0.5,0.7,.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3
