
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,NYK,NBA,SG,28,2,14.7,2.0,4.5,.448,1.1,2.6,.444,0.9,1.9,.453,0.9,1.0,.963,0.5,1.5,2.0,0.5,0.5,0.1,0.5,1.7,6.1
2009-10,21,NYK,NBA,SF,81,74,33.9,4.8,11.4,.423,2.3,6.0,.381,2.5,5.4,.469,3.1,3.8,.818,0.8,4.1,4.9,1.7,0.9,0.7,1.4,2.4,15.1
2010-11,22,TOT,NBA,PF-SF,62,60,33.9,4.3,10.3,.414,1.7,4.7,.352,2.6,5.6,.467,5.4,6.3,.862,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3,15.6
2010-11,22,NYK,NBA,PF,48,48,34.8,4.4,10.6,.415,1.7,5.0,.347,2.7,5.6,.474,5.4,6.0,.893,1.0,3.8,4.8,1.7,0.8,0.4,1.2,2.4,15.9
2010-11,22,DEN,NBA,SF,14,12,30.9,3.9,9.4,.412,1.4,3.9,.370,2.4,5.5,.442,5.6,7.2,.772,0.8,4.6,5.4,1.6,0.9,0.6,1.8,1.9,14.7
2011-12,23,DEN,NBA,SF,43,40,31.4,4.5,10.8,.414,1.4,4.3,.328,3.1,6.6,.470,4.2,4.9,.871,0.7,4.0,4.7,2.7,1.0,0.5,1.6,2.0,14.6
2012-13,24,DEN,NBA,SF,71,71,32.5,5.1,12.3,.418,1.9,5.1,.373,3.2,7.2,.450,4.0,4.9,.822,0.9,4.3,5.2,2.5,0.9,0.5,1.6,1.8,16.2
Career,,,NBA,,285,247,31.3,4.5,10.6,.419,1.8,4.9,.369,2.6,5.7,.462,3.8,4.5,.844,0.8,3.8,4.7,1.9,0.9,0.5,1.4,2.1,14.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,157,124,30.8,4.2,9.9,.422,1.9,5.1,.377,2.3,4.9,.470,3.4,4.0,.859,0.8,3.5,4.3,1.5,0.8,0.5,1.2,2.3,13.7
3 seasons,,DEN,NBA,,128,123,32.0,4.8,11.5,.416,1.7,4.7,.359,3.1,6.8,.456,4.3,5.1,.830,0.8,4.2,5.0,2.5,0.9,0.5,1.6,1.9,15.5
